FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:64139 => 95.217.115.180:443,192.168.1.134,64139,95.217.115.180,443,6,1680800644.428478,kohajone,3.147020,133,133,30189,0,9592.884697269162572846693062,42.26220360849311412066018011,226.98496240601503
192.168.1.134:64140 => 95.217.115.180:443,192.168.1.134,64140,95.217.115.180,443,6,1680800644.429061,kohajone,3.146327,178,178,27366,0,8697.760912962956488629439979,56.57390347538574343989038647,153.74157303370785
95.217.115.180:443 => 192.168.1.134:64139,95.217.115.180,443,192.168.1.134,64139,6,1680800644.489317,kohajone,3.085874,567,567,808291,0,261932.5999700571053776012890,183.7404897283557267730309144,1425.5573192239858
95.217.115.180:443 => 192.168.1.134:64140,95.217.115.180,443,192.168.1.134,64140,6,1680800644.493231,kohajone,3.081958,1108,1108,1620834,0,525910.4763919560227621531507,359.5117130084186741026321579,1462.846570397112
192.168.1.134:64141 => 95.217.115.180:443,192.168.1.134,64141,95.217.115.180,443,6,1680800644.705165,kohajone,2.865898,128,128,28844,0,10064.55917133128952949476918,44.66313874394692344249516207,225.34375
192.168.1.134:64142 => 95.217.115.180:443,192.168.1.134,64142,95.217.115.180,443,6,1680800644.705260,kohajone,2.870166,154,154,27233,0,9488.301373509406772988043200,53.65543317006751525869932262,176.83766233766235
192.168.1.134:64143 => 95.217.115.180:443,192.168.1.134,64143,95.217.115.180,443,6,1680800644.705501,kohajone,2.869826,146,146,28262,0,9847.983815046626520214117511,50.87416449638410133576042589,193.57534246575344
192.168.1.134:64144 => 95.217.115.180:443,192.168.1.134,64144,95.217.115.180,443,6,1680800644.706097,kohajone,2.869366,153,153,25151,0,8765.350952091855831566973331,53.32188364955882240188250645,164.3856209150327
95.217.115.180:443 => 192.168.1.134:64143,95.217.115.180,443,192.168.1.134,64143,6,1680800644.768597,kohajone,2.806585,513,513,732231,0,260897.4964235895224979824235,182.7844159360931523541955793,1427.3508771929824
95.217.115.180:443 => 192.168.1.134:64142,95.217.115.180,443,192.168.1.134,64142,6,1680800644.768602,kohajone,2.806588,748,748,1088223,0,387738.7774764233296800242857,266.5157835777819900890333743,1454.8435828877004
95.217.115.180:443 => 192.168.1.134:64141,95.217.115.180,443,192.168.1.134,64141,6,1680800644.768603,kohajone,2.802374,522,522,746255,0,266293.8637027034935379788708,186.2706405354888391057010949,1429.6072796934866
95.217.115.180:443 => 192.168.1.134:64144,95.217.115.180,443,192.168.1.134,64144,6,1680800644.768603,kohajone,2.806587,1246,1246,1825371,0,650388.1761014356583280689321,443.9555944640233849868185095,1464.9847512038523
192.168.1.134:64150 => 95.217.115.180:443,192.168.1.134,64150,95.217.115.180,443,6,1680800645.101984,kohajone,0.267749,10,10,1796,0,6707.774818953572188878389835,37.34841213225819704275272737,179.6
95.217.115.180:443 => 192.168.1.134:64150,95.217.115.180,443,192.168.1.134,64150,6,1680800645.163594,kohajone,0.205919,10,10,6067,0,29463.04129293557175394208402,48.56278439580611793957818365,606.7
