FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:52175 => 95.217.115.180:443,192.168.1.134,52175,95.217.115.180,443,6,1680793703.992811,kohajone,2.687441,209,209,30075,0,11190.94335466341400611213418,77.76914916457700838827717520,143.89952153110048
192.168.1.134:52176 => 95.217.115.180:443,192.168.1.134,52176,95.217.115.180,443,6,1680793703.993149,kohajone,2.687066,263,263,34038,0,12667.34795498138117932347028,97.87627099594874111763536884,129.42205323193917
95.217.115.180:443 => 192.168.1.134:52175,95.217.115.180,443,192.168.1.134,52175,6,1680793704.054280,kohajone,2.625705,935,935,1359106,0,517615.6498921242104501457704,356.0948392907809521633237550,1453.5893048128341
95.217.115.180:443 => 192.168.1.134:52176,95.217.115.180,443,192.168.1.134,52176,6,1680793704.054285,kohajone,2.625699,1376,1376,2015873,0,767747.1789416837192686595074,524.0509289145480879567688452,1465.0239825581396
192.168.1.134:52178 => 95.217.115.180:443,192.168.1.134,52178,95.217.115.180,443,6,1680793704.262960,kohajone,2.413745,168,168,31089,0,12879.98525113464761190598013,69.60138705621347739715670048,185.05357142857142
192.168.1.134:52179 => 95.217.115.180:443,192.168.1.134,52179,95.217.115.180,443,6,1680793704.263705,kohajone,2.416529,154,154,28089,0,11623.69663264955645059504769,63.72776821631356379335815958,182.3961038961039
192.168.1.134:52180 => 95.217.115.180:443,192.168.1.134,52180,95.217.115.180,443,6,1680793704.264290,kohajone,2.415849,195,195,30547,0,12644.41610382105835257087674,80.71696534013508294599538299,156.65128205128204
192.168.1.134:52181 => 95.217.115.180:443,192.168.1.134,52181,95.217.115.180,443,6,1680793704.265318,kohajone,2.414877,187,187,29096,0,12048.64678408051424565309123,77.43665619408359100691256739,155.59358288770053
95.217.115.180:443 => 192.168.1.134:52178,95.217.115.180,443,192.168.1.134,52178,6,1680793704.325456,kohajone,2.351179,476,476,680369,0,289373.5440815012383149049902,202.4516210803175768412358225,1429.3466386554621
95.217.115.180:443 => 192.168.1.134:52179,95.217.115.180,443,192.168.1.134,52179,6,1680793704.325468,kohajone,2.354516,440,440,623161,0,264666.2838562150352768891781,186.8749246129565481823015855,1416.275
95.217.115.180:443 => 192.168.1.134:52180,95.217.115.180,443,192.168.1.134,52180,6,1680793704.325468,kohajone,2.354509,886,886,1291334,0,548451.5030522287236956834737,376.2992623939853277265026381,1457.487584650113
95.217.115.180:443 => 192.168.1.134:52181,95.217.115.180,443,192.168.1.134,52181,6,1680793704.329741,kohajone,2.350242,785,785,1126786,0,479434.0327506699310113596813,334.0081574578277471000858635,1435.396178343949
192.168.1.134:52187 => 95.217.115.180:443,192.168.1.134,52187,95.217.115.180,443,6,1680793704.624243,kohajone,0.267269,10,10,1796,0,6719.821602954326914082815441,37.41548776700627457729852695,179.6
95.217.115.180:443 => 192.168.1.134:52187,95.217.115.180,443,192.168.1.134,52187,6,1680793704.685103,kohajone,0.206337,11,11,6119,0,29655.36961378715402472653959,53.31084584926600658146624212,556.2727272727273
