FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:63599 => 95.217.115.180:443,192.168.1.134,63599,95.217.115.180,443,6,1680795954.904911,kohajone,2.862410,172,172,32371,0,11309.00185508015972554595603,60.08922551276721364165161525,188.20348837209303
192.168.1.134:63600 => 95.217.115.180:443,192.168.1.134,63600,95.217.115.180,443,6,1680795954.905101,kohajone,2.863545,213,213,32462,0,11336.29818983113588227179947,74.38332556324416064703016715,152.4037558685446
95.217.115.180:443 => 192.168.1.134:63600,95.217.115.180,443,192.168.1.134,63600,6,1680795954.965845,kohajone,2.802638,791,791,1134975,0,404966.6778228226406692551803,282.2340951631998138896282716,1434.8609355246524
95.217.115.180:443 => 192.168.1.134:63599,95.217.115.180,443,192.168.1.134,63599,6,1680795954.965850,kohajone,2.801372,579,579,830151,0,296337.2947255844636128297134,206.6844389106480681608868797,1433.7668393782383
192.168.1.134:63602 => 95.217.115.180:443,192.168.1.134,63602,95.217.115.180,443,6,1680795955.162225,kohajone,2.608085,195,195,30686,0,11765.72082581664324590647928,74.76750182605244844397326007,157.36410256410255
192.168.1.134:63603 => 95.217.115.180:443,192.168.1.134,63603,95.217.115.180,443,6,1680795955.162348,kohajone,2.607902,250,250,30927,0,11858.95789028882220267479376,95.86249790061129597661261811,123.708
192.168.1.134:63604 => 95.217.115.180:443,192.168.1.134,63604,95.217.115.180,443,6,1680795955.162938,kohajone,2.605760,147,147,27629,0,10603.04863072577674075893405,56.41348397396536902861353310,187.95238095238096
192.168.1.134:63605 => 95.217.115.180:443,192.168.1.134,63605,95.217.115.180,443,6,1680795955.163559,kohajone,2.605199,272,272,29682,0,11393.37148524930341213857368,104.4066115486763199279594380,109.125
95.217.115.180:443 => 192.168.1.134:63604,95.217.115.180,443,192.168.1.134,63604,6,1680795955.226220,kohajone,2.542270,344,344,481319,0,189326.4680777415459412257549,135.3121422980249934114000480,1399.1831395348838
95.217.115.180:443 => 192.168.1.134:63605,95.217.115.180,443,192.168.1.134,63605,6,1680795955.226226,kohajone,2.542265,1272,1272,1865908,0,733954.9574886961036713324535,500.3412311462416388535420186,1466.9088050314465
95.217.115.180:443 => 192.168.1.134:63603,95.217.115.180,443,192.168.1.134,63603,6,1680795955.226226,kohajone,2.543945,1085,1085,1579518,0,620893.1403784279927435538111,426.5029314706096240288213778,1455.7769585253457
95.217.115.180:443 => 192.168.1.134:63602,95.217.115.180,443,192.168.1.134,63602,6,1680795955.226227,kohajone,2.543952,724,724,1050079,0,412774.6907174349201557262087,284.5965647150575168084932420,1450.385359116022
192.168.1.134:63611 => 95.217.115.180:443,192.168.1.134,63611,95.217.115.180,443,6,1680795955.528104,kohajone,0.272845,10,10,1796,0,6582.491891000384833880041782,36.65084571826494896369733732,179.6
95.217.115.180:443 => 192.168.1.134:63611,95.217.115.180,443,192.168.1.134,63611,6,1680795955.591080,kohajone,0.209740,10,10,6067,0,28926.28969199961857537904072,47.67807761991036521407456851,606.7
