FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:53143 => 95.217.115.180:443,10.1.215.139,53143,95.217.115.180,443,6,1680737682.695975,kohajone,2.930195,203,203,28982,0,9890.809314738438909355861982,69.27866575432693046025947079,142.76847290640393
10.1.215.139:53144 => 95.217.115.180:443,10.1.215.139,53144,95.217.115.180,443,6,1680737682.696150,kohajone,2.924736,277,277,35314,0,12074.25217181995229654915862,94.70940283157180682290640933,127.48736462093864
95.217.115.180:443 => 10.1.215.139:53144,95.217.115.180,443,10.1.215.139,53144,6,1680737682.756974,kohajone,2.863791,1175,1175,1718434,0,600055.6604863972266132549477,410.2953043710242821490814099,1462.4970212765957
95.217.115.180:443 => 10.1.215.139:53143,95.217.115.180,443,10.1.215.139,53143,6,1680737682.756988,kohajone,2.869057,974,974,1419517,0,494767.7930414069849431363685,339.4843671631480308686791514,1457.4096509240246
10.1.215.139:53146 => 95.217.115.180:443,10.1.215.139,53146,95.217.115.180,443,6,1680737682.944453,kohajone,2.679963,237,237,34019,0,12693.83196708312764019503254,88.43405673884303626579919200,143.54008438818565
10.1.215.139:53147 => 95.217.115.180:443,10.1.215.139,53147,95.217.115.180,443,6,1680737682.944908,kohajone,2.679564,190,190,32269,0,12042.63081605813483089039859,70.90705801391569673275204474,169.83684210526314
10.1.215.139:53148 => 95.217.115.180:443,10.1.215.139,53148,95.217.115.180,443,6,1680737682.945221,kohajone,2.679286,175,175,31471,0,11746.03980314158324269973418,65.31590879062556218335780503,179.83428571428573
10.1.215.139:53149 => 95.217.115.180:443,10.1.215.139,53149,95.217.115.180,443,6,1680737682.946219,kohajone,2.678321,234,234,32023,0,11956.37117432899193188568510,87.36816834128545458143366684,136.85042735042734
95.217.115.180:443 => 10.1.215.139:53147,95.217.115.180,443,10.1.215.139,53147,6,1680737683.005712,kohajone,2.618587,605,605,874180,0,333836.5309229748715624113310,231.0406337463677930120328253,1444.9256198347107
95.217.115.180:443 => 10.1.215.139:53146,95.217.115.180,443,10.1.215.139,53146,6,1680737683.005719,kohajone,2.618574,1224,1224,1786132,0,682101.0213956145596801923490,467.4299828838138620485806397,1459.2581699346406
95.217.115.180:443 => 10.1.215.139:53148,95.217.115.180,443,10.1.215.139,53148,6,1680737683.005720,kohajone,2.618580,426,426,599712,0,229021.8362624017597323740348,162.6835918704030428705634351,1407.774647887324
95.217.115.180:443 => 10.1.215.139:53149,95.217.115.180,443,10.1.215.139,53149,6,1680737683.011528,kohajone,2.612772,1331,1331,1946282,0,744910.7690988727680792660056,509.4206459652813180790363644,1462.2704733283247
10.1.215.139:53155 => 95.217.115.180:443,10.1.215.139,53155,95.217.115.180,443,6,1680737683.337513,kohajone,0.244272,11,11,1928,0,7892.840767668828191524202528,45.03176786533045130018995218,175.27272727272728
95.217.115.180:443 => 10.1.215.139:53155,95.217.115.180,443,10.1.215.139,53155,6,1680737683.397518,kohajone,0.184142,13,13,6247,0,33924.90577923558992516644763,70.59769091244800208534717772,480.53846153846155
