FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:58403 => 95.217.115.180:443,192.168.1.134,58403,95.217.115.180,443,6,1680797864.192276,kohajone,3.014461,259,259,33606,0,11148.26166269857198351546097,85.91917427360977634144213509,129.75289575289574
192.168.1.134:58404 => 95.217.115.180:443,192.168.1.134,58404,95.217.115.180,443,6,1680797864.194337,kohajone,3.012360,210,210,31284,0,10385.21292275823606740230251,69.71278333266940206349838665,148.97142857142856
95.217.115.180:443 => 192.168.1.134:58403,95.217.115.180,443,192.168.1.134,58403,6,1680797864.255503,kohajone,2.951061,1072,1072,1563268,0,529730.8324023122531184546846,363.2591803422565646728413950,1458.2723880597016
95.217.115.180:443 => 192.168.1.134:58404,95.217.115.180,443,192.168.1.134,58404,6,1680797864.259911,kohajone,2.946652,773,773,1117425,0,379218.5164722539342956005663,262.3316224650891927516381303,1445.5692108667529
192.168.1.134:58406 => 95.217.115.180:443,192.168.1.134,58406,95.217.115.180,443,6,1680797864.453365,kohajone,2.753354,165,165,29220,0,10612.51114095753760686057804,59.92691096023250188678971175,177.0909090909091
192.168.1.134:58407 => 95.217.115.180:443,192.168.1.134,58407,95.217.115.180,443,6,1680797864.453699,kohajone,2.752959,234,234,32222,0,11704.49687045829596445134127,84.99944968305012897031884601,137.7008547008547
192.168.1.134:58408 => 95.217.115.180:443,192.168.1.134,58408,95.217.115.180,443,6,1680797864.453928,kohajone,2.752776,277,277,30592,0,11113.14542120390471291525355,100.6256956613978035263312380,110.4404332129964
192.168.1.134:58409 => 95.217.115.180:443,192.168.1.134,58409,95.217.115.180,443,6,1680797864.454737,kohajone,2.752014,194,194,33996,0,12353.13483143617728688880216,70.49382742965697122180337745,175.23711340206185
95.217.115.180:443 => 192.168.1.134:58407,95.217.115.180,443,192.168.1.134,58407,6,1680797864.515967,kohajone,2.690596,698,698,1012803,0,376423.2906017848833492653672,259.4220760010049817958548961,1451.0071633237822
95.217.115.180:443 => 192.168.1.134:58406,95.217.115.180,443,192.168.1.134,58406,6,1680797864.515973,kohajone,2.690591,465,465,661687,0,245926.2667570061744798819293,172.8244835428350128280366656,1422.9827956989247
95.217.115.180:443 => 192.168.1.134:58408,95.217.115.180,443,192.168.1.134,58408,6,1680797864.515973,kohajone,2.690591,1267,1267,1857550,0,690387.3535591251141477838884,470.9002594597246478561773231,1466.1010260457774
95.217.115.180:443 => 192.168.1.134:58409,95.217.115.180,443,192.168.1.134,58409,6,1680797864.515974,kohajone,2.690585,487,487,692374,0,257332.1415231260116294411810,181.0015294071735328934042225,1421.7125256673512
192.168.1.134:58415 => 95.217.115.180:443,192.168.1.134,58415,95.217.115.180,443,6,1680797864.816945,kohajone,0.272091,11,11,1848,0,6791.845375260482706153456013,40.42765104321715896519914293,168.0
95.217.115.180:443 => 192.168.1.134:58415,95.217.115.180,443,192.168.1.134,58415,6,1680797864.879986,kohajone,0.208977,10,10,6067,0,29031.90303239112438210903592,47.85215597888762878211477818,606.7
