FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:55716 => 178.33.109.222:443,10.1.215.139,55716,178.33.109.222,443,6,1680738007.770039,lecanton27,0.597766,44,44,5981,0,10005.58747068250787097292251,73.60739821267853976305109357,135.9318181818182
10.1.215.139:55717 => 178.33.109.222:443,10.1.215.139,55717,178.33.109.222,443,6,1680738007.770288,lecanton27,2.764492,28,28,5393,0,1950.810492488312500090432528,10.12844312806837567263714274,192.60714285714286
178.33.109.222:443 => 10.1.215.139:55716,178.33.109.222,443,10.1.215.139,55716,6,1680738007.814503,lecanton27,0.553166,100,100,135517,0,244984.3265855095938651327088,180.7775604429773341094716595,1355.17
178.33.109.222:443 => 10.1.215.139:55717,178.33.109.222,443,10.1.215.139,55717,6,1680738007.816202,lecanton27,2.718426,34,34,38798,0,14272.22959168283411062136692,12.50723764413671735040791988,1141.1176470588234
10.1.215.139:55718 => 178.33.109.222:443,10.1.215.139,55718,178.33.109.222,443,6,1680738007.958478,lecanton27,2.576268,50,50,5183,0,2011.824856730743851183184358,19.40791874137318011945962144,103.66
10.1.215.139:55719 => 178.33.109.222:443,10.1.215.139,55719,178.33.109.222,443,6,1680738007.958585,lecanton27,2.574765,62,62,6500,0,2524.502236126403768887646057,24.07986748305185133400523931,104.83870967741936
10.1.215.139:55720 => 178.33.109.222:443,10.1.215.139,55720,178.33.109.222,443,6,1680738007.959619,lecanton27,2.612961,41,41,5211,0,1994.289237382417877649149758,15.69101107900194453725103436,127.09756097560975
10.1.215.139:55721 => 178.33.109.222:443,10.1.215.139,55721,178.33.109.222,443,6,1680738007.959902,lecanton27,2.575682,58,58,5583,0,2167.581246442689741979017596,22.51830777246570034654899168,96.25862068965517
178.33.109.222:443 => 10.1.215.139:55718,178.33.109.222,443,10.1.215.139,55718,6,1680738008.003207,lecanton27,2.531420,130,130,179269,0,70817.56484502769196735429127,51.35457569269421905491779318,1378.9923076923078
178.33.109.222:443 => 10.1.215.139:55719,178.33.109.222,443,10.1.215.139,55719,6,1680738008.003210,lecanton27,2.530114,219,219,311486,0,123111.4487331400877588914966,86.55736460886742652702605495,1422.310502283105
178.33.109.222:443 => 10.1.215.139:55720,178.33.109.222,443,10.1.215.139,55720,6,1680738008.004625,lecanton27,2.567853,102,102,139856,0,54464.17688239942083912124253,39.72189996857296737780550522,1371.137254901961
178.33.109.222:443 => 10.1.215.139:55721,178.33.109.222,443,10.1.215.139,55721,6,1680738008.004626,lecanton27,2.530868,165,165,228425,0,90255.59610378731723661605425,65.19502399967125903049862735,1384.3939393939395
10.1.215.139:55725 => 178.33.109.222:443,10.1.215.139,55725,178.33.109.222,443,6,1680738008.322275,lecanton27,2.212425,8,8,1122,0,507.1358351130546798196549036,3.615941783337288269658858492,140.25
178.33.109.222:443 => 10.1.215.139:55725,178.33.109.222,443,10.1.215.139,55725,6,1680738008.367664,lecanton27,2.166957,5,5,815,0,376.1034482917750559886513669,2.307383118354448196249394889,163.0
