FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:62689 => 178.33.109.222:443,192.168.1.56,62689,178.33.109.222,443,6,1680782066.020879,lecanton27,3.393530,39,39,5817,0,1714.144268652406196497452505,11.49245770628224886769823753,149.15384615384616
192.168.1.56:62690 => 178.33.109.222:443,192.168.1.56,62690,178.33.109.222,443,6,1680782066.021124,lecanton27,0.521908,24,24,4940,0,9465.269741027154211087011504,45.98511615073921074212313281,205.83333333333334
178.33.109.222:443 => 192.168.1.56:62689,178.33.109.222,443,192.168.1.56,62689,6,1680782066.059928,lecanton27,3.354375,159,159,218913,0,65261.93404136389044158747904,47.40078256008943543879262158,1376.811320754717
178.33.109.222:443 => 192.168.1.56:62690,178.33.109.222,443,192.168.1.56,62690,6,1680782066.059934,lecanton27,0.482740,54,54,68584,0,142072.3370758586402618386709,111.8614575133612296474292580,1270.0740740740741
192.168.1.56:62692 => 178.33.109.222:443,192.168.1.56,62692,178.33.109.222,443,6,1680782066.188264,lecanton27,3.256987,53,53,5926,0,1819.473028292713480281008183,16.27270848793685697855103505,111.81132075471699
192.168.1.56:62693 => 178.33.109.222:443,192.168.1.56,62693,178.33.109.222,443,6,1680782066.188414,lecanton27,3.225997,18,18,3707,0,1149.102122537621702686022337,5.579670408868948111235069344,205.94444444444446
192.168.1.56:62694 => 178.33.109.222:443,192.168.1.56,62694,178.33.109.222,443,6,1680782066.189261,lecanton27,3.221739,37,37,5138,0,1594.790887778308547030035642,11.48448089680759366292551942,138.86486486486487
192.168.1.56:62695 => 178.33.109.222:443,192.168.1.56,62695,178.33.109.222,443,6,1680782066.189408,lecanton27,3.224968,29,29,4091,0,1268.539718843721860185899519,8.992337288307977009384279162,141.06896551724137
178.33.109.222:443 => 192.168.1.56:62695,178.33.109.222,443,192.168.1.56,62695,6,1680782066.230022,lecanton27,3.184280,119,119,160497,0,50402.91682892207971660783599,37.37108545730903061288580150,1348.7142857142858
178.33.109.222:443 => 192.168.1.56:62693,178.33.109.222,443,192.168.1.56,62693,6,1680782066.230030,lecanton27,3.184273,26,26,27299,0,8573.071467176338209694960200,8.165129057715842831315028580,1049.9615384615386
178.33.109.222:443 => 192.168.1.56:62692,178.33.109.222,443,192.168.1.56,62692,6,1680782066.230031,lecanton27,3.215132,299,299,421737,0,131172.5303968857266202445187,92.99773695139110929193575878,1410.4916387959865
178.33.109.222:443 => 192.168.1.56:62694,178.33.109.222,443,192.168.1.56,62694,6,1680782066.230031,lecanton27,3.180895,166,166,228478,0,71828.21187118719731396352284,52.18657013199115343323184198,1376.3734939759036
