FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:55503 => 178.33.109.222:443,192.168.1.134,55503,178.33.109.222,443,6,1680797190.424373,lecanton27,2.145448,49,49,6895,0,3213.780991196244327525067026,22.83905272931341146464514638,140.71428571428572
192.168.1.134:55504 => 178.33.109.222:443,192.168.1.134,55504,178.33.109.222,443,6,1680797190.424595,lecanton27,4.332886,53,53,7098,0,1638.169109457299361210980395,12.23203195283697747875203733,133.9245283018868
178.33.109.222:443 => 192.168.1.134:55503,178.33.109.222,443,192.168.1.134,55503,6,1680797190.470719,lecanton27,2.147072,143,143,189782,0,88391.07398354596399189221414,66.60233098843448193633003458,1327.1468531468531
178.33.109.222:443 => 192.168.1.134:55504,178.33.109.222,443,192.168.1.134,55504,6,1680797190.470725,lecanton27,4.286671,112,112,152001,0,35458.98437272186272284483694,26.12750080423713413042428495,1357.1517857142858
192.168.1.134:55507 => 178.33.109.222:443,192.168.1.134,55507,178.33.109.222,443,6,1680797192.121811,lecanton27,2.636925,44,44,5696,0,2160.091773562008779165126046,16.68610218341439365928117030,129.45454545454547
192.168.1.134:55508 => 178.33.109.222:443,192.168.1.134,55508,178.33.109.222,443,6,1680797192.122795,lecanton27,2.635957,28,28,4165,0,1580.071298583398742847474371,10.62232805770352096031915543,148.75
192.168.1.134:55509 => 178.33.109.222:443,192.168.1.134,55509,178.33.109.222,443,6,1680797192.123139,lecanton27,2.654209,73,73,7463,0,2811.760490601908139110371489,27.50348597265701382219712163,102.23287671232876
192.168.1.134:55510 => 178.33.109.222:443,192.168.1.134,55510,178.33.109.222,443,6,1680797192.123608,lecanton27,2.635154,32,32,4214,0,1599.147526102838771472179615,12.14350280856450894331033404,131.6875
178.33.109.222:443 => 192.168.1.134:55507,178.33.109.222,443,192.168.1.134,55507,6,1680797192.167336,lecanton27,2.591362,114,114,155670,0,60072.65677277045816061206423,43.99230983552278685880243671,1365.5263157894738
178.33.109.222:443 => 192.168.1.134:55508,178.33.109.222,443,192.168.1.134,55508,6,1680797192.167337,lecanton27,2.591362,37,37,43002,0,16594.36234690483228510721389,14.27820582381002731382184349,1162.2162162162163
178.33.109.222:443 => 192.168.1.134:55510,178.33.109.222,443,192.168.1.134,55510,6,1680797192.167338,lecanton27,2.591361,87,87,116248,0,44859.82462497506136736641479,33.57309151445900436102881845,1336.183908045977
178.33.109.222:443 => 192.168.1.134:55509,178.33.109.222,443,192.168.1.134,55509,6,1680797192.167338,lecanton27,2.609943,278,278,396057,0,151749.2910764717850159946022,106.5157361674182156468551229,1424.6654676258993
