FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:64837 => 178.33.109.222:443,192.168.1.56,64837,178.33.109.222,443,6,1680789550.772059,lecanton27,4.770079,90,90,9143,0,1916.739743723321982717686646,18.86761204583823454496246289,101.58888888888889
192.168.1.56:64838 => 178.33.109.222:443,192.168.1.56,64838,178.33.109.222,443,6,1680789550.772366,lecanton27,4.812551,87,87,8971,0,1864.084141653771565226010072,18.07773050093391218087870653,103.11494252873563
178.33.109.222:443 => 192.168.1.56:64837,178.33.109.222,443,192.168.1.56,64837,6,1680789550.809657,lecanton27,4.732372,239,239,337575,0,71333.14963405243712878023959,50.50321487828936524854766278,1412.44769874477
178.33.109.222:443 => 192.168.1.56:64838,178.33.109.222,443,192.168.1.56,64838,6,1680789550.809662,lecanton27,4.778605,253,253,356493,0,74601.89741566838020719435902,52.94432161687354363878161095,1409.0632411067193
192.168.1.56:64841 => 178.33.109.222:443,192.168.1.56,64841,178.33.109.222,443,6,1680789551.149401,lecanton27,4.211688,64,64,8474,0,2012.019883714083284421828018,15.19580747671717373176740537,132.40625
192.168.1.56:64842 => 178.33.109.222:443,192.168.1.56,64842,178.33.109.222,443,6,1680789551.149550,lecanton27,4.449545,88,88,11881,0,2670.160656876152505480897485,19.77730307256135177866500957,135.01136363636363
192.168.1.56:64843 => 178.33.109.222:443,192.168.1.56,64843,178.33.109.222,443,6,1680789551.150593,lecanton27,4.448500,113,113,11941,0,2684.275598516353827132741373,25.40182083848488254467798134,105.67256637168141
192.168.1.56:64844 => 178.33.109.222:443,192.168.1.56,64844,178.33.109.222,443,6,1680789551.151102,lecanton27,4.438816,77,77,10122,0,2280.337819815013733391967588,17.34696820052915011570653075,131.45454545454547
178.33.109.222:443 => 192.168.1.56:64842,178.33.109.222,443,192.168.1.56,64842,6,1680789551.213990,lecanton27,4.384990,320,320,448583,0,102299.6631691292340461437768,72.97622115443820852499093499,1401.821875
178.33.109.222:443 => 192.168.1.56:64844,178.33.109.222,443,192.168.1.56,64844,6,1680789551.213997,lecanton27,4.374270,220,220,305410,0,69819.64990729881785989433666,50.29410621658013794301677766,1388.2272727272727
178.33.109.222:443 => 192.168.1.56:64841,178.33.109.222,443,192.168.1.56,64841,6,1680789551.213998,lecanton27,4.147043,347,347,486292,0,117262.3481357680641363014562,83.67407813229812181836551972,1401.4178674351585
178.33.109.222:443 => 192.168.1.56:64843,178.33.109.222,443,192.168.1.56,64843,6,1680789551.213999,lecanton27,4.384972,599,599,847227,0,193211.4959913084963826450887,136.6029247165090221784768523,1414.4023372287145
