FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:60575 => 178.33.109.222:443,192.168.1.134,60575,178.33.109.222,443,6,1680794947.891923,lecanton27,3.213200,60,60,6909,0,2150.192954064484003485621810,18.67297398232291796340097099,115.15
192.168.1.134:60576 => 178.33.109.222:443,192.168.1.134,60576,178.33.109.222,443,6,1680794947.892203,lecanton27,3.212931,64,64,7085,0,2205.151620125050927019596748,19.91950651912537181781992828,110.703125
178.33.109.222:443 => 192.168.1.134:60575,178.33.109.222,443,192.168.1.134,60575,6,1680794947.946741,lecanton27,3.158300,159,159,218845,0,69292.02419022892062185352880,50.34353924579678941202545673,1376.3836477987422
178.33.109.222:443 => 192.168.1.134:60576,178.33.109.222,443,192.168.1.134,60576,6,1680794947.946747,lecanton27,3.158294,120,120,164288,0,52017.95652969609542366860083,37.99519614070127733516892348,1369.0666666666666
192.168.1.134:60578 => 178.33.109.222:443,192.168.1.134,60578,178.33.109.222,443,6,1680794948.121972,lecanton27,2.983131,79,79,7384,0,2475.251673493386646446300883,26.48224298564159602779763946,93.46835443037975
192.168.1.134:60579 => 178.33.109.222:443,192.168.1.134,60579,178.33.109.222,443,6,1680794948.122306,lecanton27,2.982835,20,20,3740,0,1253.840725350212130406140467,6.705030616846054173294868808,187.0
192.168.1.134:60580 => 178.33.109.222:443,192.168.1.134,60580,178.33.109.222,443,6,1680794948.122769,lecanton27,0.510760,33,33,4124,0,8074.242305583835852455164852,64.60960137833816273788080507,124.96969696969697
192.168.1.134:60581 => 178.33.109.222:443,192.168.1.134,60581,178.33.109.222,443,6,1680794948.122890,lecanton27,3.017983,71,71,6861,0,2273.372646565603583585460886,23.52564610204895123663718450,96.63380281690141
178.33.109.222:443 => 192.168.1.134:60578,178.33.109.222,443,192.168.1.134,60578,6,1680794948.171778,lecanton27,2.933263,281,281,401643,0,136927.0331368172577774307998,95.79775151426926259254625310,1429.3345195729537
178.33.109.222:443 => 192.168.1.134:60579,178.33.109.222,443,192.168.1.134,60579,6,1680794948.175727,lecanton27,2.929314,21,21,21696,0,7406.512241432635763868264037,7.168913950501721563478684771,1033.142857142857
178.33.109.222:443 => 192.168.1.134:60580,178.33.109.222,443,192.168.1.134,60580,6,1680794948.175731,lecanton27,0.512829,58,58,65889,0,128481.4236324388831364840912,113.0981282259778600664159008,1136.0172413793102
178.33.109.222:443 => 192.168.1.134:60581,178.33.109.222,443,192.168.1.134,60581,6,1680794948.175731,lecanton27,2.965061,177,177,243390,0,82086.00092881731606870819858,59.69523055343549424446916944,1375.084745762712
