FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:49943 => 178.33.109.222:443,192.168.1.134,49943,178.33.109.222,443,6,1680796283.488846,lecanton27,2.879235,58,58,6805,0,2363.475020274482631671259901,20.14423970255988135737444147,117.32758620689656
192.168.1.134:49944 => 178.33.109.222:443,192.168.1.134,49944,178.33.109.222,443,6,1680796283.493467,lecanton27,0.648314,33,33,5300,0,8175.050978383931243193884445,50.90126080880560962743362013,160.6060606060606
178.33.109.222:443 => 192.168.1.134:49943,178.33.109.222,443,192.168.1.134,49943,6,1680796283.535956,lecanton27,2.831950,159,159,218877,0,77288.44082699200197743604230,56.14505905824608485319302954,1376.5849056603774
178.33.109.222:443 => 192.168.1.134:49944,178.33.109.222,443,192.168.1.134,49944,6,1680796283.540755,lecanton27,0.600866,53,53,68495,0,113993.8022787110603695333069,88.20602264065532082028272527,1292.3584905660377
192.168.1.134:49946 => 178.33.109.222:443,192.168.1.134,49946,178.33.109.222,443,6,1680796283.690078,lecanton27,2.677947,50,50,5183,0,1935.437855939643316316566385,18.67101925467531657646697265,103.66
192.168.1.134:49947 => 178.33.109.222:443,192.168.1.134,49947,178.33.109.222,443,6,1680796283.690725,lecanton27,2.713953,72,72,6999,0,2578.895065610937256466858490,26.52956775596334940214513663,97.20833333333333
192.168.1.134:49948 => 178.33.109.222:443,192.168.1.134,49948,178.33.109.222,443,6,1680796283.691020,lecanton27,2.677041,22,22,3818,0,1426.201541179234834281581791,8.218028786260651219013829075,173.54545454545453
192.168.1.134:49949 => 178.33.109.222:443,192.168.1.134,49949,178.33.109.222,443,6,1680796283.691075,lecanton27,2.675157,52,52,5894,0,2203.235174608443541818293281,19.43811148280269158034463024,113.34615384615384
178.33.109.222:443 => 192.168.1.134:49946,178.33.109.222,443,192.168.1.134,49946,6,1680796283.735173,lecanton27,2.632728,131,131,179321,0,68112.23947175705200081436442,49.75827354743824656402028618,1368.8625954198474
178.33.109.222:443 => 192.168.1.134:49947,178.33.109.222,443,192.168.1.134,49947,6,1680796283.735180,lecanton27,2.669385,284,284,406439,0,152259.4155582652933166253650,106.3915471166579567952917994,1431.1232394366198
178.33.109.222:443 => 192.168.1.134:49948,178.33.109.222,443,192.168.1.134,49948,6,1680796283.735356,lecanton27,2.632550,29,29,31303,0,11890.75231239672560825055555,11.01593511994074186625135325,1079.4137931034484
178.33.109.222:443 => 192.168.1.134:49949,178.33.109.222,443,192.168.1.134,49949,6,1680796283.735356,lecanton27,2.630760,154,154,210307,0,79941.53780656540315346135717,58.53821709315939120254223114,1365.6298701298701
