FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:55917 => 178.33.109.222:443,192.168.1.134,55917,178.33.109.222,443,6,1680803993.602733,lecanton27,2.888310,56,56,6767,0,2342.892556546908053498412567,19.38850054183934549961742334,120.83928571428571
192.168.1.134:55918 => 178.33.109.222:443,192.168.1.134,55918,178.33.109.222,443,6,1680803993.603002,lecanton27,2.888043,24,24,5122,0,1773.519300093523538257567495,8.310125576385116149586415438,213.41666666666666
178.33.109.222:443 => 192.168.1.134:55917,178.33.109.222,443,192.168.1.134,55917,6,1680803993.646585,lecanton27,2.844188,174,174,238859,0,83981.43863907730431321698847,61.17739052411443969245352276,1372.7528735632184
178.33.109.222:443 => 192.168.1.134:55918,178.33.109.222,443,192.168.1.134,55918,6,1680803993.648187,lecanton27,2.842587,27,27,29687,0,10443.65572628032141144668571,9.498390022891119955167599092,1099.5185185185185
192.168.1.134:55921 => 178.33.109.222:443,192.168.1.134,55921,178.33.109.222,443,6,1680803993.793422,lecanton27,0.376469,29,29,4043,0,10739.26405627023739006398933,77.03157497695693403706546887,139.41379310344828
192.168.1.134:55922 => 178.33.109.222:443,192.168.1.134,55922,178.33.109.222,443,6,1680803993.794076,lecanton27,2.696965,42,42,4684,0,1736.767069650514559884907665,15.57306082948796146779806190,111.52380952380952
192.168.1.134:55923 => 178.33.109.222:443,192.168.1.134,55923,178.33.109.222,443,6,1680803993.794561,lecanton27,2.729372,61,61,6411,0,2348.891979546943399434008995,22.34946353959812000709320679,105.09836065573771
192.168.1.134:55924 => 178.33.109.222:443,192.168.1.134,55924,178.33.109.222,443,6,1680803993.795016,lecanton27,2.801911,68,68,6727,0,2400.861412086251133601317101,24.26915059043631293071050437,98.92647058823529
178.33.109.222:443 => 192.168.1.134:55921,178.33.109.222,443,192.168.1.134,55921,6,1680803993.839684,lecanton27,0.393197,64,64,73279,0,186367.1391185588903272405435,162.7682815484350084054557893,1144.984375
178.33.109.222:443 => 192.168.1.134:55922,178.33.109.222,443,192.168.1.134,55922,6,1680803993.839684,lecanton27,2.651089,121,121,165502,0,62427.93055985672302966818541,45.64162123565070806751489671,1367.7851239669421
178.33.109.222:443 => 192.168.1.134:55923,178.33.109.222,443,192.168.1.134,55923,6,1680803993.839684,lecanton27,2.684116,162,162,225016,0,83832.44241307007595796902965,60.35506662156181029433899280,1388.9876543209878
178.33.109.222:443 => 192.168.1.134:55924,178.33.109.222,443,192.168.1.134,55924,6,1680803993.839685,lecanton27,2.757127,284,284,405646,0,147126.3383950032044225746583,103.0057737637765688704220009,1428.3309859154929
192.168.1.134:55928 => 178.33.109.222:443,192.168.1.134,55928,178.33.109.222,443,6,1680803994.167719,lecanton27,2.323325,8,8,1122,0,482.9285614367339911549180592,3.443340901509689776505654611,140.25
178.33.109.222:443 => 192.168.1.134:55928,178.33.109.222,443,192.168.1.134,55928,6,1680803994.235045,lecanton27,2.255728,5,5,815,0,361.3024265336955519459793025,2.216579303887702772674719647,163.0
