FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:50292 => 178.33.109.222:443,10.1.215.139,50292,178.33.109.222,443,6,1680736927.759881,lecanton27,4.263143,61,61,8238,0,1932.377121762042699482517945,14.30869196740526883569235186,135.04918032786884
10.1.215.139:50293 => 178.33.109.222:443,10.1.215.139,50293,178.33.109.222,443,6,1680736927.760088,lecanton27,4.265403,23,23,5133,0,1203.403289208546062353311047,5.392222024507414656950351467,223.17391304347825
178.33.109.222:443 => 10.1.215.139:50292,178.33.109.222,443,10.1.215.139,50292,6,1680736927.805062,lecanton27,4.217931,166,166,229414,0,54390.17376054752910846573830,39.35578841853980067478581323,1382.012048192771
178.33.109.222:443 => 10.1.215.139:50293,178.33.109.222,443,10.1.215.139,50293,6,1680736927.805069,lecanton27,4.220384,34,34,38798,0,9193.002342914767945286495257,8.056138967449407447284417721,1141.1176470588234
10.1.215.139:50294 => 178.33.109.222:443,10.1.215.139,50294,178.33.109.222,443,6,1680736929.415053,lecanton27,0.446890,44,44,4808,0,10758.79970462529929065318087,98.45823356978227304258318602,109.27272727272727
10.1.215.139:50295 => 178.33.109.222:443,10.1.215.139,50295,178.33.109.222,443,6,1680736929.415204,lecanton27,2.635604,77,77,7761,0,2944.676059074124944415018341,29.21531459202520560751918725,100.79220779220779
10.1.215.139:50296 => 178.33.109.222:443,10.1.215.139,50296,178.33.109.222,443,6,1680736929.416326,lecanton27,2.609156,53,53,5311,0,2035.524131174985320923700998,20.31308208478143890208174597,100.20754716981132
10.1.215.139:50297 => 178.33.109.222:443,10.1.215.139,50297,178.33.109.222,443,6,1680736929.417313,lecanton27,2.608196,52,52,5807,0,2226.443104735993767339571106,19.93715196250588529389662433,111.67307692307692
178.33.109.222:443 => 10.1.215.139:50294,178.33.109.222,443,10.1.215.139,50294,6,1680736929.460152,lecanton27,0.401718,97,97,129539,0,322462.5234617318616541952315,241.4629167724622745308898282,1335.4536082474226
178.33.109.222:443 => 10.1.215.139:50295,178.33.109.222,443,10.1.215.139,50295,6,1680736929.460158,lecanton27,2.590581,296,296,422046,0,162915.5776252508607142567633,114.2600829698048430062599857,1425.831081081081
178.33.109.222:443 => 10.1.215.139:50296,178.33.109.222,443,10.1.215.139,50296,6,1680736929.461254,lecanton27,2.564199,131,131,180480,0,70384.55283696780164098028273,51.08807857736470531343316178,1377.7099236641222
178.33.109.222:443 => 10.1.215.139:50297,178.33.109.222,443,10.1.215.139,50297,6,1680736929.462215,lecanton27,2.563238,116,116,159878,0,62373.45108023523371610439608,45.25525916828636279580749037,1378.2586206896551
