FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51360 => 5.9.72.90:443,192.168.1.134,51360,5.9.72.90,443,6,1680796486.290369,rtv21,2.176117,104,104,7320,0,3363.789722703328911083365462,47.79154797283418125036475520,70.38461538461539
192.168.1.134:51361 => 5.9.72.90:443,192.168.1.134,51361,5.9.72.90,443,6,1680796486.290719,rtv21,2.175705,38,38,4935,0,2268.230297765551855605424449,17.46560310336189878683001602,129.8684210526316
5.9.72.90:443 => 192.168.1.134:51360,5.9.72.90,443,192.168.1.134,51360,6,1680796486.327563,rtv21,2.138547,514,514,360320,0,168488.2305602822851216269738,240.3501068716282597483244465,701.011673151751
5.9.72.90:443 => 192.168.1.134:51361,5.9.72.90,443,192.168.1.134,51361,6,1680796486.327568,rtv21,2.138541,63,63,83590,0,39087.39650069837333022841274,29.45933699657850843168309609,1326.8253968253969
192.168.1.134:51363 => 5.9.72.90:443,192.168.1.134,51363,5.9.72.90,443,6,1680796486.900596,rtv21,1.565676,73,73,7506,0,4794.095330068289991032627440,46.62522769717361701910229192,102.82191780821918
192.168.1.134:51364 => 5.9.72.90:443,192.168.1.134,51364,5.9.72.90,443,6,1680796486.900905,rtv21,1.565437,81,81,9187,0,5868.648818189425700299660734,51.74274020608941784306874055,113.41975308641975
192.168.1.134:51365 => 5.9.72.90:443,192.168.1.134,51365,5.9.72.90,443,6,1680796486.901159,rtv21,1.565296,61,61,5535,0,3536.072410585601700892355184,38.97026504891087692040355307,90.73770491803279
192.168.1.134:51366 => 5.9.72.90:443,192.168.1.134,51366,5.9.72.90,443,6,1680796486.901221,rtv21,1.565164,47,47,4799,0,3066.132366959628511772568242,30.02880209358252553725999320,102.1063829787234
5.9.72.90:443 => 192.168.1.134:51363,5.9.72.90,443,192.168.1.134,51363,6,1680796486.938305,rtv21,1.527802,188,188,268577,0,175793.0674262764415807807556,123.0525945115924707521000758,1428.6010638297873
5.9.72.90:443 => 192.168.1.134:51364,5.9.72.90,443,192.168.1.134,51364,6,1680796486.938310,rtv21,1.527798,248,248,353154,0,231152.2858388347150604988356,162.3251241329023863102321118,1424.008064516129
5.9.72.90:443 => 192.168.1.134:51366,5.9.72.90,443,192.168.1.134,51366,6,1680796486.938310,rtv21,1.527799,92,92,123469,0,80814.95013414722748214915706,60.21734534451194168866454291,1342.054347826087
5.9.72.90:443 => 192.168.1.134:51365,5.9.72.90,443,192.168.1.134,51365,6,1680796486.938310,rtv21,1.527800,109,109,150920,0,98782.56316271763319806257364,71.34441680848278570493520094,1384.5871559633028
