FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:62586 => 5.9.72.90:443,192.168.1.134,62586,5.9.72.90,443,6,1680798531.122751,rtv21,1.933408,104,104,7240,0,3744.682963968288121286350320,53.79102600175441500190337477,69.61538461538461
192.168.1.134:62587 => 5.9.72.90:443,192.168.1.134,62587,5.9.72.90,443,6,1680798531.123018,rtv21,1.935022,36,36,5445,0,2813.921495466201417865016522,18.60443963944595978753729932,151.25
5.9.72.90:443 => 192.168.1.134:62586,5.9.72.90,443,192.168.1.134,62586,6,1680798531.159066,rtv21,1.896897,582,582,375727,0,198074.5396297215926853171258,306.8168698669458594747105404,645.5790378006873
5.9.72.90:443 => 192.168.1.134:62587,5.9.72.90,443,192.168.1.134,62587,6,1680798531.159073,rtv21,1.898815,60,60,77873,0,41011.36761611847389029473645,31.59865495058760332101863531,1297.8833333333334
192.168.1.134:62589 => 5.9.72.90:443,192.168.1.134,62589,5.9.72.90,443,6,1680798531.706779,rtv21,1.349437,86,86,10057,0,7452.737697276716141620542493,63.73028159150816229286732171,116.94186046511628
192.168.1.134:62590 => 5.9.72.90:443,192.168.1.134,62590,5.9.72.90,443,6,1680798531.706973,rtv21,1.351038,71,71,6055,0,4481.739225691653380585890256,52.55218580084349959068508806,85.28169014084507
192.168.1.134:62591 => 5.9.72.90:443,192.168.1.134,62591,5.9.72.90,443,6,1680798531.707135,rtv21,1.349054,43,43,4591,0,3403.125449388979240267624572,31.87418739353650780472835038,106.76744186046511
192.168.1.134:62592 => 5.9.72.90:443,192.168.1.134,62592,5.9.72.90,443,6,1680798531.707302,rtv21,1.348813,66,66,7142,0,5295.026071071379056993074652,48.93191272622668968937873523,108.21212121212122
5.9.72.90:443 => 192.168.1.134:62589,5.9.72.90,443,192.168.1.134,62589,6,1680798531.742409,rtv21,1.313555,270,270,385151,0,293212.6937966053952822683481,205.5490634194989931902356582,1426.4851851851852
5.9.72.90:443 => 192.168.1.134:62592,5.9.72.90,443,192.168.1.134,62592,6,1680798531.742414,rtv21,1.313549,189,189,268629,0,204506.2650879411426600758708,143.8850016253676109532267163,1421.3174603174602
5.9.72.90:443 => 192.168.1.134:62591,5.9.72.90,443,192.168.1.134,62591,6,1680798531.742414,rtv21,1.313550,92,92,123469,0,93996.42191009097483917627803,70.03920672985421186860035781,1342.054347826087
5.9.72.90:443 => 192.168.1.134:62590,5.9.72.90,443,192.168.1.134,62590,6,1680798531.746216,rtv21,1.311671,157,157,222248,0,169438.8303164436813804681204,119.6946490392789045423738117,1415.592356687898
