FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51785 => 5.9.72.90:443,192.168.1.134,51785,5.9.72.90,443,6,1680801427.742812,rtv21,1.818364,90,90,6512,0,3581.241159635804492389862536,49.49504059693218739482303873,72.35555555555555
192.168.1.134:51786 => 5.9.72.90:443,192.168.1.134,51786,5.9.72.90,443,6,1680801427.743004,rtv21,1.819701,85,85,10519,0,5780.620002956529671632867158,46.71097064847466699199483871,123.75294117647059
5.9.72.90:443 => 192.168.1.134:51785,5.9.72.90,443,192.168.1.134,51785,6,1680801427.777952,rtv21,1.783031,582,582,373568,0,209512.9024677641611390940483,326.4104774398201713823259382,641.8694158075601
5.9.72.90:443 => 192.168.1.134:51786,5.9.72.90,443,192.168.1.134,51786,6,1680801427.777957,rtv21,1.784576,281,281,403350,0,226020.0742361210730167838187,157.4603715392339693013914790,1435.4092526690392
192.168.1.134:51788 => 5.9.72.90:443,192.168.1.134,51788,5.9.72.90,443,6,1680801428.305494,rtv21,1.257152,28,28,4515,0,3591.451153082523036196100392,22.27256529043425138726263809,161.25
192.168.1.134:51789 => 5.9.72.90:443,192.168.1.134,51789,5.9.72.90,443,6,1680801428.305569,rtv21,1.257108,40,40,4499,0,3578.849231728697932079025828,31.81906407404932591312759127,112.475
192.168.1.134:51790 => 5.9.72.90:443,192.168.1.134,51790,5.9.72.90,443,6,1680801428.305777,rtv21,1.255356,50,50,5653,0,4503.105095287711214986027868,39.82933924719362475664273720,113.06
192.168.1.134:51791 => 5.9.72.90:443,192.168.1.134,51791,5.9.72.90,443,6,1680801428.305948,rtv21,1.256770,55,55,5944,0,4729.584569969047637992631906,43.76297970193432370282549711,108.07272727272728
5.9.72.90:443 => 192.168.1.134:51790,5.9.72.90,443,192.168.1.134,51790,6,1680801428.340517,rtv21,1.220465,105,105,145728,0,119403.6699126972096700847628,86.03278258696480439832358978,1387.8857142857144
5.9.72.90:443 => 192.168.1.134:51788,5.9.72.90,443,192.168.1.134,51788,6,1680801428.340524,rtv21,1.222008,48,48,59622,0,48790.18795294302492291376161,39.27961191743425574955319441,1242.125
5.9.72.90:443 => 192.168.1.134:51789,5.9.72.90,443,192.168.1.134,51789,6,1680801428.340525,rtv21,1.222008,94,94,123597,0,101142.5457116483689141151285,76.92257333830875084287500573,1314.8617021276596
5.9.72.90:443 => 192.168.1.134:51791,5.9.72.90,443,192.168.1.134,51791,6,1680801428.342661,rtv21,1.219865,245,245,345381,0,283130.5103433576666270447959,200.8418964393600931250589205,1409.7183673469387
