FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:57333 => 5.9.72.90:443,192.168.1.134,57333,5.9.72.90,443,6,1680804436.319708,rtv21,2.082658,97,97,6876,0,3301.550230522726246940208138,46.57509778369756340215244174,70.88659793814433
192.168.1.134:57334 => 5.9.72.90:443,192.168.1.134,57334,5.9.72.90,443,6,1680804436.321859,rtv21,2.080611,39,39,5601,0,2691.997687217841297580374227,18.74449380494479746574443757,143.6153846153846
5.9.72.90:443 => 192.168.1.134:57333,5.9.72.90,443,192.168.1.134,57333,6,1680804436.356798,rtv21,2.045391,517,517,369890,0,180840.7292297658491701586640,252.7634080720996621183920336,715.4545454545455
5.9.72.90:443 => 192.168.1.134:57334,5.9.72.90,443,192.168.1.134,57334,6,1680804436.358671,rtv21,2.043558,60,60,77873,0,38106.57686251136498205580659,29.36055644126567486707008071,1297.8833333333334
192.168.1.134:57336 => 5.9.72.90:443,192.168.1.134,57336,5.9.72.90,443,6,1680804436.903610,rtv21,1.498809,47,47,4799,0,3201.875622577659995369656841,31.35823176935820374710853751,102.1063829787234
192.168.1.134:57337 => 5.9.72.90:443,192.168.1.134,57337,5.9.72.90,443,6,1680804436.903795,rtv21,1.498542,96,96,10577,0,7058.193897801996874295148217,64.06226852500630612955793031,110.17708333333333
192.168.1.134:57338 => 5.9.72.90:443,192.168.1.134,57338,5.9.72.90,443,6,1680804436.903925,rtv21,1.498469,64,64,6381,0,4258.346352176788442069872650,42.71025960497013952240586892,99.703125
192.168.1.134:57339 => 5.9.72.90:443,192.168.1.134,57339,5.9.72.90,443,6,1680804436.904221,rtv21,1.498223,65,65,6400,0,4271.727239536437499624555223,43.38472977654194335556188898,98.46153846153847
5.9.72.90:443 => 192.168.1.134:57337,5.9.72.90,443,192.168.1.134,57337,6,1680804436.942087,rtv21,1.460101,270,270,385151,0,263783.8067366572586416967045,184.9187145272827016761169262,1426.4851851851852
5.9.72.90:443 => 192.168.1.134:57338,5.9.72.90,443,192.168.1.134,57338,6,1680804436.942101,rtv21,1.460088,106,106,145780,0,99843.29711633819331437557188,72.59836393422862183649204705,1375.2830188679245
5.9.72.90:443 => 192.168.1.134:57336,5.9.72.90,443,192.168.1.134,57336,6,1680804436.942102,rtv21,1.460088,92,92,123469,0,84562.71128863465763707392979,63.00990077310408687695536159,1342.054347826087
5.9.72.90:443 => 192.168.1.134:57339,5.9.72.90,443,192.168.1.134,57339,6,1680804436.942103,rtv21,1.460087,241,241,345149,0,236389.3384435311046533528482,165.0586574635621028062026441,1432.1535269709543
