FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61993 => 5.9.72.90:443,192.168.1.134,61993,5.9.72.90,443,6,1680795233.317549,rtv21,2.094742,70,70,8474,0,4045.366923468379399467810356,33.41700314406261009709071571,121.05714285714286
192.168.1.134:61994 => 5.9.72.90:443,192.168.1.134,61994,5.9.72.90,443,6,1680795233.317772,rtv21,2.094585,116,116,7928,0,3784.997982893986159549505033,55.38089884153662897423594650,68.34482758620689
5.9.72.90:443 => 192.168.1.134:61994,5.9.72.90,443,192.168.1.134,61994,6,1680795233.352918,rtv21,2.059226,599,599,375479,0,182339.8694460928523629752150,290.8859930867228754881688557,626.8430717863105
5.9.72.90:443 => 192.168.1.134:61993,5.9.72.90,443,192.168.1.134,61993,6,1680795233.352922,rtv21,2.059221,175,175,248108,0,120486.3392515907714616352494,84.98359331028578282758382903,1417.76
192.168.1.134:61996 => 5.9.72.90:443,192.168.1.134,61996,5.9.72.90,443,6,1680795233.997326,rtv21,1.415001,62,62,6277,0,4436.039267816771860938614178,43.81622345143218980057257910,101.24193548387096
192.168.1.134:61997 => 5.9.72.90:443,192.168.1.134,61997,5.9.72.90,443,6,1680795233.997615,rtv21,1.414798,47,47,5389,0,3809.024327147762436757756231,33.22029010501852561284367097,114.65957446808511
192.168.1.134:61998 => 5.9.72.90:443,192.168.1.134,61998,5.9.72.90,443,6,1680795233.997816,rtv21,1.414626,103,103,9641,0,6815.228901490570652596516676,72.81076411715888157011111064,93.60194174757281
192.168.1.134:61999 => 5.9.72.90:443,192.168.1.134,61999,5.9.72.90,443,6,1680795233.997963,rtv21,1.414422,24,24,3717,0,2627.928581427607885058348923,16.96806186555356180828635301,154.875
5.9.72.90:443 => 192.168.1.134:61996,5.9.72.90,443,192.168.1.134,61996,6,1680795234.033105,rtv21,1.379039,106,106,145780,0,105711.2960547163640767229933,76.86512129098596921479378031,1375.2830188679245
5.9.72.90:443 => 192.168.1.134:61999,5.9.72.90,443,192.168.1.134,61999,6,1680795234.033110,rtv21,1.379035,40,40,46702,0,33865.71044244707349704684798,29.00579028088482163251839148,1167.55
5.9.72.90:443 => 192.168.1.134:61997,5.9.72.90,443,192.168.1.134,61997,6,1680795234.033111,rtv21,1.379034,101,101,136441,0,98939.54753834930828391468231,73.23967356859946890359483523,1350.90099009901
5.9.72.90:443 => 192.168.1.134:61998,5.9.72.90,443,192.168.1.134,61998,6,1680795234.033111,rtv21,1.379035,344,344,500235,0,362742.7875289604687335709391,249.4497964156094660396581668,1454.171511627907
