FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:56924 => 5.9.72.90:443,192.168.1.134,56924,5.9.72.90,443,6,1680797597.968563,rtv21,2.041980,99,99,6980,0,3418.250913329219678939068943,48.48235536097317309670026151,70.5050505050505
192.168.1.134:56925 => 5.9.72.90:443,192.168.1.134,56925,5.9.72.90,443,6,1680797597.968914,rtv21,2.041726,62,62,7401,0,3624.874248552450230834108005,30.36646445213510529816439620,119.37096774193549
5.9.72.90:443 => 192.168.1.134:56924,5.9.72.90,443,192.168.1.134,56924,6,1680797598.004346,rtv21,2.006035,572,572,375245,0,187058.0523271029667976879765,285.1395912833026343009967423,656.0227272727273
5.9.72.90:443 => 192.168.1.134:56925,5.9.72.90,443,192.168.1.134,56925,6,1680797598.004352,rtv21,2.006030,92,92,125259,0,62441.23966241781030193965195,45.86172689341634970563750293,1361.5108695652175
192.168.1.134:56927 => 5.9.72.90:443,192.168.1.134,56927,5.9.72.90,443,6,1680797598.531361,rtv21,1.479336,32,32,4730,0,3197.380446362422059626751461,21.63132648701850019197802257,147.8125
192.168.1.134:56928 => 5.9.72.90:443,192.168.1.134,56928,5.9.72.90,443,6,1680797598.531567,rtv21,1.479158,69,69,7220,0,4881.155360008869911125113071,46.64816064274404762709595594,104.6376811594203
192.168.1.134:56929 => 5.9.72.90:443,192.168.1.134,56929,5.9.72.90,443,6,1680797598.531720,rtv21,1.478949,46,46,4151,0,2806.722882263012450057439438,31.10316853387101245546668614,90.23913043478261
192.168.1.134:56930 => 5.9.72.90:443,192.168.1.134,56930,5.9.72.90,443,6,1680797598.531875,rtv21,1.478730,109,109,10632,0,7189.953541214420482441013572,73.71190142892887815896072982,97.54128440366972
5.9.72.90:443 => 192.168.1.134:56930,5.9.72.90,443,192.168.1.134,56930,6,1680797598.568542,rtv21,1.441839,327,327,470710,0,326465.0214066896512023880614,226.7936988803881709400286717,1439.480122324159
5.9.72.90:443 => 192.168.1.134:56927,5.9.72.90,443,192.168.1.134,56927,6,1680797598.568548,rtv21,1.441835,50,50,58718,0,40724.49344065028245256912199,34.67803181362638582084635204,1174.36
5.9.72.90:443 => 192.168.1.134:56928,5.9.72.90,443,192.168.1.134,56928,6,1680797598.568548,rtv21,1.441836,172,172,243109,0,168610.7157818226206031753958,119.2923467023988858649666120,1413.4244186046512
5.9.72.90:443 => 192.168.1.134:56929,5.9.72.90,443,192.168.1.134,56929,6,1680797598.568548,rtv21,1.441835,128,128,179638,0,124589.8455787243339217039398,88.77576144288354770136666123,1403.421875
