FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:56375 => 5.9.72.90:443,192.168.1.134,56375,5.9.72.90,443,6,1680794299.097855,rtv21,2.129461,105,105,7292,0,3424.340713448144859192067852,49.30825218212496025989675322,69.44761904761904
192.168.1.134:56376 => 5.9.72.90:443,192.168.1.134,56376,5.9.72.90,443,6,1680794299.098592,rtv21,2.128663,69,69,9673,0,4544.166925436294988920275309,32.41471289725052767864147589,140.18840579710144
5.9.72.90:443 => 192.168.1.134:56376,5.9.72.90,443,192.168.1.134,56376,6,1680794299.137176,rtv21,2.089869,142,142,196086,0,93826.93364990819998765472860,67.94684260113911446124135053,1380.887323943662
5.9.72.90:443 => 192.168.1.134:56375,5.9.72.90,443,192.168.1.134,56375,6,1680794299.137181,rtv21,2.089866,582,582,374125,0,179018.6547845651347981162429,278.4867546531691505579783584,642.8264604810996
192.168.1.134:56378 => 5.9.72.90:443,192.168.1.134,56378,5.9.72.90,443,6,1680794299.683203,rtv21,1.544003,123,123,10119,0,6553.743742725888485967967679,79.66305764949938568772210935,82.26829268292683
192.168.1.134:56379 => 5.9.72.90:443,192.168.1.134,56379,5.9.72.90,443,6,1680794299.683915,rtv21,1.543457,67,67,5840,0,3783.714091160297954526753904,43.40904864858561009474186842,87.16417910447761
192.168.1.134:56380 => 5.9.72.90:443,192.168.1.134,56380,5.9.72.90,443,6,1680794299.684140,rtv21,1.543205,30,30,4619,0,2993.121458263808113633639082,19.44006143059412067742134065,153.96666666666667
192.168.1.134:56381 => 5.9.72.90:443,192.168.1.134,56381,5.9.72.90,443,6,1680794299.684679,rtv21,1.542606,69,69,5951,0,3857.757586836820289821250533,44.72950319135281465260734108,86.2463768115942
5.9.72.90:443 => 192.168.1.134:56378,5.9.72.90,443,192.168.1.134,56378,6,1680794299.720445,rtv21,1.506599,322,322,463290,0,307507.1734416390824632168215,213.7264129340322142786501252,1438.7888198757764
5.9.72.90:443 => 192.168.1.134:56380,5.9.72.90,443,192.168.1.134,56380,6,1680794299.720449,rtv21,1.506598,49,49,59674,0,39608.44233166378821689661077,32.52360616435173815443801200,1217.8367346938776
5.9.72.90:443 => 192.168.1.134:56379,5.9.72.90,443,192.168.1.134,56379,6,1680794299.720450,rtv21,1.506597,118,118,163066,0,108234.6506730067828357550161,78.32220560640967690762692346,1381.915254237288
5.9.72.90:443 => 192.168.1.134:56381,5.9.72.90,443,192.168.1.134,56381,6,1680794299.727125,rtv21,1.499921,139,139,195358,0,130245.5262643832575182292934,92.67154736816138983319788176,1405.453237410072
