FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61866 => 138.201.56.69:443,192.168.1.134,61866,138.201.56.69,443,6,1680798394.667035,telesport,1.503007,89,89,9023,0,6003.298720498307725779054921,59.21462774291803032188140175,101.38202247191012
192.168.1.134:61867 => 138.201.56.69:443,192.168.1.134,61867,138.201.56.69,443,6,1680798394.667354,telesport,1.502611,82,82,6736,0,4482.863495608643887207001679,54.57167557005771952953891593,82.14634146341463
138.201.56.69:443 => 192.168.1.134:61866,138.201.56.69,443,192.168.1.134,61866,6,1680798394.704495,telesport,1.465327,398,398,578127,0,394537.8744812591319207248621,271.6117289860897942916495772,1452.5804020100502
138.201.56.69:443 => 192.168.1.134:61867,138.201.56.69,443,192.168.1.134,61867,6,1680798394.704500,telesport,1.465321,306,306,444037,0,303030.5305117445256022400553,208.8279632926846745525383175,1451.1013071895425
192.168.1.134:61869 => 138.201.56.69:443,192.168.1.134,61869,138.201.56.69,443,6,1680798395.239760,telesport,0.927550,67,67,8030,0,8657.215244461215028839415665,72.23330278691175677861031750,119.85074626865672
192.168.1.134:61870 => 138.201.56.69:443,192.168.1.134,61870,138.201.56.69,443,6,1680798395.239894,telesport,0.930091,43,43,6020,0,6472.484950397326713192580081,46.23203535998090509423271486,140.0
192.168.1.134:61875 => 138.201.56.69:443,192.168.1.134,61875,138.201.56.69,443,6,1680798395.249350,telesport,0.920580,43,43,5921,0,6431.814725499141845358361033,46.70968302591844272089334984,137.69767441860466
138.201.56.69:443 => 192.168.1.134:61869,138.201.56.69,443,192.168.1.134,61869,6,1680798395.275986,telesport,0.891111,224,224,320383,0,359532.0897172181692291981583,251.3716024154117724952334782,1430.28125
138.201.56.69:443 => 192.168.1.134:61870,138.201.56.69,443,192.168.1.134,61870,6,1680798395.285971,telesport,0.883851,104,104,141606,0,160214.7873340642257575089014,117.6668918177385102240083453,1361.5961538461538
138.201.56.69:443 => 192.168.1.134:61875,138.201.56.69,443,192.168.1.134,61875,6,1680798395.293539,telesport,0.876278,75,75,99796,0,113886.2324513453493069550987,85.58927646249249667343012149,1330.6133333333332
192.168.1.134:61877 => 138.201.56.69:443,192.168.1.134,61877,138.201.56.69,443,6,1680798395.377729,telesport,0.792295,115,115,8540,0,10778.81344701152979635110660,145.1479562536681412857584612,74.26086956521739
138.201.56.69:443 => 192.168.1.134:61877,138.201.56.69,443,192.168.1.134,61877,6,1680798395.416445,telesport,0.753377,631,631,924761,0,1227487.698721888244530958604,837.5620705171514394519609704,1465.5483359746434
