FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:56167 => 138.201.56.69:443,192.168.1.134,56167,138.201.56.69,443,6,1680797252.766820,telesport,1.503123,103,103,10957,0,7289.489948593694594520874207,68.52399969929273918368623193,106.37864077669903
192.168.1.134:56168 => 138.201.56.69:443,192.168.1.134,56168,138.201.56.69,443,6,1680797252.767156,telesport,1.502853,89,89,7096,0,4721.686019856898845063356163,59.22069557035851144456576924,79.73033707865169
138.201.56.69:443 => 192.168.1.134:56167,138.201.56.69,443,192.168.1.134,56167,6,1680797252.803206,telesport,1.466501,427,427,616951,0,420695.9286082996192979070590,291.1692525269331558587413169,1444.8501170960187
138.201.56.69:443 => 192.168.1.134:56168,138.201.56.69,443,192.168.1.134,56168,6,1680797252.805864,telesport,1.463844,277,277,401733,0,274437.0301753465533212555436,189.2278138927372042376100186,1450.2996389891696
192.168.1.134:56170 => 138.201.56.69:443,192.168.1.134,56170,138.201.56.69,443,6,1680797253.336455,telesport,0.933521,38,38,5024,0,5381.775021665286587018395944,40.70610088043011351646079735,132.21052631578948
192.168.1.134:56171 => 138.201.56.69:443,192.168.1.134,56171,138.201.56.69,443,6,1680797253.336610,telesport,0.931286,77,77,7888,0,8470.008139282669341104666021,82.68136748539116877092536557,102.44155844155844
192.168.1.134:56172 => 138.201.56.69:443,192.168.1.134,56172,138.201.56.69,443,6,1680797253.336735,telesport,0.933124,60,60,6372,0,6828.674431265298073996596379,64.30013588762050917134271544,106.2
138.201.56.69:443 => 192.168.1.134:56172,138.201.56.69,443,192.168.1.134,56172,6,1680797253.376154,telesport,0.893546,118,118,165482,0,185196.9568438558283513103970,132.0581145234828425173410211,1402.3898305084747
138.201.56.69:443 => 192.168.1.134:56171,138.201.56.69,443,192.168.1.134,56171,6,1680797253.376157,telesport,0.891616,173,173,244059,0,273726.5818468937300362487887,194.0297168287693356781394681,1410.7456647398844
138.201.56.69:443 => 192.168.1.134:56170,138.201.56.69,443,192.168.1.134,56170,6,1680797253.380076,telesport,0.889632,66,66,88164,0,99101.65101974749109744253804,74.18797884968166612711772958,1335.8181818181818
192.168.1.134:56178 => 138.201.56.69:443,192.168.1.134,56178,138.201.56.69,443,6,1680797253.455508,telesport,0.814400,99,99,8337,0,10236.98428290766208251473477,121.5618860510805500982318271,84.21212121212122
138.201.56.69:443 => 192.168.1.134:56178,138.201.56.69,443,192.168.1.134,56178,6,1680797253.494443,telesport,0.775264,615,615,900605,0,1161675.248689478680810665786,793.2781607297643125438560284,1464.39837398374
