FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:63844 => 138.201.56.69:443,192.168.1.56,63844,138.201.56.69,443,6,1680782160.258591,telesport,1.615196,55,55,6578,0,4072.570759214361600697376665,34.05159497670870903593124302,119.6
192.168.1.56:63845 => 138.201.56.69:443,192.168.1.56,63845,138.201.56.69,443,6,1680782160.259120,telesport,1.614686,57,57,6091,0,3772.250456125834992066568980,35.30098111954894016545631782,106.85964912280701
138.201.56.69:443 => 192.168.1.56:63844,138.201.56.69,443,192.168.1.56,63844,6,1680782160.294846,telesport,1.578918,382,382,542002,0,343274.3182356525164701396779,241.9378333770341461684520665,1418.8534031413612
138.201.56.69:443 => 192.168.1.56:63845,138.201.56.69,443,192.168.1.56,63845,6,1680782160.294852,telesport,1.578912,339,339,482390,0,305520.5103260979712612229181,214.7048093877302851583875479,1422.9793510324484
192.168.1.56:63851 => 138.201.56.69:443,192.168.1.56,63851,138.201.56.69,443,6,1680782160.791025,telesport,1.082401,37,37,4498,0,4155.576352941285161414300245,34.18326479742720119438174946,121.56756756756756
192.168.1.56:63852 => 138.201.56.69:443,192.168.1.56,63852,138.201.56.69,443,6,1680782160.791572,telesport,1.081887,27,27,5167,0,4775.914675007648673105416739,24.95639563096700487204301373,191.37037037037038
192.168.1.56:63853 => 138.201.56.69:443,192.168.1.56,63853,138.201.56.69,443,6,1680782160.791694,telesport,1.081756,50,50,7675,0,7094.945625446034040948236016,46.22114413971357681399502291,153.5
138.201.56.69:443 => 192.168.1.56:63851,138.201.56.69,443,192.168.1.56,63851,6,1680782160.825948,telesport,1.047423,101,101,138052,0,131801.5739581811741770039421,96.42713593266521739545532225,1366.851485148515
138.201.56.69:443 => 192.168.1.56:63852,138.201.56.69,443,192.168.1.56,63852,6,1680782160.825953,telesport,1.047419,40,40,49171,0,46944.91889110279649309397672,38.18911056606763864317909070,1229.275
138.201.56.69:443 => 192.168.1.56:63853,138.201.56.69,443,192.168.1.56,63853,6,1680782160.825953,telesport,1.047419,193,193,267594,0,255479.4213204075923770716399,184.2624584812763564533391126,1386.4974093264248
192.168.1.56:63859 => 138.201.56.69:443,192.168.1.56,63859,138.201.56.69,443,6,1680782160.894327,telesport,0.979473,96,96,7648,0,7808.280575370632983247113499,98.01189006741380313699305647,79.66666666666667
138.201.56.69:443 => 192.168.1.56:63859,138.201.56.69,443,192.168.1.56,63859,6,1680782160.931291,telesport,0.942473,550,550,787396,0,835457.3552770211984852616468,583.5710943443472651205923141,1431.629090909091
