FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51042 => 138.201.56.69:443,192.168.1.134,51042,138.201.56.69,443,6,1680801095.404228,telesport,1.379372,53,53,5835,0,4230.185910689792166290166830,38.42328247927317648901094121,110.09433962264151
192.168.1.134:51043 => 138.201.56.69:443,192.168.1.134,51043,138.201.56.69,443,6,1680801095.404416,telesport,1.379159,64,64,7669,0,5560.635140690812299379549421,46.40509179869761209548717733,119.828125
138.201.56.69:443 => 192.168.1.134:51043,138.201.56.69,443,192.168.1.134,51043,6,1680801095.441887,telesport,1.341503,363,363,525780,0,391933.5253070623025069642036,270.5920150756278591997185247,1448.4297520661157
138.201.56.69:443 => 192.168.1.134:51042,138.201.56.69,443,192.168.1.134,51042,6,1680801095.441894,telesport,1.341497,386,386,563454,0,420018.8297103907053090688984,287.7382506259797822879961714,1459.7253886010362
192.168.1.134:51045 => 138.201.56.69:443,192.168.1.134,51045,138.201.56.69,443,6,1680801095.935909,telesport,0.844340,54,54,7396,0,8759.504465025937418575455385,63.95527867920505957315773267,136.96296296296296
192.168.1.134:51046 => 138.201.56.69:443,192.168.1.134,51046,138.201.56.69,443,6,1680801095.936283,telesport,0.847298,22,22,3661,0,4320.793864732360987515608440,25.96489074682107121697442930,166.4090909090909
192.168.1.134:51047 => 138.201.56.69:443,192.168.1.134,51047,138.201.56.69,443,6,1680801095.936570,telesport,0.846994,33,33,5419,0,6397.920174168884313230081913,38.96131495618623036290693913,164.21212121212122
138.201.56.69:443 => 192.168.1.134:51045,138.201.56.69,443,192.168.1.134,51045,6,1680801095.973318,telesport,0.806748,183,183,258212,0,320065.2496194598561136810999,226.8366330006396049323952461,1410.9945355191257
138.201.56.69:443 => 192.168.1.134:51046,138.201.56.69,443,192.168.1.134,51046,6,1680801095.973318,telesport,0.810072,35,35,42603,0,52591.62148549758539981631262,43.20603600667594979211724390,1217.2285714285715
138.201.56.69:443 => 192.168.1.134:51047,138.201.56.69,443,192.168.1.134,51047,6,1680801095.973319,telesport,0.810070,63,63,81988,0,101211.0064562321774661449011,77.77105682224992901847988445,1301.3968253968253
192.168.1.134:51053 => 138.201.56.69:443,192.168.1.134,51053,138.201.56.69,443,6,1680801096.046749,telesport,0.736771,68,68,6751,0,9162.955653792019501310447887,92.29462071661343891114063936,99.27941176470588
138.201.56.69:443 => 192.168.1.134:51053,138.201.56.69,443,192.168.1.134,51053,6,1680801096.082914,telesport,0.700469,506,506,742102,0,1059435.892237914882742848006,722.3731528447368834309584007,1466.604743083004
