FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:57715 => 65.21.91.157:443,10.1.215.139,57715,65.21.91.157,443,6,1680738254.617395,ul-info,0.188168,9,9,1037,0,5511.032694188172271587092386,47.82959908167169763190340547,115.22222222222223
10.1.215.139:57716 => 65.21.91.157:443,10.1.215.139,57716,65.21.91.157,443,6,1680738254.619903,ul-info,2.395844,56,56,5050,0,2107.816702589984990675519775,23.37380897921567514412457572,90.17857142857143
10.1.215.139:57717 => 65.21.91.157:443,10.1.215.139,57717,65.21.91.157,443,6,1680738254.671963,ul-info,2.343748,9,9,1037,0,442.4537108938332960710793140,3.840003276802796205052761645,115.22222222222223
65.21.91.157:443 => 10.1.215.139:57715,65.21.91.157,443,10.1.215.139,57715,6,1680738254.679939,ul-info,0.125350,7,7,5041,0,40215.39688871160749900279218,55.84363781412046270442760271,720.1428571428571
65.21.91.157:443 => 10.1.215.139:57716,65.21.91.157,443,10.1.215.139,57716,6,1680738254.679944,ul-info,2.335661,190,190,260390,0,111484.5005332537555749742792,81.34742156503019915989520740,1370.4736842105262
65.21.91.157:443 => 10.1.215.139:57717,65.21.91.157,443,10.1.215.139,57717,6,1680738254.732665,ul-info,2.282945,8,8,5093,0,2230.890363105550068004266419,3.504245612574985380725335039,636.625
10.1.215.139:57723 => 65.21.91.157:443,10.1.215.139,57723,65.21.91.157,443,6,1680738256.348601,ul-info,0.667157,8,8,964,0,1444.937248653615265971877684,11.99118048675199390848031273,120.5
10.1.215.139:57725 => 65.21.91.157:443,10.1.215.139,57725,65.21.91.157,443,6,1680738256.400553,ul-info,0.618224,5,5,248,0,401.1490980615440358187323689,8.087683428660162012474442920,49.6
65.21.91.157:443 => 10.1.215.139:57723,65.21.91.157,443,10.1.215.139,57723,6,1680738256.413683,ul-info,0.602050,7,7,1761,0,2925.006228718544971347894693,11.62694128394651607009384603,251.57142857142858
65.21.91.157:443 => 10.1.215.139:57725,65.21.91.157,443,10.1.215.139,57725,6,1680738256.486216,ul-info,0.532464,5,5,742,0,1393.521439947113795486643228,9.390306199104540400853391027,148.4
