FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:51415 => 51.178.75.191:443,10.1.215.139,51415,51.178.75.191,443,6,1680737073.048081,balkanweb,2.468699,113,113,22957,0,9299.230080297355003586909542,45.77309748981143509192493698,203.15929203539824
10.1.215.139:51416 => 51.178.75.191:443,10.1.215.139,51416,51.178.75.191,443,6,1680737073.048706,balkanweb,2.475691,149,149,24286,0,9809.786439422367330979512387,60.18521697578575032182933977,162.99328859060404
51.178.75.191:443 => 10.1.215.139:51415,51.178.75.191,443,10.1.215.139,51415,6,1680737073.094175,balkanweb,2.422245,394,394,555725,0,229425.5948510575932657514000,162.6590208670056084334986758,1410.469543147208
51.178.75.191:443 => 10.1.215.139:51416,51.178.75.191,443,10.1.215.139,51416,6,1680737073.094191,balkanweb,2.430108,709,709,1020192,0,419813.4403903036408258398392,291.7565803659755039693709086,1438.916784203103
10.1.215.139:51418 => 51.178.75.191:443,10.1.215.139,51418,51.178.75.191,443,6,1680737073.250324,balkanweb,2.274128,126,126,19915,0,8757.202760794467154003644474,55.40585226513195387418826029,158.05555555555554
10.1.215.139:51419 => 51.178.75.191:443,10.1.215.139,51419,51.178.75.191,443,6,1680737073.250517,balkanweb,2.273953,85,85,18475,0,8124.618230895713323890159559,37.37984030452696251857448241,217.35294117647058
10.1.215.139:51420 => 51.178.75.191:443,10.1.215.139,51420,51.178.75.191,443,6,1680737073.250586,balkanweb,2.273859,98,98,20032,0,8809.693125211369746321121934,43.09853865169300295224989764,204.40816326530611
10.1.215.139:51421 => 51.178.75.191:443,10.1.215.139,51421,51.178.75.191,443,6,1680737073.250765,balkanweb,2.273670,118,118,18653,0,8203.917015222085878777483100,51.89847251360135815663662713,158.07627118644066
51.178.75.191:443 => 10.1.215.139:51418,51.178.75.191,443,10.1.215.139,51418,6,1680737073.295288,balkanweb,2.229016,574,574,831573,0,373067.3086240744795012687213,257.5127320754987851141490236,1448.733449477352
51.178.75.191:443 => 10.1.215.139:51420,51.178.75.191,443,10.1.215.139,51420,6,1680737073.296884,balkanweb,2.227420,271,271,382162,0,171571.5940415368453187993284,121.6654245719262644674107263,1410.1918819188193
51.178.75.191:443 => 10.1.215.139:51421,51.178.75.191,443,10.1.215.139,51421,6,1680737073.296890,balkanweb,2.227414,539,539,778612,0,349558.7259485663644028456318,241.9846512592629838907360733,1444.5491651205937
51.178.75.191:443 => 10.1.215.139:51419,51.178.75.191,443,10.1.215.139,51419,6,1680737073.296891,balkanweb,2.227414,210,210,290560,0,130447.2361222475929485941994,94.27973425685570800937769090,1383.6190476190477
10.1.215.139:51435 => 51.178.75.191:443,10.1.215.139,51435,51.178.75.191,443,6,1680737073.557269,balkanweb,1.963898,12,12,1891,0,962.8809642863325895744076322,6.110296970616600251133205492,157.58333333333334
10.1.215.139:51436 => 51.178.75.191:443,10.1.215.139,51436,51.178.75.191,443,6,1680737073.557305,balkanweb,1.964713,12,12,1897,0,965.5354242578941555331491164,6.107762304214406887927142539,158.08333333333334
10.1.215.139:51437 => 51.178.75.191:443,10.1.215.139,51437,51.178.75.191,443,6,1680737073.557333,balkanweb,1.963060,12,12,1894,0,964.8202296414781005165405031,6.112905362036820066630668446,157.83333333333334
51.178.75.191:443 => 10.1.215.139:51437,51.178.75.191,443,10.1.215.139,51437,6,1680737073.603543,balkanweb,1.916665,12,12,10405,0,5428.700372782932854724221499,6.260875009456529962199967130,867.0833333333334
51.178.75.191:443 => 10.1.215.139:51436,51.178.75.191,443,10.1.215.139,51436,6,1680737073.603549,balkanweb,1.918387,12,12,8814,0,4594.484845862696108762204915,6.255255065844378636844390626,734.5
51.178.75.191:443 => 10.1.215.139:51435,51.178.75.191,443,10.1.215.139,51435,6,1680737073.603550,balkanweb,1.917568,12,12,9101,0,4746.115913490421200186903411,6.257926707162405713904278753,758.4166666666666
