FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:64813 => 51.178.75.191:443,192.168.1.56,64813,51.178.75.191,443,6,1680782257.759217,balkanweb,2.995399,75,75,21515,0,7182.682507405524272392425850,25.03840056032602000601589304,286.8666666666667
192.168.1.56:64814 => 51.178.75.191:443,192.168.1.56,64814,51.178.75.191,443,6,1680782257.759724,balkanweb,2.996623,114,114,25196,0,8408.131419935040210263353114,38.04282353836301730314423937,221.01754385964912
51.178.75.191:443 => 192.168.1.56:64813,51.178.75.191,443,192.168.1.56,64813,6,1680782257.797882,balkanweb,2.956453,280,280,377970,0,127845.7665317189212884493682,94.70808431590152118095569251,1349.892857142857
51.178.75.191:443 => 192.168.1.56:64814,51.178.75.191,443,192.168.1.56,64814,6,1680782257.797889,balkanweb,2.958316,606,606,844400,0,285432.6583096599551907233710,204.8462706485716874059431109,1393.3993399339934
192.168.1.56:64816 => 51.178.75.191:443,192.168.1.56,64816,51.178.75.191,443,6,1680782257.935614,balkanweb,2.820790,100,100,20653,0,7321.707748538529986280439168,35.45106158203907416007572347,206.53
192.168.1.56:64817 => 51.178.75.191:443,192.168.1.56,64817,51.178.75.191,443,6,1680782257.935959,balkanweb,2.820417,65,65,15651,0,5549.179429850266822246497592,23.04623748899542159900468619,240.7846153846154
192.168.1.56:64818 => 51.178.75.191:443,192.168.1.56,64818,51.178.75.191,443,6,1680782257.936098,balkanweb,2.820334,61,61,16128,0,5718.471642011194418817062093,21.62864398330126857315481074,264.39344262295083
192.168.1.56:64819 => 51.178.75.191:443,192.168.1.56,64819,51.178.75.191,443,6,1680782257.936205,balkanweb,2.802592,85,85,25218,0,8998.098902730044187666274649,30.32906680672748655530309085,296.6823529411765
51.178.75.191:443 => 192.168.1.56:64816,51.178.75.191,443,192.168.1.56,64816,6,1680782257.975363,balkanweb,2.780843,504,504,698288,0,251106.5889012792164102755891,181.2400052789747569352171266,1385.4920634920634
51.178.75.191:443 => 192.168.1.56:64819,51.178.75.191,443,192.168.1.56,64819,6,1680782257.976864,balkanweb,2.797821,373,373,503118,0,179824.9423390560010808411260,133.3180357142218891058434403,1348.8418230563002
51.178.75.191:443 => 192.168.1.56:64818,51.178.75.191,443,192.168.1.56,64818,6,1680782257.976868,balkanweb,2.779338,355,355,492314,0,177133.5476289677613877837096,127.7282575922755706574731105,1386.8
51.178.75.191:443 => 192.168.1.56:64817,51.178.75.191,443,192.168.1.56,64817,6,1680782257.976868,balkanweb,2.779338,423,423,587395,0,211343.4925870836868347786415,152.1945153845987785580595091,1388.6406619385343
192.168.1.56:64835 => 51.178.75.191:443,192.168.1.56,64835,51.178.75.191,443,6,1680782258.653592,balkanweb,2.102728,12,12,1992,0,947.3407877766406306474256299,5.706872215521931509924250783,166.0
192.168.1.56:64836 => 51.178.75.191:443,192.168.1.56,64836,51.178.75.191,443,6,1680782258.653689,balkanweb,2.102606,11,11,1937,0,921.2377402138108613786891125,5.231603067812038964979649064,176.0909090909091
192.168.1.56:64837 => 51.178.75.191:443,192.168.1.56,64837,51.178.75.191,443,6,1680782258.653692,balkanweb,2.100949,13,13,2038,0,970.0378257635002087152044148,6.187679948442346768055769083,156.76923076923077
51.178.75.191:443 => 192.168.1.56:64837,51.178.75.191,443,192.168.1.56,64837,6,1680782258.695838,balkanweb,2.058503,12,12,9101,0,4421.174027922232807044731050,5.829478995172705602080735369,758.4166666666666
51.178.75.191:443 => 192.168.1.56:64835,51.178.75.191,443,192.168.1.56,64835,6,1680782258.695843,balkanweb,2.060362,11,11,8762,0,4252.650747781215145687990751,5.338867635881461607232127170,796.5454545454545
51.178.75.191:443 => 192.168.1.56:64836,51.178.75.191,443,192.168.1.56,64836,6,1680782258.695865,balkanweb,2.060335,13,13,10457,0,5075.388225701160248212062601,6.309653527217661205580645866,804.3846153846154
