FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:57127 => 51.178.75.191:443,192.168.1.134,57127,51.178.75.191,443,6,1680804410.505287,balkanweb,3.254002,181,181,24170,0,7427.776627058004266745994624,55.62381338425729301948800277,133.53591160220995
192.168.1.134:57128 => 51.178.75.191:443,192.168.1.134,57128,51.178.75.191,443,6,1680804410.505876,balkanweb,3.232864,234,234,31030,0,9598.300454333989923485800826,72.38164055153572807269343839,132.60683760683762
51.178.75.191:443 => 192.168.1.134:57127,51.178.75.191,443,192.168.1.134,57127,6,1680804410.551643,balkanweb,3.207220,967,967,1413541,0,440737.1493068763602122710634,301.5072243251164559961586670,1461.7797311271975
51.178.75.191:443 => 192.168.1.134:57128,51.178.75.191,443,192.168.1.134,57128,6,1680804410.551648,balkanweb,3.187010,956,956,1390762,0,436384.5736285734905130514181,299.9676813063027728184097320,1454.7719665271966
192.168.1.134:57129 => 51.178.75.191:443,192.168.1.134,57129,51.178.75.191,443,6,1680804410.714921,balkanweb,3.044213,118,118,18339,0,6024.217096504088248752633275,38.76207085378059945214083246,155.41525423728814
192.168.1.134:57130 => 51.178.75.191:443,192.168.1.134,57130,51.178.75.191,443,6,1680804410.715135,balkanweb,3.044128,106,106,19365,0,6361.427640362034710761176928,34.82113761313584711286779005,182.68867924528303
192.168.1.134:57131 => 51.178.75.191:443,192.168.1.134,57131,51.178.75.191,443,6,1680804410.715219,balkanweb,3.043989,96,96,18577,0,6102.847283613705568581226805,31.53756468896569599955847409,193.51041666666666
192.168.1.134:57132 => 51.178.75.191:443,192.168.1.134,57132,51.178.75.191,443,6,1680804410.715485,balkanweb,3.043698,99,99,15989,0,5253.149294049541051707495290,32.52622303526828220145362648,161.5050505050505
51.178.75.191:443 => 192.168.1.134:57130,51.178.75.191,443,192.168.1.134,57130,6,1680804410.763444,balkanweb,2.995419,271,271,377141,0,125905.9250141632940166300608,90.47148328831458971182328749,1391.6642066420663
51.178.75.191:443 => 192.168.1.134:57129,51.178.75.191,443,192.168.1.134,57129,6,1680804410.763449,balkanweb,2.995411,398,398,573670,0,191516.2894173787837462037764,132.8699133441120433890374309,1441.3819095477386
51.178.75.191:443 => 192.168.1.134:57132,51.178.75.191,443,192.168.1.134,57132,6,1680804410.763449,balkanweb,2.995413,306,306,433769,0,144811.0828122866529590410404,102.1561968249453414270419471,1417.545751633987
51.178.75.191:443 => 192.168.1.134:57131,51.178.75.191,443,192.168.1.134,57131,6,1680804410.763450,balkanweb,2.995412,323,323,460675,0,153793.5349127265297728659697,107.8315770918992111936521587,1426.2383900928792
192.168.1.134:57141 => 51.178.75.191:443,192.168.1.134,57141,51.178.75.191,443,6,1680804410.982319,balkanweb,2.776840,10,10,1883,0,678.1089295746243931951426802,3.601215770444101928811166650,188.3
192.168.1.134:57142 => 51.178.75.191:443,192.168.1.134,57142,51.178.75.191,443,6,1680804410.982389,balkanweb,2.776680,12,12,1990,0,716.6832332137660803549562787,4.321707938977483901637927309,165.83333333333334
192.168.1.134:57143 => 51.178.75.191:443,192.168.1.134,57143,51.178.75.191,443,6,1680804410.998323,balkanweb,2.760783,11,11,1941,0,703.0614140988263112312702592,3.984376895974801351645529547,176.45454545454547
51.178.75.191:443 => 192.168.1.134:57142,51.178.75.191,443,192.168.1.134,57142,6,1680804411.039921,balkanweb,2.718931,13,13,10457,0,3845.996827429603767068748710,4.781290882335741510174403102,804.3846153846154
51.178.75.191:443 => 192.168.1.134:57141,51.178.75.191,443,192.168.1.134,57141,6,1680804411.041721,balkanweb,2.717140,12,12,9101,0,3349.477759703217353540855458,4.416408429451555679869274310,758.4166666666666
51.178.75.191:443 => 192.168.1.134:57143,51.178.75.191,443,192.168.1.134,57143,6,1680804411.045441,balkanweb,2.713419,11,11,8762,0,3229.136377389559076574609377,4.053926061548179621355935077,796.5454545454545
