FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51154 => 51.178.75.191:443,192.168.1.134,51154,51.178.75.191,443,6,1680796460.699481,balkanweb,3.560233,186,186,29450,0,8271.930516907179951424527552,52.24377168572955758794438454,158.33333333333334
192.168.1.134:51155 => 51.178.75.191:443,192.168.1.134,51155,51.178.75.191,443,6,1680796460.700071,balkanweb,3.559618,173,173,22827,0,6412.766763175149693028858715,48.60072063912476001638378051,131.9479768786127
51.178.75.191:443 => 192.168.1.134:51154,51.178.75.191,443,192.168.1.134,51154,6,1680796460.747725,balkanweb,3.511758,745,745,1070173,0,304739.9621500114757338062589,212.1444587013114229397355968,1436.4738255033558
51.178.75.191:443 => 192.168.1.134:51155,51.178.75.191,443,192.168.1.134,51155,6,1680796460.747739,balkanweb,3.511744,721,721,1047855,0,298385.9301816988937690218877,205.3110932915383353684095424,1453.3356449375867
192.168.1.134:51157 => 51.178.75.191:443,192.168.1.134,51157,51.178.75.191,443,6,1680796460.903983,balkanweb,3.340057,214,214,24256,0,7262.151514180746017208688355,64.07076286422656858850013637,113.34579439252336
192.168.1.134:51158 => 51.178.75.191:443,192.168.1.134,51158,51.178.75.191,443,6,1680796460.904188,balkanweb,3.355550,198,198,20913,0,6232.361311856476583570502600,59.00672020980167185707261105,105.62121212121212
192.168.1.134:51159 => 51.178.75.191:443,192.168.1.134,51159,51.178.75.191,443,6,1680796460.904543,balkanweb,3.355220,92,92,19141,0,5704.842007379545901610028553,27.41996053910026764265830557,208.05434782608697
192.168.1.134:51160 => 51.178.75.191:443,192.168.1.134,51160,51.178.75.191,443,6,1680796460.904710,balkanweb,3.354954,105,105,20168,0,6011.408800239884063984185774,31.29700138958686169765665938,192.07619047619048
51.178.75.191:443 => 192.168.1.134:51157,51.178.75.191,443,192.168.1.134,51157,6,1680796460.959049,balkanweb,3.284850,691,691,1008054,0,306879.7661993698342390063473,210.3596815684125606953133324,1458.8335745296672
51.178.75.191:443 => 192.168.1.134:51158,51.178.75.191,443,192.168.1.134,51158,6,1680796460.959050,balkanweb,3.300434,847,847,1238200,0,375162.7816220533420756179339,256.6329155498943472282736149,1461.8654073199527
51.178.75.191:443 => 192.168.1.134:51159,51.178.75.191,443,192.168.1.134,51159,6,1680796460.959051,balkanweb,3.300433,227,227,315280,0,95526.85965750554548448642951,68.77885416852879607009140922,1388.8986784140968
51.178.75.191:443 => 192.168.1.134:51160,51.178.75.191,443,192.168.1.134,51160,6,1680796460.959051,balkanweb,3.300431,320,320,452948,0,137239.0454458826741113509114,96.95703379346515652046656937,1415.4625
192.168.1.134:51169 => 51.178.75.191:443,192.168.1.134,51169,51.178.75.191,443,6,1680796461.166675,balkanweb,3.092895,12,12,1986,0,642.1168516874966657451998855,3.879860131042275925952869399,165.5
192.168.1.134:51170 => 51.178.75.191:443,192.168.1.134,51170,51.178.75.191,443,6,1680796461.166732,balkanweb,3.092878,12,12,1989,0,643.0903514461288159442435169,3.879881456688559975530880946,165.75
192.168.1.134:51174 => 51.178.75.191:443,192.168.1.134,51174,51.178.75.191,443,6,1680796461.201577,balkanweb,3.058061,11,11,1940,0,634.3889150674234425016374755,3.597050549351370034803099088,176.36363636363637
51.178.75.191:443 => 192.168.1.134:51169,51.178.75.191,443,192.168.1.134,51169,6,1680796461.300327,balkanweb,2.959149,12,12,9101,0,3075.546381746914400052177163,4.055219929783866915792344353,758.4166666666666
51.178.75.191:443 => 192.168.1.134:51170,51.178.75.191,443,192.168.1.134,51170,6,1680796461.300340,balkanweb,2.959142,13,13,10457,0,3533.794593162477501924544344,4.393165316162590372479590368,804.3846153846154
51.178.75.191:443 => 192.168.1.134:51174,51.178.75.191,443,192.168.1.134,51174,6,1680796461.346655,balkanweb,2.912827,12,12,8814,0,3025.926359512597212261490298,4.119709134802719145352607621,734.5
