FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:56172 => 51.178.75.191:443,192.168.1.134,56172,51.178.75.191,443,6,1680794270.331707,balkanweb,2.878789,153,153,23815,0,8272.575725417875363564332085,53.14734772155930844532197393,155.65359477124184
192.168.1.134:56173 => 51.178.75.191:443,192.168.1.134,56173,51.178.75.191,443,6,1680794270.334330,balkanweb,2.878951,113,113,23424,0,8136.296866462819269935473025,39.25040752690823845213065453,207.2920353982301
51.178.75.191:443 => 192.168.1.134:56172,51.178.75.191,443,192.168.1.134,56172,6,1680794270.377805,balkanweb,2.832552,668,668,961213,0,339345.2264954006140046149197,235.8297394010771911689529442,1438.9416167664672
51.178.75.191:443 => 192.168.1.134:56173,51.178.75.191,443,192.168.1.134,56173,6,1680794270.380459,balkanweb,2.832692,308,308,436160,0,153973.6759238208742778953730,108.7304938200129064508248691,1416.1038961038962
192.168.1.134:56175 => 51.178.75.191:443,192.168.1.134,56175,51.178.75.191,443,6,1680794270.529648,balkanweb,2.683652,114,114,20916,0,7793.857027662304948629703106,42.47942728788978600802190448,183.47368421052633
192.168.1.134:56176 => 51.178.75.191:443,192.168.1.134,56176,51.178.75.191,443,6,1680794270.529775,balkanweb,2.680702,132,132,20457,0,7631.210033789656589952930240,49.24083318474041501069495975,154.97727272727272
192.168.1.134:56177 => 51.178.75.191:443,192.168.1.134,56177,51.178.75.191,443,6,1680794270.530131,balkanweb,2.676628,176,176,22367,0,8356.409631820335138091658609,65.75437453392851005070558927,127.08522727272727
192.168.1.134:56178 => 51.178.75.191:443,192.168.1.134,56178,51.178.75.191,443,6,1680794270.530205,balkanweb,2.680282,175,175,20543,0,7664.492019869551039778650157,65.29163722324740456414660845,117.38857142857142
51.178.75.191:443 => 192.168.1.134:56175,51.178.75.191,443,192.168.1.134,56175,6,1680794270.577413,balkanweb,2.635744,322,322,451006,0,171111.4584724464894921509828,122.1666444085616812558427526,1400.6397515527951
51.178.75.191:443 => 192.168.1.134:56176,51.178.75.191,443,192.168.1.134,56176,6,1680794270.577420,balkanweb,2.632937,536,536,776527,0,294928.0594256527976172616360,203.5749431148561473366054714,1448.7444029850747
51.178.75.191:443 => 192.168.1.134:56177,51.178.75.191,443,192.168.1.134,56177,6,1680794270.577421,balkanweb,2.629210,897,897,1312577,0,499228.6656448134610776621114,341.1671186401999079571430201,1463.2965440356745
51.178.75.191:443 => 192.168.1.134:56178,51.178.75.191,443,192.168.1.134,56178,6,1680794270.577421,balkanweb,2.632936,1156,1156,1698037,0,644921.4868876417808864324845,439.0535888453042535025538031,1468.8901384083044
192.168.1.134:56188 => 51.178.75.191:443,192.168.1.134,56188,51.178.75.191,443,6,1680794270.764301,balkanweb,2.446134,11,11,1839,0,751.7985523278773771183426583,4.496891830128684691844355215,167.1818181818182
192.168.1.134:56189 => 51.178.75.191:443,192.168.1.134,56189,51.178.75.191,443,6,1680794270.764351,balkanweb,2.446163,14,14,1998,0,816.7893962912528723556034492,5.723249023061831938427651796,142.71428571428572
192.168.1.134:56191 => 51.178.75.191:443,192.168.1.134,56191,51.178.75.191,443,6,1680794270.786329,balkanweb,2.426988,13,13,2045,0,842.6082040784709277507758588,5.356433571158983892792218173,157.30769230769232
51.178.75.191:443 => 192.168.1.134:56189,51.178.75.191,443,192.168.1.134,56189,6,1680794270.818659,balkanweb,2.391699,12,12,10405,0,4350.463833450613977762251855,5.017353772360150671133783975,867.0833333333334
51.178.75.191:443 => 192.168.1.134:56188,51.178.75.191,443,192.168.1.134,56188,6,1680794270.818665,balkanweb,2.391687,12,12,9101,0,3805.263815875572347050429258,5.017378946325334376948154169,758.4166666666666
51.178.75.191:443 => 192.168.1.134:56191,51.178.75.191,443,192.168.1.134,56191,6,1680794270.839148,balkanweb,2.374009,11,11,8762,0,3690.803194090671096866102867,4.633512341360121212682849981,796.5454545454545
