FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:62542 => 188.114.96.7:443,192.168.1.56,62542,188.114.96.7,443,6,1680789228.617254,epokaere,0.655635,55,55,5100,0,7778.718341760278203573634721,83.88813897976770611697057052,92.72727272727273
192.168.1.56:62543 => 188.114.96.7:443,192.168.1.56,62543,188.114.96.7,443,6,1680789228.617461,epokaere,0.115327,7,7,957,0,8298.143539674143955881970397,60.69697468936155453623175839,136.71428571428572
188.114.96.7:443 => 192.168.1.56:62542,188.114.96.7,443,192.168.1.56,62542,6,1680789228.650688,epokaere,0.622129,140,140,179951,0,289250.3001789018033237479687,225.0337148726389543004746604,1285.3642857142856
188.114.96.7:443 => 192.168.1.56:62543,188.114.96.7,443,192.168.1.56,62543,6,1680789228.650696,epokaere,0.081948,5,5,2396,0,29238.05339971689363986918534,61.01430175233074632693903451,479.2
192.168.1.56:62579 => 188.114.96.7:443,192.168.1.56,62579,188.114.96.7,443,6,1680789231.434932,epokaere,0.512756,6,6,817,0,1593.350443485790512446465765,11.70147204518328405713438751,136.16666666666666
192.168.1.56:62580 => 188.114.96.7:443,192.168.1.56,62580,188.114.96.7,443,6,1680789231.434973,epokaere,0.424320,8,8,1009,0,2377.922322775263951734539970,18.85369532428355957767722474,126.125
192.168.1.56:62581 => 188.114.96.7:443,192.168.1.56,62581,188.114.96.7,443,6,1680789231.435003,epokaere,0.125306,7,7,869,0,6935.023063540452971126681883,55.86324677190238296649801286,124.14285714285714
192.168.1.56:62582 => 188.114.96.7:443,192.168.1.56,62582,188.114.96.7,443,6,1680789231.435032,epokaere,2.053582,176,176,21627,0,10531.35448207084012228389224,85.70390663728061504239908608,122.88068181818181
188.114.96.7:443 => 192.168.1.56:62582,188.114.96.7,443,192.168.1.56,62582,6,1680789231.486491,epokaere,2.002052,150,150,156414,0,78126.84186025138208198388453,74.92312886977960612411665631,1042.76
188.114.96.7:443 => 192.168.1.56:62581,188.114.96.7,443,192.168.1.56,62581,6,1680789231.486491,epokaere,0.073728,6,6,4607,0,62486.43663194444444444444444,81.38020833333333333333333333,767.8333333333334
188.114.96.7:443 => 192.168.1.56:62580,188.114.96.7,443,192.168.1.56,62580,6,1680789231.486491,epokaere,0.372679,7,7,4659,0,12501.37517810233471700847110,18.78292042213272011570278980,665.5714285714286
188.114.96.7:443 => 192.168.1.56:62579,188.114.96.7,443,192.168.1.56,62579,6,1680789231.486492,epokaere,0.460984,7,7,6059,0,13143.62320601148846814639988,15.18490880377626989223053295,865.5714285714286
192.168.1.56:62630 => 188.114.97.7:443,192.168.1.56,62630,188.114.97.7,443,6,1680789233.471167,epokaere,0.144135,11,11,1739,0,12065.07787837790959864016374,76.31734138134387900232420994,158.0909090909091
188.114.97.7:443 => 192.168.1.56:62630,188.114.97.7,443,192.168.1.56,62630,6,1680789233.509471,epokaere,0.159052,11,11,6082,0,38239.06646882780474310288459,69.15977164700852551366848578,552.9090909090909
