FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:54127 => 188.114.97.7:443,10.1.215.139,54127,188.114.97.7,443,6,1680737810.585260,epokaere,0.448147,85,85,7436,0,16592.76978312919644670164031,189.6699074187710728845668943,87.48235294117647
10.1.215.139:54128 => 188.114.97.7:443,10.1.215.139,54128,188.114.97.7,443,6,1680737810.585470,epokaere,0.101833,7,7,957,0,9397.739436135633831861970088,68.73999587560024746398515216,136.71428571428572
188.114.97.7:443 => 10.1.215.139:54127,188.114.97.7,443,10.1.215.139,54127,6,1680737810.617839,epokaere,0.415379,142,142,179999,0,433336.7839972651482140406713,341.8564732449160886804580877,1267.5985915492959
188.114.97.7:443 => 10.1.215.139:54128,188.114.97.7,443,10.1.215.139,54128,6,1680737810.617844,epokaere,0.069290,5,5,2395,0,34564.87227594169432818588541,72.16048491845865204214172319,479.0
10.1.215.139:54147 => 188.114.96.7:443,10.1.215.139,54147,188.114.96.7,443,6,1680737811.573398,epokaere,0.352699,155,155,20420,0,57896.39324182943529751998163,439.4682151069325402113416823,131.74193548387098
10.1.215.139:54148 => 188.114.96.7:443,10.1.215.139,54148,188.114.96.7,443,6,1680737811.573433,epokaere,0.123813,9,9,1037,0,8375.534071543375897522877242,72.69026677327905793414261830,115.22222222222223
10.1.215.139:54149 => 188.114.96.7:443,10.1.215.139,54149,188.114.96.7,443,6,1680737811.573463,epokaere,0.107250,8,8,997,0,9296.037296037296037296037296,74.59207459207459207459207459,124.625
10.1.215.139:54150 => 188.114.96.7:443,10.1.215.139,54150,188.114.96.7,443,6,1680737811.573492,epokaere,0.080729,7,7,957,0,11854.47608666030794386156152,86.70985643325199122991737789,136.71428571428572
188.114.96.7:443 => 10.1.215.139:54149,188.114.96.7,443,10.1.215.139,54149,6,1680737811.606752,epokaere,0.090258,7,7,5171,0,57291.32043696957610405725808,77.55545214828602450752287886,738.7142857142857
188.114.96.7:443 => 10.1.215.139:54148,188.114.96.7,443,10.1.215.139,54148,6,1680737811.606753,epokaere,0.090259,7,7,5171,0,57290.68569339345660820527593,77.55459289378344541818544411,738.7142857142857
188.114.96.7:443 => 10.1.215.139:54147,188.114.96.7,443,10.1.215.139,54147,6,1680737811.606754,epokaere,0.318463,189,189,158847,0,498792.6383912730835293267978,593.4755371895636227756442664,840.4603174603175
188.114.96.7:443 => 10.1.215.139:54150,188.114.96.7,443,10.1.215.139,54150,6,1680737811.606754,epokaere,0.090258,7,7,5171,0,57291.32043696957610405725808,77.55545214828602450752287886,738.7142857142857
10.1.215.139:54210 => 188.114.96.7:443,10.1.215.139,54210,188.114.96.7,443,6,1680737812.498620,epokaere,0.137245,12,12,1790,0,13042.36948522714853000109294,87.43487923057306277095704762,149.16666666666666
188.114.96.7:443 => 10.1.215.139:54210,188.114.96.7,443,10.1.215.139,54210,6,1680737812.537402,epokaere,0.143758,10,10,6051,0,42091.57055607340113245871534,69.56134615117071745572420317,605.1
