FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:61616 => 188.114.97.7:443,192.168.1.56,61616,188.114.97.7,443,6,1680762531.084332,epokaere,4.442859,63,63,5657,0,1273.279210526375021129412390,14.18005838132607854536909679,89.7936507936508
192.168.1.56:61617 => 188.114.97.7:443,192.168.1.56,61617,188.114.97.7,443,6,1680762531.084811,epokaere,0.110309,7,7,957,0,8675.629368410555802337071318,63.45810405315976030967554778,136.71428571428572
188.114.97.7:443 => 192.168.1.56:61616,188.114.97.7,443,192.168.1.56,61616,6,1680762531.117263,epokaere,4.409794,141,141,180887,0,41019.37641531554535200510500,31.97428269891972278070132074,1282.886524822695
188.114.97.7:443 => 192.168.1.56:61617,188.114.97.7,443,192.168.1.56,61617,6,1680762531.117273,epokaere,0.077760,5,5,2395,0,30799.89711934156378600823045,64.30041152263374485596707819,479.0
192.168.1.56:61634 => 188.114.97.7:443,192.168.1.56,61634,188.114.97.7,443,6,1680762532.011071,epokaere,0.129111,4,4,725,0,5615.323248987305496820565250,30.98109378751616825832036000,181.25
192.168.1.56:61635 => 188.114.97.7:443,192.168.1.56,61635,188.114.97.7,443,6,1680762532.011113,epokaere,0.129094,4,4,725,0,5616.062713991355136567152617,30.98517359443506282243946272,181.25
192.168.1.56:61636 => 188.114.97.7:443,192.168.1.56,61636,188.114.97.7,443,6,1680762532.011142,epokaere,3.527460,150,150,16756,0,4750.160171908398677802157927,42.52351550407375278529026552,111.70666666666666
192.168.1.56:61637 => 188.114.97.7:443,192.168.1.56,61637,188.114.97.7,443,6,1680762532.011169,epokaere,0.129010,4,4,737,0,5712.735446864584140764281839,31.00534842260289900007751337,184.25
188.114.97.7:443 => 192.168.1.56:61637,188.114.97.7,443,192.168.1.56,61637,6,1680762532.048103,epokaere,0.091914,2,2,112,0,1218.530365341514894357769219,21.75947080966990882781730748,56.0
188.114.97.7:443 => 192.168.1.56:61634,188.114.97.7,443,192.168.1.56,61634,6,1680762532.048104,epokaere,0.091929,2,2,112,0,1218.331538469906123203776828,21.75592032981975220006744335,56.0
188.114.97.7:443 => 192.168.1.56:61636,188.114.97.7,443,192.168.1.56,61636,6,1680762532.048105,epokaere,3.490120,139,139,138198,0,39596.91930363425899396009306,39.82671082942706841025523478,994.2302158273382
188.114.97.7:443 => 192.168.1.56:61635,188.114.97.7,443,192.168.1.56,61635,6,1680762532.048105,epokaere,0.092017,2,2,112,0,1217.166393166480106936761685,21.73511416368714476672788724,56.0
192.168.1.56:61710 => 188.114.97.7:443,192.168.1.56,61710,188.114.97.7,443,6,1680762533.179216,epokaere,2.360131,13,13,1842,0,780.4651521462156126079442200,5.508168826221934290935545527,141.69230769230768
188.114.97.7:443 => 192.168.1.56:61710,188.114.97.7,443,192.168.1.56,61710,6,1680762533.210548,epokaere,2.328664,12,12,6134,0,2634.128410109831216525870628,5.153169370935437658674673547,511.1666666666667
