FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:53103 => 188.40.137.224:443,192.168.1.134,53103,188.40.137.224,443,6,1680801630.240416,shqiperia,0.925142,81,81,11083,0,11979.78256310923079916380404,87.55412682593591037916341491,136.82716049382717
192.168.1.134:53104 => 188.40.137.224:443,192.168.1.134,53104,188.40.137.224,443,6,1680801630.240615,shqiperia,0.926392,83,83,11120,0,12003.55788910094214975949706,89.59490151037573726888833237,133.97590361445782
188.40.137.224:443 => 192.168.1.134:53103,188.40.137.224,443,192.168.1.134,53103,6,1680801630.277813,shqiperia,0.887601,220,220,308880,0,347994.2000966650555824069599,247.8591168779665638051331623,1404.0
188.40.137.224:443 => 192.168.1.134:53104,188.40.137.224,443,192.168.1.134,53104,6,1680801630.277818,shqiperia,0.889133,208,208,294928,0,331702.9060894151943522510131,233.9357553931751492746304546,1417.923076923077
192.168.1.134:53106 => 188.40.137.224:443,192.168.1.134,53106,188.40.137.224,443,6,1680801630.388518,shqiperia,0.777117,53,53,6002,0,7723.418738748476741597468592,68.20079859274729545229354138,113.24528301886792
192.168.1.134:53107 => 188.40.137.224:443,192.168.1.134,53107,188.40.137.224,443,6,1680801630.388631,shqiperia,2.274865,30,30,4609,0,2026.054293331692210306985250,13.18759574743995797552821816,153.63333333333333
192.168.1.134:53108 => 188.40.137.224:443,192.168.1.134,53108,188.40.137.224,443,6,1680801630.399387,shqiperia,0.766219,64,64,7517,0,9810.511094086677568684671093,83.52703339384692888064639483,117.453125
192.168.1.134:53109 => 188.40.137.224:443,192.168.1.134,53109,188.40.137.224,443,6,1680801630.399860,shqiperia,0.767177,31,31,5825,0,7592.771941807431661793823329,40.40788501219405691255081943,187.90322580645162
188.40.137.224:443 => 192.168.1.134:53106,188.40.137.224,443,192.168.1.134,53106,6,1680801630.426590,shqiperia,0.738825,127,127,174183,0,235756.7759618312861638412344,171.8945623117788380198287822,1371.5196850393702
188.40.137.224:443 => 192.168.1.134:53107,188.40.137.224,443,192.168.1.134,53107,6,1680801630.426591,shqiperia,2.236642,53,53,66855,0,29890.79164211348977619127245,23.69623748458626816450732840,1261.4150943396226
188.40.137.224:443 => 192.168.1.134:53108,188.40.137.224,443,192.168.1.134,53108,6,1680801630.434939,shqiperia,0.730476,110,110,147401,0,201787.6015091529358938555134,150.5867407005842765539182670,1340.009090909091
188.40.137.224:443 => 192.168.1.134:53109,188.40.137.224,443,192.168.1.134,53109,6,1680801630.436807,shqiperia,0.730144,48,48,57519,0,78777.61099180435640092913179,65.74045667703904983126616120,1198.3125
