FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:63412 => 188.40.137.224:443,192.168.1.134,63412,188.40.137.224,443,6,1680795756.085599,shqiperia,1.063935,64,64,8857,0,8324.756681564193301282503160,60.15405076437940287705545922,138.390625
192.168.1.134:63413 => 188.40.137.224:443,192.168.1.134,63413,188.40.137.224,443,6,1680795756.085986,shqiperia,2.730919,58,58,7457,0,2730.582635369265803929007049,21.23827180520550041945586815,128.56896551724137
188.40.137.224:443 => 192.168.1.134:63412,188.40.137.224,443,192.168.1.134,63412,6,1680795756.123356,shqiperia,1.025925,208,208,294041,0,286610.6196846748056631820065,202.7438652922971952140751030,1413.6586538461538
188.40.137.224:443 => 192.168.1.134:63413,188.40.137.224,443,192.168.1.134,63413,6,1680795756.123363,shqiperia,2.693363,119,119,163426,0,60677.30194556025311107340526,44.18268165115508009874643708,1373.327731092437
192.168.1.134:63415 => 188.40.137.224:443,192.168.1.134,63415,188.40.137.224,443,6,1680795756.233469,shqiperia,0.916149,65,65,9487,0,10355.30246717509924695655401,70.94915783349651639635037532,145.95384615384614
192.168.1.134:63416 => 188.40.137.224:443,192.168.1.134,63416,188.40.137.224,443,6,1680795756.233687,shqiperia,0.915885,66,66,7960,0,8691.047456831370750694683284,72.06144876267216954093581618,120.60606060606061
192.168.1.134:63417 => 188.40.137.224:443,192.168.1.134,63417,188.40.137.224,443,6,1680795756.243036,shqiperia,0.906404,60,60,6686,0,7376.401692843367858041226649,66.19564785680557455615818112,111.43333333333334
192.168.1.134:63418 => 188.40.137.224:443,192.168.1.134,63418,188.40.137.224,443,6,1680795756.243194,shqiperia,0.906302,36,36,6073,0,6700.856888763348199606753599,39.72185871817561916447276956,168.69444444444446
188.40.137.224:443 => 192.168.1.134:63415,188.40.137.224,443,192.168.1.134,63415,6,1680795756.270099,shqiperia,0.879183,111,111,150568,0,171258.9984110247809614153140,126.2535786065017180723467128,1356.4684684684685
188.40.137.224:443 => 192.168.1.134:63416,188.40.137.224,443,192.168.1.134,63416,6,1680795756.270111,shqiperia,0.879170,127,127,174919,0,198959.2456521491861642230740,144.4544286088014832171252431,1377.3149606299212
188.40.137.224:443 => 192.168.1.134:63417,188.40.137.224,443,192.168.1.134,63417,6,1680795756.280399,shqiperia,0.868881,150,150,208998,0,240536.9665121000459211330435,172.6358385095312246441112189,1393.32
188.40.137.224:443 => 192.168.1.134:63418,188.40.137.224,443,192.168.1.134,63418,6,1680795756.280399,shqiperia,0.868882,48,48,57658,0,66358.83813912591122845219489,55.24340474310665890189922222,1201.2083333333333
