FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:51989 => 188.40.137.224:443,192.168.1.134,51989,188.40.137.224,443,6,1680793664.506061,shqiperia,1.286254,90,90,11535,0,8967.902140634742438118754150,69.97062788531658599312421963,128.16666666666666
192.168.1.134:51990 => 188.40.137.224:443,192.168.1.134,51990,188.40.137.224,443,6,1680793664.506321,shqiperia,1.286029,91,91,10023,0,7793.758927675814464526072118,70.76045719031219358194877409,110.14285714285714
188.40.137.224:443 => 192.168.1.134:51989,188.40.137.224,443,192.168.1.134,51989,6,1680793664.541732,shqiperia,1.250376,177,177,243161,0,194470.3033327575065420321567,141.5574195282059156605693008,1373.7909604519773
188.40.137.224:443 => 192.168.1.134:51990,188.40.137.224,443,192.168.1.134,51990,6,1680793664.543702,shqiperia,1.248408,217,217,308068,0,246768.6845967023601258562906,173.8213789081774548064414839,1419.668202764977
192.168.1.134:51992 => 188.40.137.224:443,192.168.1.134,51992,188.40.137.224,443,6,1680793664.657800,shqiperia,2.483424,37,37,4973,0,2002.477224992590874534513639,14.89878490342366023683430618,134.40540540540542
192.168.1.134:51993 => 188.40.137.224:443,192.168.1.134,51993,188.40.137.224,443,6,1680793664.658077,shqiperia,1.134345,67,67,8880,0,7828.306203139256575380505931,59.06492292909123767460516862,132.53731343283582
192.168.1.134:51994 => 188.40.137.224:443,192.168.1.134,51994,188.40.137.224,443,6,1680793664.670161,shqiperia,1.122227,46,46,5943,0,5295.720028122652547122819180,40.98992449834124468578995159,129.19565217391303
192.168.1.134:51995 => 188.40.137.224:443,192.168.1.134,51995,188.40.137.224,443,6,1680793664.670780,shqiperia,1.121491,61,61,7402,0,6600.142132215060129773667377,54.39187652865693973469247636,121.34426229508196
188.40.137.224:443 => 192.168.1.134:51992,188.40.137.224,443,192.168.1.134,51992,6,1680793664.695910,shqiperia,2.444978,53,53,66855,0,27343.80432052967347763456358,21.67708666499248663996158657,1261.4150943396226
188.40.137.224:443 => 192.168.1.134:51993,188.40.137.224,443,192.168.1.134,51993,6,1680793664.696034,shqiperia,1.096076,122,122,166508,0,151912.8235633295501406836752,111.3061503034461114010342349,1364.8196721311476
188.40.137.224:443 => 192.168.1.134:51995,188.40.137.224,443,192.168.1.134,51995,6,1680793664.706889,shqiperia,1.085218,96,96,129699,0,119514.2358493869434528362043,88.46148884371619342841714752,1351.03125
188.40.137.224:443 => 192.168.1.134:51994,188.40.137.224,443,192.168.1.134,51994,6,1680793664.706900,shqiperia,1.085209,100,100,135423,0,124789.7870364141838115975817,92.14814842117969902571762674,1354.23
