FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:58237 => 188.40.137.224:443,192.168.1.134,58237,188.40.137.224,443,6,1680797824.362650,shqiperia,1.033245,91,91,10859,0,10509.60807940033583516010240,88.07204486835164941519194383,119.32967032967034
192.168.1.134:58238 => 188.40.137.224:443,192.168.1.134,58238,188.40.137.224,443,6,1680797824.362897,shqiperia,2.561993,65,65,7782,0,3037.479025118335608254979619,25.37087337865482068061856531,119.72307692307692
188.40.137.224:443 => 192.168.1.134:58238,188.40.137.224,443,192.168.1.134,58238,6,1680797824.407757,shqiperia,2.516836,129,129,176187,0,70003.36930972061747368521429,51.25482947637430488120799289,1365.7906976744187
188.40.137.224:443 => 192.168.1.134:58237,188.40.137.224,443,192.168.1.134,58237,6,1680797824.407762,shqiperia,0.987831,223,223,315495,0,319381.5541322351697810657896,225.7471166626680069769019195,1414.7757847533633
192.168.1.134:58240 => 188.40.137.224:443,192.168.1.134,58240,188.40.137.224,443,6,1680797824.518782,shqiperia,0.877151,58,58,7500,0,8550.409222585392936905960319,66.12316465466037204540609314,129.31034482758622
192.168.1.134:58241 => 188.40.137.224:443,192.168.1.134,58241,188.40.137.224,443,6,1680797824.519109,shqiperia,0.876749,56,56,6847,0,7809.532716889326363645695632,63.87232834026614230526638753,122.26785714285714
192.168.1.134:58242 => 188.40.137.224:443,192.168.1.134,58242,188.40.137.224,443,6,1680797824.525393,shqiperia,0.870424,57,57,7147,0,8210.940874792055366120419474,65.48532669135961324595829159,125.3859649122807
192.168.1.134:58243 => 188.40.137.224:443,192.168.1.134,58243,188.40.137.224,443,6,1680797824.525460,shqiperia,0.870310,61,61,8611,0,9894.175638565568590502234836,70.08996794245728533511047788,141.1639344262295
188.40.137.224:443 => 192.168.1.134:58241,188.40.137.224,443,192.168.1.134,58241,6,1680797824.573479,shqiperia,0.822113,114,114,155322,0,188930.2322186852658941045817,138.6670688822582783631933810,1362.4736842105262
188.40.137.224:443 => 192.168.1.134:58243,188.40.137.224,443,192.168.1.134,58243,6,1680797824.573488,shqiperia,0.822103,100,100,133926,0,162906.5944291652019272524246,121.6392593142221838382781720,1339.26
188.40.137.224:443 => 192.168.1.134:58240,188.40.137.224,443,192.168.1.134,58240,6,1680797824.573489,shqiperia,0.822105,98,98,132929,0,161693.4576483539207278875569,119.2061841248988876116797733,1356.4183673469388
188.40.137.224:443 => 192.168.1.134:58242,188.40.137.224,443,192.168.1.134,58242,6,1680797824.573491,shqiperia,0.822101,101,101,135855,0,165253.4177674032752666643150,122.8559507895015332665937640,1345.09900990099
