FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:58647 => 188.40.137.224:443,192.168.1.134,58647,188.40.137.224,443,6,1680804642.609810,shqiperia,2.848476,70,70,8081,0,2836.955621181291329117745770,24.57454442305288863237745377,115.44285714285714
192.168.1.134:58648 => 188.40.137.224:443,192.168.1.134,58648,188.40.137.224,443,6,1680804642.610143,shqiperia,1.146903,109,109,12047,0,10503.93974032677567326966622,95.03855164734942710935449641,110.5229357798165
188.40.137.224:443 => 192.168.1.134:58647,188.40.137.224,443,192.168.1.134,58647,6,1680804642.648316,shqiperia,2.809597,120,120,163478,0,58185.56896238143762254871428,42.71075175550087788391004119,1362.3166666666666
188.40.137.224:443 => 192.168.1.134:58648,188.40.137.224,443,192.168.1.134,58648,6,1680804642.648324,shqiperia,1.108631,225,225,319010,0,287751.2896536358806491970728,202.9530114167834022321223202,1417.8222222222223
192.168.1.134:58650 => 188.40.137.224:443,192.168.1.134,58650,188.40.137.224,443,6,1680804642.800255,shqiperia,0.960458,69,69,8969,0,9338.253208365175780721280889,71.84072598697704636746218991,129.9855072463768
192.168.1.134:58651 => 188.40.137.224:443,192.168.1.134,58651,188.40.137.224,443,6,1680804642.800354,shqiperia,1.580086,57,57,6703,0,4242.174160140650572184045679,36.07398584634000934126370337,117.59649122807018
192.168.1.134:58652 => 188.40.137.224:443,192.168.1.134,58652,188.40.137.224,443,6,1680804642.811052,shqiperia,0.949594,67,67,7696,0,8104.516245890348928068205991,70.55646939639466972200751058,114.86567164179104
192.168.1.134:58653 => 188.40.137.224:443,192.168.1.134,58653,188.40.137.224,443,6,1680804642.811371,shqiperia,0.949389,62,62,7456,0,7853.472075197837767237665488,65.30515942358717027477672482,120.25806451612904
188.40.137.224:443 => 192.168.1.134:58651,188.40.137.224,443,192.168.1.134,58651,6,1680804642.835981,shqiperia,1.544128,96,96,131279,0,85018.21092551912794794213951,62.17101172959754631740373855,1367.4895833333333
188.40.137.224:443 => 192.168.1.134:58650,188.40.137.224,443,192.168.1.134,58650,6,1680804642.835997,shqiperia,0.924521,115,115,154764,0,167399.1180297689289913371357,124.3887375192126517407392585,1345.7739130434782
188.40.137.224:443 => 192.168.1.134:58652,188.40.137.224,443,192.168.1.134,58652,6,1680804642.848468,shqiperia,0.912049,106,106,143751,0,157613.2422709744761520488483,116.2218258010260413640056620,1356.1415094339623
188.40.137.224:443 => 192.168.1.134:58653,188.40.137.224,443,192.168.1.134,58653,6,1680804642.848474,shqiperia,0.912044,83,83,110371,0,121014.9948905973834595699330,91.00438136756559990526772831,1329.7710843373493
