FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:52938 => 188.40.137.224:443,10.1.215.139,52938,188.40.137.224,443,6,1680737327.605868,shqiperia,2.724881,94,94,10988,0,4032.469674822496835641629855,34.49691931500861872500120189,116.8936170212766
10.1.215.139:52940 => 188.40.137.224:443,10.1.215.139,52940,188.40.137.224,443,6,1680737327.606108,shqiperia,2.724698,94,94,11320,0,4154.588875537766020307571702,34.49923624563162596368478268,120.42553191489361
188.40.137.224:443 => 10.1.215.139:52938,188.40.137.224,443,10.1.215.139,52938,6,1680737327.639934,shqiperia,2.633578,175,175,240903,0,91473.65295426981847509357991,66.44952228489150501712878829,1376.5885714285714
188.40.137.224:443 => 10.1.215.139:52940,188.40.137.224,443,10.1.215.139,52940,6,1680737327.641218,shqiperia,2.635157,190,190,269053,0,102101.3169234318866010639973,72.10196584112445672117448790,1416.0684210526315
10.1.215.139:52941 => 188.40.137.224:443,10.1.215.139,52941,188.40.137.224,443,6,1680737327.728286,shqiperia,2.602562,88,88,10180,0,3911.530253650057136006750271,33.81283519854666286528428525,115.68181818181819
10.1.215.139:52942 => 188.40.137.224:443,10.1.215.139,52942,188.40.137.224,443,6,1680737327.728651,shqiperia,2.761112,50,50,5016,0,1816.659374918511092632243821,18.10864608172359542097531719,100.32
10.1.215.139:52943 => 188.40.137.224:443,10.1.215.139,52943,188.40.137.224,443,6,1680737327.738396,shqiperia,2.592427,34,34,5406,0,2085.304619956511793774713811,13.11512339595290436336297994,159.0
10.1.215.139:52944 => 188.40.137.224:443,10.1.215.139,52944,188.40.137.224,443,6,1680737327.738842,shqiperia,2.591995,50,50,7702,0,2971.456349259932985981840243,19.29016066774820167477174917,154.04
188.40.137.224:443 => 10.1.215.139:52941,188.40.137.224,443,10.1.215.139,52941,6,1680737327.763521,shqiperia,2.525125,162,162,226633,0,89751.20043562199891094500272,64.15523983961190040097024900,1398.969135802469
188.40.137.224:443 => 10.1.215.139:52942,188.40.137.224,443,10.1.215.139,52942,6,1680737327.763521,shqiperia,2.726197,98,98,134922,0,49490.92086888805174387617623,35.94751223040741369754276745,1376.7551020408164
188.40.137.224:443 => 10.1.215.139:52943,188.40.137.224,443,10.1.215.139,52943,6,1680737327.772776,shqiperia,2.522827,50,50,58571,0,23216.41555286985591956959395,19.81903634295970353892676747,1171.42
188.40.137.224:443 => 10.1.215.139:52944,188.40.137.224,443,10.1.215.139,52944,6,1680737327.774051,shqiperia,2.527835,90,90,119660,0,47336.95039430975518576172891,35.60358963302588974359481533,1329.5555555555557
