FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:65330 => 65.254.227.240:443,192.168.1.56,65330,65.254.227.240,443,6,1680789600.347965,tribuna-news,4.846292,76,76,15453,0,3188.623384641288638819121918,15.68209261843900450076058149,203.32894736842104
192.168.1.56:65331 => 65.254.227.240:443,192.168.1.56,65331,65.254.227.240,443,6,1680789600.348149,tribuna-news,4.835378,62,62,8024,0,1659.435932413143295105367150,12.82216199023116703595871926,129.41935483870967
65.254.227.240:443 => 192.168.1.56:65330,65.254.227.240,443,192.168.1.56,65330,6,1680789600.468259,tribuna-news,4.724468,417,417,584709,0,123761.8711778765355168031618,88.26390611599020249475708164,1402.179856115108
65.254.227.240:443 => 192.168.1.56:65331,65.254.227.240,443,192.168.1.56,65331,6,1680789600.474664,tribuna-news,4.708678,246,246,344349,0,73130.71736907896441421562485,52.24396316758121918721135741,1399.7926829268292
192.168.1.56:65335 => 65.254.227.240:443,192.168.1.56,65335,65.254.227.240,443,6,1680789602.338904,tribuna-news,2.910888,48,48,8683,0,2982.938539717089767795944056,16.48981341776117803227056486,180.89583333333334
192.168.1.56:65336 => 65.254.227.240:443,192.168.1.56,65336,65.254.227.240,443,6,1680789602.340219,tribuna-news,2.718545,65,65,11395,0,4191.580422615774246885742189,23.90984883457879122839607216,175.30769230769232
192.168.1.56:65337 => 65.254.227.240:443,192.168.1.56,65337,65.254.227.240,443,6,1680789602.340801,tribuna-news,2.842676,64,64,7397,0,2602.125602777101576120528685,22.51399737430505622167281815,115.578125
192.168.1.56:65338 => 65.254.227.240:443,192.168.1.56,65338,65.254.227.240,443,6,1680789602.341195,tribuna-news,2.905572,60,60,11009,0,3788.926930738594672580820575,20.64997873052190756243521069,183.48333333333332
65.254.227.240:443 => 192.168.1.56:65336,65.254.227.240,443,192.168.1.56,65336,6,1680789602.548326,tribuna-news,2.509308,306,306,429838,0,171297.4254256552005572851161,121.9459707616601867925340373,1404.6993464052287
65.254.227.240:443 => 192.168.1.56:65338,65.254.227.240,443,192.168.1.56,65338,6,1680789602.548334,tribuna-news,2.697557,300,300,418078,0,154983.9354645703501353261488,111.2117371384552763852626654,1393.5933333333332
65.254.227.240:443 => 192.168.1.56:65337,65.254.227.240,443,192.168.1.56,65337,6,1680789602.553447,tribuna-news,2.629889,167,167,226763,0,86225.31217096995348472882316,63.50077893021340444406589023,1357.8622754491018
65.254.227.240:443 => 192.168.1.56:65335,65.254.227.240,443,192.168.1.56,65335,6,1680789602.553453,tribuna-news,2.696298,223,223,309850,0,114916.8229921173401456367212,82.70599169676348830878485983,1389.4618834080718
