FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:55308 => 65.254.227.240:443,192.168.1.134,55308,65.254.227.240,443,6,1680794150.004859,tribuna-news,4.140093,78,78,12072,0,2915.876527411340759736556643,18.84015648923828522692606181,154.76923076923077
192.168.1.134:55309 => 65.254.227.240:443,192.168.1.134,55309,65.254.227.240,443,6,1680794150.005122,tribuna-news,4.142848,99,99,12936,0,3122.489649632330223073595749,23.89660446147191497250200828,130.66666666666666
65.254.227.240:443 => 192.168.1.134:55308,65.254.227.240,443,192.168.1.134,55308,6,1680794150.129519,tribuna-news,4.015341,327,327,465484,0,115926.3933000958075540782215,81.43766619074195690976183592,1423.4984709480123
65.254.227.240:443 => 192.168.1.134:55309,65.254.227.240,443,192.168.1.134,55309,6,1680794150.132779,tribuna-news,4.015046,379,379,542844,0,135202.4360368473985105027439,94.39493345779849097619304984,1432.306068601583
192.168.1.134:55312 => 65.254.227.240:443,192.168.1.134,55312,65.254.227.240,443,6,1680794152.065973,tribuna-news,2.832136,67,67,11471,0,4050.299844357756830886652336,23.65705601708392534821774096,171.2089552238806
192.168.1.134:55313 => 65.254.227.240:443,192.168.1.134,55313,65.254.227.240,443,6,1680794152.067006,tribuna-news,2.078013,82,82,11450,0,5510.071399938306449478420010,39.46077334453634313163584636,139.6341463414634
192.168.1.134:55314 => 65.254.227.240:443,192.168.1.134,55314,65.254.227.240,443,6,1680794152.067525,tribuna-news,2.073046,55,55,9495,0,4580.216743863860232720354493,26.53100799499866380196097916,172.63636363636363
192.168.1.134:55315 => 65.254.227.240:443,192.168.1.134,55315,65.254.227.240,443,6,1680794152.067908,tribuna-news,2.075040,83,83,12229,0,5893.380368571208265864754414,39.99922893052664045030457244,147.33734939759037
65.254.227.240:443 => 192.168.1.134:55314,65.254.227.240,443,192.168.1.134,55314,6,1680794152.188126,tribuna-news,1.952237,201,201,283091,0,145008.5209941211031242620645,102.9588108411017719672355354,1408.4129353233832
65.254.227.240:443 => 192.168.1.134:55315,65.254.227.240,443,192.168.1.134,55315,6,1680794152.188781,tribuna-news,1.954097,316,316,446093,0,228286.0062729741665843609606,161.7115219971168268514817842,1411.6867088607594
65.254.227.240:443 => 192.168.1.134:55313,65.254.227.240,443,192.168.1.134,55313,6,1680794152.192806,tribuna-news,1.952054,340,340,488083,0,250035.6035232631884158942324,174.1755094889793007775399656,1435.5382352941176
65.254.227.240:443 => 192.168.1.134:55312,65.254.227.240,443,192.168.1.134,55312,6,1680794152.199859,tribuna-news,2.698054,219,219,302854,0,112249.0506120337102222564856,81.16961335836866126474859287,1382.8949771689497
