FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:56033 => 65.254.227.240:443,10.1.215.139,56033,65.254.227.240,443,6,1680738032.806361,tribuna-news,3.859237,90,90,13559,0,3513.388786436282612340211290,23.32067193592930416038196151,150.65555555555557
10.1.215.139:56034 => 65.254.227.240:443,10.1.215.139,56034,65.254.227.240,443,6,1680738032.806557,tribuna-news,3.862530,81,81,12575,0,3255.638143910856355808239677,20.97071090709975068154810448,155.2469135802469
10.1.215.139:56035 => 65.254.227.240:443,10.1.215.139,56035,65.254.227.240,443,6,1680738032.923698,tribuna-news,3.738540,92,92,14091,0,3769.118425909579675488292221,24.60853702247401391987246358,153.16304347826087
65.254.227.240:443 => 10.1.215.139:56033,65.254.227.240,443,10.1.215.139,56033,6,1680738032.929069,tribuna-news,3.736451,422,422,606878,0,162420.9711300910944637036589,112.9413981342188081685000017,1438.0995260663508
65.254.227.240:443 => 10.1.215.139:56034,65.254.227.240,443,10.1.215.139,56034,6,1680738032.939626,tribuna-news,3.729349,330,330,472915,0,126808.9953501267915660347154,88.48729362685015534882897793,1433.0757575757575
65.254.227.240:443 => 10.1.215.139:56035,65.254.227.240,443,10.1.215.139,56035,6,1680738033.040206,tribuna-news,3.621768,396,396,568756,0,157038.2200074659668979349312,109.3388643336624543593073880,1436.2525252525252
10.1.215.139:56036 => 65.254.227.240:443,10.1.215.139,56036,65.254.227.240,443,6,1680738034.789962,tribuna-news,1.885912,58,58,9632,0,5107.343290673159723253258901,30.75435121044884384849346099,166.06896551724137
10.1.215.139:56037 => 65.254.227.240:443,10.1.215.139,56037,65.254.227.240,443,6,1680738034.790118,tribuna-news,1.872012,56,56,9551,0,5101.997209419597737621340034,29.91433815595199176073657647,170.55357142857142
10.1.215.139:56038 => 65.254.227.240:443,10.1.215.139,56038,65.254.227.240,443,6,1680738034.791305,tribuna-news,1.877745,59,59,8895,0,4737.064936932331067317447257,31.42066681045615885011010547,150.76271186440678
65.254.227.240:443 => 10.1.215.139:56037,65.254.227.240,443,10.1.215.139,56037,6,1680738034.906822,tribuna-news,1.755137,243,243,343347,0,195624.0453024464756882226288,138.4507306267260048645775230,1412.9506172839506
65.254.227.240:443 => 10.1.215.139:56038,65.254.227.240,443,10.1.215.139,56038,6,1680738034.913773,tribuna-news,1.755195,202,202,281765,0,160532.0206586732528294576956,115.0869276633080654856013150,1394.8762376237623
65.254.227.240:443 => 10.1.215.139:56036,65.254.227.240,443,10.1.215.139,56036,6,1680738034.920214,tribuna-news,1.755450,216,216,304861,0,173665.4419094818992281181463,123.0453729812868495257626250,1411.3935185185185
