FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
10.1.215.139:50606 => 65.254.227.240:443,10.1.215.139,50606,65.254.227.240,443,6,1680736952.950919,tribuna-news,4.088767,79,79,12326,0,3014.600734157754648283944769,19.32122813552349644770660691,156.0253164556962
10.1.215.139:50607 => 65.254.227.240:443,10.1.215.139,50607,65.254.227.240,443,6,1680736952.951311,tribuna-news,4.089853,99,99,12692,0,3103.290020448167696980796131,24.20624897765274204231790238,128.2020202020202
65.254.227.240:443 => 10.1.215.139:50606,65.254.227.240,443,10.1.215.139,50606,6,1680736953.074927,tribuna-news,3.964462,283,283,400645,0,101059.1096597722465242446516,71.38421304076063788730980395,1415.7067137809188
65.254.227.240:443 => 10.1.215.139:50607,65.254.227.240,443,10.1.215.139,50607,6,1680736953.078055,tribuna-news,3.962994,426,426,616288,0,155510.7073086661246522200135,107.4944852301063286999677517,1446.6854460093896
10.1.215.139:50608 => 65.254.227.240:443,10.1.215.139,50608,65.254.227.240,443,6,1680736954.948521,tribuna-news,2.091106,79,79,12985,0,6209.632605903287542573164632,37.77905089459836086740700854,164.36708860759492
10.1.215.139:50609 => 65.254.227.240:443,10.1.215.139,50609,65.254.227.240,443,6,1680736954.949378,tribuna-news,2.095696,62,62,9161,0,4371.340118032386376650048480,29.58444354524702056023392706,147.75806451612902
10.1.215.139:50610 => 65.254.227.240:443,10.1.215.139,50610,65.254.227.240,443,6,1680736954.950085,tribuna-news,2.093902,57,57,9669,0,4617.694619901026886645124748,27.22190436801722334665137146,169.6315789473684
10.1.215.139:50611 => 65.254.227.240:443,10.1.215.139,50611,65.254.227.240,443,6,1680736954.950394,tribuna-news,2.090723,74,74,11691,0,5591.845500336486469034874539,35.39445445427251721055347839,157.98648648648648
65.254.227.240:443 => 10.1.215.139:50611,65.254.227.240,443,10.1.215.139,50611,6,1680736955.077559,tribuna-news,1.963483,341,341,488813,0,248951.9899077302935650576043,173.6709714318891480089208819,1433.4692082111437
65.254.227.240:443 => 10.1.215.139:50610,65.254.227.240,443,10.1.215.139,50610,6,1680736955.079709,tribuna-news,1.964194,238,238,335321,0,170716.8436518999650747329439,121.1692938681209697209135147,1408.9117647058824
65.254.227.240:443 => 10.1.215.139:50608,65.254.227.240,443,10.1.215.139,50608,6,1680736955.079710,tribuna-news,1.959680,301,301,427653,0,218225.9348465055519268451992,153.5965055519268451992161986,1420.7740863787376
65.254.227.240:443 => 10.1.215.139:50609,65.254.227.240,443,10.1.215.139,50609,6,1680736955.082691,tribuna-news,1.962319,201,201,282280,0,143850.2098792296257642106100,102.4298291969858111754510862,1404.3781094527362
