FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.56:63361 => 65.254.227.240:443,192.168.1.56,63361,65.254.227.240,443,6,1680782122.921711,tribuna-news,3.846681,60,60,11654,0,3029.624759630445051201282352,15.59786215701275983113754429,194.23333333333332
192.168.1.56:63362 => 65.254.227.240:443,192.168.1.56,63362,65.254.227.240,443,6,1680782122.921923,tribuna-news,3.852519,60,60,10317,0,2677.988090389690485627715269,15.57422559110026452822166484,171.95
65.254.227.240:443 => 192.168.1.56:63361,65.254.227.240,443,192.168.1.56,63361,6,1680782123.041346,tribuna-news,3.726940,377,377,526065,0,141151.9906411157678953779776,101.1553714307179616521865123,1395.397877984085
65.254.227.240:443 => 192.168.1.56:63362,65.254.227.240,443,192.168.1.56,63362,6,1680782123.048071,tribuna-news,3.726301,317,317,444078,0,119173.9475689161986645737958,85.07095910931510900488178491,1400.8769716088327
192.168.1.56:63374 => 65.254.227.240:443,192.168.1.56,63374,65.254.227.240,443,6,1680782124.783869,tribuna-news,1.988386,58,58,9423,0,4739.019486156108522188347735,29.16938662814966510526628130,162.4655172413793
192.168.1.56:63375 => 65.254.227.240:443,192.168.1.56,63375,65.254.227.240,443,6,1680782124.784734,tribuna-news,2.711664,49,49,8786,0,3240.076941685990594704948696,18.07008537930953097433900365,179.30612244897958
192.168.1.56:63376 => 65.254.227.240:443,192.168.1.56,63376,65.254.227.240,443,6,1680782124.785012,tribuna-news,1.989401,41,41,7414,0,3726.749911154161478756670978,20.60921855372546811829289319,180.82926829268294
192.168.1.56:63377 => 65.254.227.240:443,192.168.1.56,63377,65.254.227.240,443,6,1680782124.785167,tribuna-news,1.983264,54,54,10041,0,5062.866063216999854784839537,27.22784258676605837649450603,185.94444444444446
65.254.227.240:443 => 192.168.1.56:63377,65.254.227.240,443,192.168.1.56,63377,6,1680782124.904785,tribuna-news,1.863506,329,329,460260,0,246986.0574637269748527775065,176.5489351791730211762130092,1398.966565349544
65.254.227.240:443 => 192.168.1.56:63375,65.254.227.240,443,192.168.1.56,63375,6,1680782124.910642,tribuna-news,2.585590,263,263,364331,0,140908.2646513948460506112725,101.7175963706542800676054595,1385.2889733840304
65.254.227.240:443 => 192.168.1.56:63376,65.254.227.240,443,192.168.1.56,63376,6,1680782124.910647,tribuna-news,1.863716,179,179,242747,0,130248.9220460628121451980881,96.04467633480637607875878084,1356.1284916201118
65.254.227.240:443 => 192.168.1.56:63374,65.254.227.240,443,192.168.1.56,63374,6,1680782124.912136,tribuna-news,1.859972,352,352,492909,0,265008.8280898852240786420441,189.2501607551081414128814842,1400.309659090909
