FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:50688 => 65.254.227.240:443,192.168.1.134,50688,65.254.227.240,443,6,1680801058.239040,tribuna-news,3.903144,54,54,11026,0,2824.902181420926309662159531,13.83500070712225836402653861,204.1851851851852
192.168.1.134:50689 => 65.254.227.240:443,192.168.1.134,50689,65.254.227.240,443,6,1680801058.239249,tribuna-news,4.536223,74,74,12845,0,2831.650913105462407822543116,16.31313099025334512875579529,173.5810810810811
65.254.227.240:443 => 192.168.1.134:50688,65.254.227.240,443,192.168.1.134,50688,6,1680801058.358071,tribuna-news,3.783801,258,258,363247,0,96000.55605461280865457776453,68.18540404212589404146782561,1407.9341085271317
65.254.227.240:443 => 192.168.1.134:50689,65.254.227.240,443,192.168.1.134,50689,6,1680801058.364450,tribuna-news,4.410931,398,398,568607,0,128908.6136237451912079332005,90.23038446985454998049164677,1428.6608040201006
192.168.1.134:50692 => 65.254.227.240:443,192.168.1.134,50692,65.254.227.240,443,6,1680801060.205019,tribuna-news,1.937268,44,44,7189,0,3710.895962768186951934373561,22.71239704573657336001007605,163.38636363636363
192.168.1.134:50693 => 65.254.227.240:443,192.168.1.134,50693,65.254.227.240,443,6,1680801060.205904,tribuna-news,1.936315,53,53,9427,0,4868.526040442799854362539153,27.37157952089406940502965685,177.8679245283019
192.168.1.134:50694 => 65.254.227.240:443,192.168.1.134,50694,65.254.227.240,443,6,1680801060.206274,tribuna-news,1.935771,55,55,10888,0,5624.632252472012443620655542,28.41245167946001877288170967,197.96363636363637
192.168.1.134:50695 => 65.254.227.240:443,192.168.1.134,50695,65.254.227.240,443,6,1680801060.206621,tribuna-news,1.935632,53,53,10729,0,5542.892450631111698917976144,27.38123775593707894889111153,202.43396226415095
65.254.227.240:443 => 192.168.1.134:50694,65.254.227.240,443,192.168.1.134,50694,6,1680801060.327721,tribuna-news,1.814139,292,292,413191,0,227761.4890589971330752494710,160.9578979339510368279387632,1415.0376712328766
65.254.227.240:443 => 192.168.1.134:50693,65.254.227.240,443,192.168.1.134,50693,6,1680801060.327726,tribuna-news,1.814146,266,266,377973,0,208347.6192103612388418572706,146.6254645436475344321791080,1420.951127819549
65.254.227.240:443 => 192.168.1.134:50692,65.254.227.240,443,192.168.1.134,50692,6,1680801060.329618,tribuna-news,1.812312,215,215,302875,0,167120.7827349816146447190109,118.6329947602841011922891864,1408.7209302325582
65.254.227.240:443 => 192.168.1.134:50695,65.254.227.240,443,192.168.1.134,50695,6,1680801060.329619,tribuna-news,1.812254,367,367,525490,0,289964.8724737260891685161131,202.5102441489989813789899208,1431.8528610354224
