FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:61526 => 65.254.227.240:443,192.168.1.134,61526,65.254.227.240,443,6,1680798351.729146,tribuna-news,3.885921,76,76,12227,0,3146.487023282254065381154172,19.55778308411313559899956793,160.8815789473684
192.168.1.134:61527 => 65.254.227.240:443,192.168.1.134,61527,65.254.227.240,443,6,1680798351.729615,tribuna-news,3.885486,85,85,12108,0,3116.212489248449228745129953,21.87628523175736574523753271,142.4470588235294
192.168.1.134:61528 => 65.254.227.240:443,192.168.1.134,61528,65.254.227.240,443,6,1680798351.806765,tribuna-news,3.806396,53,53,10021,0,2632.674057034528199378099389,13.92393224456940370891520483,189.0754716981132
65.254.227.240:443 => 192.168.1.134:61526,65.254.227.240,443,192.168.1.134,61526,6,1680798351.854767,tribuna-news,3.760241,317,317,450878,0,119906.6761944247722419919362,84.30310716786503843769588173,1422.3280757097791
65.254.227.240:443 => 192.168.1.134:61527,65.254.227.240,443,192.168.1.134,61527,6,1680798351.858274,tribuna-news,3.756745,418,418,599679,0,159627.2837256720911320837587,111.2665352585815646257598000,1434.6387559808613
65.254.227.240:443 => 192.168.1.134:61528,65.254.227.240,443,192.168.1.134,61528,6,1680798351.930153,tribuna-news,3.682949,189,189,262909,0,71385.45768621829952030288771,51.31757186971636044919438200,1391.05291005291
192.168.1.134:61530 => 65.254.227.240:443,192.168.1.134,61530,65.254.227.240,443,6,1680798353.655672,tribuna-news,2.632371,58,58,10381,0,3943.593057361595307044485751,22.03336839677993717450921622,178.98275862068965
192.168.1.134:61531 => 65.254.227.240:443,192.168.1.134,61531,65.254.227.240,443,6,1680798353.656579,tribuna-news,1.951910,76,76,11762,0,6025.892587260683125758872079,38.93622144463627933664974307,154.76315789473685
192.168.1.134:61532 => 65.254.227.240:443,192.168.1.134,61532,65.254.227.240,443,6,1680798353.656912,tribuna-news,1.953612,59,59,9942,0,5089.035079637102966197996327,30.20046969408459816995391101,168.5084745762712
65.254.227.240:443 => 192.168.1.134:61531,65.254.227.240,443,192.168.1.134,61531,6,1680798353.776418,tribuna-news,1.831919,364,364,521954,0,284921.9861795199460238143717,198.6987415928324341851359149,1433.9395604395604
65.254.227.240:443 => 192.168.1.134:61532,65.254.227.240,443,192.168.1.134,61532,6,1680798353.777680,tribuna-news,1.832710,263,263,374697,0,204449.6947143847089828723584,143.5033365889857096867480398,1424.7034220532319
65.254.227.240:443 => 192.168.1.134:61530,65.254.227.240,443,192.168.1.134,61530,6,1680798353.794012,tribuna-news,2.493884,245,245,343467,0,137723.7273265316269722248509,98.24033515592545603564560340,1401.9061224489797
