FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:56245 => 65.254.227.240:443,192.168.1.134,56245,65.254.227.240,443,6,1680804018.693657,tribuna-news,4.019447,81,81,13350,0,3321.352414896875117397990321,20.15202588813834340893162666,164.8148148148148
192.168.1.134:56246 => 65.254.227.240:443,192.168.1.134,56246,65.254.227.240,443,6,1680804018.694159,tribuna-news,4.026082,98,98,12720,0,3159.399137921184913769764252,24.34128266637390892684252333,129.79591836734693
65.254.227.240:443 => 192.168.1.134:56245,65.254.227.240,443,192.168.1.134,56245,6,1680804018.815533,tribuna-news,3.897496,336,336,476805,0,122336.2384464281682393003097,86.20919687922707297197995841,1419.0625
65.254.227.240:443 => 192.168.1.134:56246,65.254.227.240,443,192.168.1.134,56246,6,1680804018.822495,tribuna-news,3.897645,400,400,573530,0,147147.8290095685984742068608,102.6260729235217676314800347,1433.825
192.168.1.134:56249 => 65.254.227.240:443,192.168.1.134,56249,65.254.227.240,443,6,1680804020.586667,tribuna-news,2.136881,85,85,11268,0,5273.105989523983787585738279,39.77760109243331753148631112,132.56470588235294
192.168.1.134:56250 => 65.254.227.240:443,192.168.1.134,56250,65.254.227.240,443,6,1680804020.587265,tribuna-news,2.125884,66,66,9236,0,4344.545610202626295696284463,31.04590843150425893416573999,139.93939393939394
192.168.1.134:56251 => 65.254.227.240:443,192.168.1.134,56251,65.254.227.240,443,6,1680804020.587941,tribuna-news,2.123063,91,91,12410,0,5845.328188565294576750666372,42.86259993226767175538361320,136.37362637362637
192.168.1.134:56252 => 65.254.227.240:443,192.168.1.134,56252,65.254.227.240,443,6,1680804020.588306,tribuna-news,2.803963,51,51,9857,0,3515.381622368055498592527790,18.18854243083806740673824869,193.27450980392157
65.254.227.240:443 => 192.168.1.134:56251,65.254.227.240,443,192.168.1.134,56251,6,1680804020.706157,tribuna-news,2.004653,360,360,517902,0,258349.9488440144004972431638,179.5822020070306432085752497,1438.6166666666666
65.254.227.240:443 => 192.168.1.134:56250,65.254.227.240,443,192.168.1.134,56250,6,1680804020.707803,tribuna-news,2.005232,218,218,304649,0,151927.0588141422039943507784,108.7155999904250480742377939,1397.4724770642201
65.254.227.240:443 => 192.168.1.134:56249,65.254.227.240,443,192.168.1.134,56249,6,1680804020.716798,tribuna-news,2.006653,331,331,473896,0,236162.4057572485128220972934,164.9512895353606228879631904,1431.7099697885196
65.254.227.240:443 => 192.168.1.134:56252,65.254.227.240,443,192.168.1.134,56252,6,1680804020.718925,tribuna-news,2.673260,150,150,202424,0,75721.77790413203354705490674,56.11126489754083029709044388,1349.4933333333333
