FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:55829 => 65.254.227.240:443,192.168.1.134,55829,65.254.227.240,443,6,1680797215.476815,tribuna-news,4.150335,94,94,12728,0,3066.740395654808587740507694,22.64877413509993771587112848,135.40425531914894
192.168.1.134:55830 => 65.254.227.240:443,192.168.1.134,55830,65.254.227.240,443,6,1680797215.477187,tribuna-news,4.148148,80,80,13002,0,3134.410826228958079605645700,19.28571497448982051749358991,162.525
65.254.227.240:443 => 192.168.1.134:55830,65.254.227.240,443,192.168.1.134,55830,6,1680797215.602357,tribuna-news,4.022886,303,303,427851,0,106354.2441918562942126622529,75.31906198684228188419955226,1412.049504950495
65.254.227.240:443 => 192.168.1.134:55829,65.254.227.240,443,192.168.1.134,55829,6,1680797215.602364,tribuna-news,4.024709,378,378,544464,0,135280.3395226835033290605607,93.91983370723200112107484044,1440.3809523809523
192.168.1.134:55833 => 65.254.227.240:443,192.168.1.134,55833,65.254.227.240,443,6,1680797217.591993,tribuna-news,2.029846,90,90,11505,0,5667.917664689833612993300970,44.33833896758670362185111580,127.83333333333333
192.168.1.134:55834 => 65.254.227.240:443,192.168.1.134,55834,65.254.227.240,443,6,1680797217.592440,tribuna-news,2.404780,57,57,10004,0,4160.047904590024867139613603,23.70279193938738678798060529,175.50877192982455
192.168.1.134:55835 => 65.254.227.240:443,192.168.1.134,55835,65.254.227.240,443,6,1680797217.592954,tribuna-news,2.027062,85,85,12337,0,6086.148326987531708452923492,41.93260985603795049189417985,145.14117647058825
192.168.1.134:55836 => 65.254.227.240:443,192.168.1.134,55836,65.254.227.240,443,6,1680797217.593641,tribuna-news,2.026337,55,55,9335,0,4606.834894689284161519036567,27.14257302709272939298843184,169.72727272727272
65.254.227.240:443 => 192.168.1.134:55836,65.254.227.240,443,192.168.1.134,55836,6,1680797217.715242,tribuna-news,1.904552,220,220,310564,0,163064.0696604765845196140615,115.5127295027912075910765366,1411.6545454545455
65.254.227.240:443 => 192.168.1.134:55835,65.254.227.240,443,192.168.1.134,55835,6,1680797217.715248,tribuna-news,1.904556,338,338,480830,0,252463.0412547596395170317911,177.4691844188356761365903654,1422.5739644970415
65.254.227.240:443 => 192.168.1.134:55833,65.254.227.240,443,192.168.1.134,55833,6,1680797217.715249,tribuna-news,1.906516,371,371,534784,0,280503.2845252806690318885338,194.5957967307906149227176693,1441.466307277628
65.254.227.240:443 => 192.168.1.134:55834,65.254.227.240,443,192.168.1.134,55834,6,1680797217.725051,tribuna-news,2.272058,183,183,249287,0,109718.5899303626932058952720,80.54371851422806988201885691,1362.224043715847
