FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.1.134:60890 => 65.254.227.240:443,192.168.1.134,60890,65.254.227.240,443,6,1680794976.977684,tribuna-news,4.622678,101,101,14029,0,3034.820941454282560887866297,21.84880712002869332451881788,138.9009900990099
192.168.1.134:60891 => 65.254.227.240:443,192.168.1.134,60891,65.254.227.240,443,6,1680794976.977857,tribuna-news,3.959806,74,74,12368,0,3123.385337564517049572630578,18.68778419952896682312214285,167.13513513513513
65.254.227.240:443 => 192.168.1.134:60891,65.254.227.240,443,192.168.1.134,60891,6,1680794977.095538,tribuna-news,3.841972,256,256,358491,0,93309.11313252673366698143558,66.63244812820083019865839730,1400.35546875
65.254.227.240:443 => 192.168.1.134:60890,65.254.227.240,443,192.168.1.134,60890,6,1680794977.097415,tribuna-news,4.502738,430,430,617636,0,137168.9847377306874173003182,95.49745066224150727846035012,1436.3627906976744
192.168.1.134:60894 => 65.254.227.240:443,192.168.1.134,60894,65.254.227.240,443,6,1680794978.914285,tribuna-news,2.031558,55,55,7000,0,3445.631382416844608915915765,27.07281800470377907005362387,127.27272727272727
192.168.1.134:60895 => 65.254.227.240:443,192.168.1.134,60895,65.254.227.240,443,6,1680794978.915253,tribuna-news,2.024638,57,57,8761,0,4327.193305667482285722188362,28.15318096370808016050276642,153.7017543859649
192.168.1.134:60896 => 65.254.227.240:443,192.168.1.134,60896,65.254.227.240,443,6,1680794978.915655,tribuna-news,2.024286,73,73,11628,0,5744.247601376485338534179459,36.06209794465801769117604923,159.2876712328767
192.168.1.134:60897 => 65.254.227.240:443,192.168.1.134,60897,65.254.227.240,443,6,1680794978.916588,tribuna-news,2.021021,84,84,11428,0,5654.567666540822683188348859,41.56315050660037674027137768,136.04761904761904
65.254.227.240:443 => 192.168.1.134:60897,65.254.227.240,443,192.168.1.134,60897,6,1680794979.033975,tribuna-news,1.903527,326,326,465124,0,244348.5172524476931506619029,171.2610328090959571364104633,1426.760736196319
65.254.227.240:443 => 192.168.1.134:60895,65.254.227.240,443,192.168.1.134,60895,6,1680794979.033975,tribuna-news,1.905840,228,228,322073,0,168992.6751458674390295092977,119.6322881249212945472862360,1412.6008771929824
65.254.227.240:443 => 192.168.1.134:60896,65.254.227.240,443,192.168.1.134,60896,6,1680794979.038429,tribuna-news,1.901395,272,272,386676,0,203364.3719479645207860544495,143.0528638184070116940456875,1421.6029411764705
65.254.227.240:443 => 192.168.1.134:60894,65.254.227.240,443,192.168.1.134,60894,6,1680794979.039986,tribuna-news,1.905749,189,189,265309,0,139215.0802650296550070339798,99.17360575815597961746274037,1403.7513227513227
