FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63632 => 173.231.244.176:443,192.168.0.123,63632,173.231.244.176,443,6,1679094378.018019,bulevardionline,3.688813,77,77,7399,0,2005.794275828023811453711533,20.87392340029163852979264604,96.0909090909091
192.168.0.123:63633 => 173.231.244.176:443,192.168.0.123,63633,173.231.244.176,443,6,1679094378.018261,bulevardionline,0.522479,12,12,1586,0,3035.528700675051054683537520,22.96743026992472424729032172,132.16666666666666
173.231.244.176:443 => 192.168.0.123:63632,173.231.244.176,443,192.168.0.123,63632,6,1679094378.116818,bulevardionline,3.589871,213,213,296570,0,82612.99640014919756169511384,59.33360836642876582473297787,1392.3474178403756
173.231.244.176:443 => 192.168.0.123:63633,173.231.244.176,443,192.168.0.123,63633,6,1679094378.129659,bulevardionline,0.411016,9,9,6521,0,15865.56241119567121474589797,21.89695778266539502111839928,724.5555555555555
192.168.0.123:63642 => 173.231.244.176:443,192.168.0.123,63642,173.231.244.176,443,6,1679094379.080429,bulevardionline,0.558768,10,10,1412,0,2526.987944907367637373650603,17.89651519056209374910517424,141.2
192.168.0.123:63643 => 173.231.244.176:443,192.168.0.123,63643,173.231.244.176,443,6,1679094379.080481,bulevardionline,0.544823,12,12,1590,0,2918.378996481426077827110823,22.02550186023717794586498734,132.5
192.168.0.123:63644 => 173.231.244.176:443,192.168.0.123,63644,173.231.244.176,443,6,1679094379.080519,bulevardionline,2.626276,93,93,7346,0,2797.116525452770386661569462,35.41135813600703048727551864,78.98924731182795
192.168.0.123:63645 => 173.231.244.176:443,192.168.0.123,63645,173.231.244.176,443,6,1679094379.080554,bulevardionline,0.544762,10,10,1412,0,2591.957588818603353391022134,18.35664014744053366424236639,141.2
192.168.0.123:63646 => 173.231.244.176:443,192.168.0.123,63646,173.231.244.176,443,6,1679094379.080588,bulevardionline,0.544737,10,10,1412,0,2592.076543359456031075546548,18.35748260169586424274466394,141.2
192.168.0.123:63647 => 173.231.244.176:443,192.168.0.123,63647,173.231.244.176,443,6,1679094379.080623,bulevardionline,0.558562,10,10,1412,0,2527.919908622498487186740237,17.90311550015933772795141811,141.2
173.231.244.176:443 => 192.168.0.123:63643,173.231.244.176,443,192.168.0.123,63643,6,1679094379.188855,bulevardionline,0.436418,9,9,6298,0,14431.11878978410606345292816,20.62243078883089148476918917,699.7777777777778
173.231.244.176:443 => 192.168.0.123:63645,173.231.244.176,443,192.168.0.123,63645,6,1679094379.188865,bulevardionline,0.436412,9,9,5692,0,13042.72109841159271514073857,20.62271431582999550883110455,632.4444444444445
173.231.244.176:443 => 192.168.0.123:63646,173.231.244.176,443,192.168.0.123,63646,6,1679094379.188866,bulevardionline,0.436411,8,8,5640,0,12923.59725121502436922992317,18.33134361874471541734740875,705.0
173.231.244.176:443 => 192.168.0.123:63644,173.231.244.176,443,192.168.0.123,63644,6,1679094379.190720,bulevardionline,2.515959,712,712,1024635,0,407254.2517584746015336497932,282.9934828031776352476332086,1439.0941011235955
173.231.244.176:443 => 192.168.0.123:63647,173.231.244.176,443,192.168.0.123,63647,6,1679094379.196007,bulevardionline,0.443072,8,8,5640,0,12729.30810342337137079300881,18.05575617506861187346526073,705.0
173.231.244.176:443 => 192.168.0.123:63642,173.231.244.176,443,192.168.0.123,63642,6,1679094379.196019,bulevardionline,0.443061,8,8,5640,0,12729.62413753410929871958940,18.05620445040299191307743178,705.0
