FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:58981 => 173.231.244.176:443,192.168.0.123,58981,173.231.244.176,443,6,1679066954.397548,bulevardionline,3.661399,69,69,6983,0,1907.194490411998255311699162,18.84525559765543170793459003,101.20289855072464
192.168.0.123:58982 => 173.231.244.176:443,192.168.0.123,58982,173.231.244.176,443,6,1679066954.397793,bulevardionline,3.682302,13,13,1662,0,451.3480969241523373150817070,3.530400276783381699817125266,127.84615384615384
173.231.244.176:443 => 192.168.0.123:58981,173.231.244.176,443,192.168.0.123,58981,6,1679066954.505243,bulevardionline,3.553560,213,213,296492,0,83435.20300768806492643996443,59.93989126397190423124978894,1391.981220657277
173.231.244.176:443 => 192.168.0.123:58982,173.231.244.176,443,192.168.0.123,58982,6,1679066954.507101,bulevardionline,3.572856,10,10,6573,0,1839.704706822777072459679315,2.798881343104787878380768774,657.3
192.168.0.123:58990 => 173.231.244.176:443,192.168.0.123,58990,173.231.244.176,443,6,1679066955.503651,bulevardionline,2.562197,90,90,7331,0,2861.216370169819104463864410,35.12610466720552713159838998,81.45555555555555
192.168.0.123:58991 => 173.231.244.176:443,192.168.0.123,58991,173.231.244.176,443,6,1679066955.503715,bulevardionline,0.500608,10,10,1412,0,2820.570186653029915622602915,19.97570953720276144208642291,141.2
192.168.0.123:58992 => 173.231.244.176:443,192.168.0.123,58992,173.231.244.176,443,6,1679066955.503763,bulevardionline,0.511530,10,10,1412,0,2760.346411745156686802338084,19.54919555060309268273610541,141.2
192.168.0.123:58993 => 173.231.244.176:443,192.168.0.123,58993,173.231.244.176,443,6,1679066955.503807,bulevardionline,0.499286,10,10,1412,0,2828.038438890735970966540219,20.02860084200237939778002988,141.2
192.168.0.123:58994 => 173.231.244.176:443,192.168.0.123,58994,173.231.244.176,443,6,1679066955.503851,bulevardionline,0.505753,9,9,1360,0,2689.059679329633239941236137,17.79524787791669055843465091,151.11111111111111
192.168.0.123:58995 => 173.231.244.176:443,192.168.0.123,58995,173.231.244.176,443,6,1679066955.503895,bulevardionline,0.529953,10,10,1412,0,2664.387219243970691740588316,18.86959786999979243442343000,141.2
173.231.244.176:443 => 192.168.0.123:58990,173.231.244.176,443,192.168.0.123,58990,6,1679066955.605440,bulevardionline,2.460294,685,685,981574,0,398966.1398190622746712384780,278.4220097272927544431681742,1432.9547445255475
173.231.244.176:443 => 192.168.0.123:58991,173.231.244.176,443,192.168.0.123,58991,6,1679066955.608538,bulevardionline,0.395742,8,8,5640,0,14251.70944706399623997452886,20.21519070505531381556670760,705.0
173.231.244.176:443 => 192.168.0.123:58992,173.231.244.176,443,192.168.0.123,58992,6,1679066955.617937,bulevardionline,0.397280,8,8,5640,0,14196.53644784534836890857833,20.13693113169552960128876359,705.0
173.231.244.176:443 => 192.168.0.123:58993,173.231.244.176,443,192.168.0.123,58993,6,1679066955.617943,bulevardionline,0.384985,8,8,5640,0,14649.92142551008480849903243,20.78003039079444653687806018,705.0
173.231.244.176:443 => 192.168.0.123:58995,173.231.244.176,443,192.168.0.123,58995,6,1679066955.627479,bulevardionline,0.406262,8,8,5640,0,13882.66685045610960414707750,19.69172602901575830375471986,705.0
173.231.244.176:443 => 192.168.0.123:58994,173.231.244.176,443,192.168.0.123,58994,6,1679066955.627484,bulevardionline,0.382070,8,8,5640,0,14761.69288350302300625539823,20.93857146596173476064595493,705.0
