FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52887 => 173.231.244.176:443,192.168.0.123,52887,173.231.244.176,443,6,1679069129.467306,bulevardionline,2.567666,65,65,6775,0,2638.583055584332230126503992,25.31481898346591807501442945,104.23076923076923
192.168.0.123:52888 => 173.231.244.176:443,192.168.0.123,52888,173.231.244.176,443,6,1679069129.467645,bulevardionline,2.574345,13,13,1662,0,645.6011140697925103278698077,5.049828208728822282949643502,127.84615384615384
173.231.244.176:443 => 192.168.0.123:52887,173.231.244.176,443,192.168.0.123,52887,6,1679069129.566930,bulevardionline,2.467889,214,214,296544,0,120160.9958956825043589885931,86.71378656009245148383902193,1385.7196261682243
173.231.244.176:443 => 192.168.0.123:52888,173.231.244.176,443,192.168.0.123,52888,6,1679069129.575850,bulevardionline,2.466044,10,10,6573,0,2665.402563782316941627967709,4.055077687178330962464578896,657.3
192.168.0.123:52897 => 173.231.244.176:443,192.168.0.123,52897,173.231.244.176,443,6,1679069130.582261,bulevardionline,0.509613,10,10,1412,0,2770.729946057106078534103329,19.62273332901633200094974029,141.2
192.168.0.123:52898 => 173.231.244.176:443,192.168.0.123,52898,173.231.244.176,443,6,1679069130.582310,bulevardionline,0.509522,10,10,1412,0,2771.224795003944873822916380,19.62623792495711667013396870,141.2
192.168.0.123:52899 => 173.231.244.176:443,192.168.0.123,52899,173.231.244.176,443,6,1679069130.582348,bulevardionline,0.509508,10,10,1412,0,2771.300941300234736255367924,19.62677720467588340124198246,141.2
192.168.0.123:52900 => 173.231.244.176:443,192.168.0.123,52900,173.231.244.176,443,6,1679069130.582385,bulevardionline,1.619726,95,95,7634,0,4713.142840208776052245873685,58.65189544404423958126250983,80.3578947368421
192.168.0.123:52901 => 173.231.244.176:443,192.168.0.123,52901,173.231.244.176,443,6,1679069130.582420,bulevardionline,0.509478,10,10,1412,0,2771.464126027031589195215495,19.62793290387416139656668198,141.2
192.168.0.123:52902 => 173.231.244.176:443,192.168.0.123,52902,173.231.244.176,443,6,1679069130.582453,bulevardionline,0.510635,11,11,1452,0,2843.518364389436681778569820,21.54180579082906577104977136,132.0
173.231.244.176:443 => 192.168.0.123:52898,173.231.244.176,443,192.168.0.123,52898,6,1679069130.678404,bulevardionline,0.413304,8,8,5640,0,13646.12972533534637942047500,19.35621237636219344598648936,705.0
173.231.244.176:443 => 192.168.0.123:52900,173.231.244.176,443,192.168.0.123,52900,6,1679069130.681430,bulevardionline,1.520540,711,711,1021747,0,671963.2498980625304168256014,467.5970378944322411774764228,1437.056258790436
173.231.244.176:443 => 192.168.0.123:52897,173.231.244.176,443,192.168.0.123,52897,6,1679069130.685700,bulevardionline,0.406081,8,8,5640,0,13888.85468662655972576899683,19.70050310159795705782836429,705.0
173.231.244.176:443 => 192.168.0.123:52902,173.231.244.176,443,192.168.0.123,52902,6,1679069130.687739,bulevardionline,0.405309,9,9,5692,0,14043.60623622964207555223299,22.20528041568284938158294042,632.4444444444445
173.231.244.176:443 => 192.168.0.123:52899,173.231.244.176,443,192.168.0.123,52899,6,1679069130.689805,bulevardionline,0.401976,8,8,5640,0,14030.68839930742133858737835,19.90168567277648416820904731,705.0
173.231.244.176:443 => 192.168.0.123:52901,173.231.244.176,443,192.168.0.123,52901,6,1679069130.690495,bulevardionline,0.401287,8,8,5640,0,14054.77874937388951049996636,19.93585638209062341914888845,705.0
