FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:58383 => 173.231.244.176:443,192.168.0.123,58383,173.231.244.176,443,6,1679092881.314692,bulevardionline,3.677788,75,75,7295,0,1983.529230069813703236836925,20.39269256411734444726014659,97.26666666666667
192.168.0.123:58384 => 173.231.244.176:443,192.168.0.123,58384,173.231.244.176,443,6,1679092881.314846,bulevardionline,3.727952,13,13,1662,0,445.8211908307832289686133298,3.487169362695657025626939403,127.84615384615384
173.231.244.176:443 => 192.168.0.123:58383,173.231.244.176,443,192.168.0.123,58383,6,1679092881.411611,bulevardionline,3.580712,212,212,296415,0,82781.02232181756030644184732,59.20610202663604333439829844,1398.183962264151
173.231.244.176:443 => 192.168.0.123:58384,173.231.244.176,443,192.168.0.123,58384,6,1679092881.425222,bulevardionline,3.617398,10,10,6573,0,1817.051925168311587500186598,2.764417960091756560931365584,657.3
192.168.0.123:58393 => 173.231.244.176:443,192.168.0.123,58393,173.231.244.176,443,6,1679092882.368453,bulevardionline,0.531683,10,10,1412,0,2655.717786726301198270397963,18.80819962270751556848723770,141.2
192.168.0.123:58394 => 173.231.244.176:443,192.168.0.123,58394,173.231.244.176,443,6,1679092882.368504,bulevardionline,0.531578,10,10,1412,0,2656.242357659647314222936239,18.81191471430345123387348611,141.2
192.168.0.123:58395 => 173.231.244.176:443,192.168.0.123,58395,173.231.244.176,443,6,1679092882.368543,bulevardionline,0.531621,10,10,1412,0,2656.027508318896356614956896,18.81039311840578156242887320,141.2
192.168.0.123:58396 => 173.231.244.176:443,192.168.0.123,58396,173.231.244.176,443,6,1679092882.368578,bulevardionline,2.630652,99,99,7651,0,2908.404456385717305063535580,37.63325593807162634966540614,77.28282828282828
192.168.0.123:58397 => 173.231.244.176:443,192.168.0.123,58397,173.231.244.176,443,6,1679092882.368612,bulevardionline,0.531500,10,10,1412,0,2656.632173095014111006585136,18.81467544684854186265286924,141.2
192.168.0.123:58398 => 173.231.244.176:443,192.168.0.123,58398,173.231.244.176,443,6,1679092882.368645,bulevardionline,0.521881,10,10,1412,0,2705.597636242744993590492852,19.16145634732822233421028932,141.2
173.231.244.176:443 => 192.168.0.123:58396,173.231.244.176,443,192.168.0.123,58396,6,1679092882.481507,bulevardionline,2.517583,709,709,1024501,0,406938.3213979439803970713180,281.6193150335063431870965128,1444.9943582510577
173.231.244.176:443 => 192.168.0.123:58394,173.231.244.176,443,192.168.0.123,58394,6,1679092882.481525,bulevardionline,0.418501,8,8,5640,0,13476.67030664203908712285036,19.11584440658445260584801470,705.0
173.231.244.176:443 => 192.168.0.123:58398,173.231.244.176,443,192.168.0.123,58398,6,1679092882.483044,bulevardionline,0.407243,8,8,5640,0,13849.22515549684095245344917,19.64429100070473893965028251,705.0
173.231.244.176:443 => 192.168.0.123:58395,173.231.244.176,443,192.168.0.123,58395,6,1679092882.483052,bulevardionline,0.416982,8,8,5640,0,13525.76370203030346633667640,19.18548042841177796643500199,705.0
173.231.244.176:443 => 192.168.0.123:58393,173.231.244.176,443,192.168.0.123,58393,6,1679092882.483052,bulevardionline,0.416981,8,8,5640,0,13525.79613939244234149757423,19.18552643885452814396819040,705.0
173.231.244.176:443 => 192.168.0.123:58397,173.231.244.176,443,192.168.0.123,58397,6,1679092882.498333,bulevardionline,0.401700,8,8,5640,0,14040.32860343539955190440627,19.91535972118496390341050535,705.0
