FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52222 => 144.91.119.216:443,192.168.0.123,52222,144.91.119.216,443,6,1679095080.501020,gazetaolle,4.002389,5,5,320,0,79.95224851957168581064958953,1.249253883118307590791399836,64.0
192.168.0.123:52223 => 144.91.119.216:443,192.168.0.123,52223,144.91.119.216,443,6,1679095080.501257,gazetaolle,67.008451,11,11,688,0,10.26736164965222073257595523,0.1641583984682767849685109122,62.54545454545455
192.168.0.123:52225 => 144.91.119.216:443,192.168.0.123,52225,144.91.119.216,443,6,1679095080.717882,gazetaolle,67.013080,11,11,688,0,10.26665242069160229614875186,0.1641470590517552692698201605,62.54545454545455
192.168.0.123:52232 => 144.91.119.216:443,192.168.0.123,52232,144.91.119.216,443,6,1679095155.533539,gazetaolle,0.000000,1,1,64,0,0,0,64.0
192.168.0.123:52245 => 144.91.119.216:443,192.168.0.123,52245,144.91.119.216,443,6,1679095542.932844,gazetaolle,7.006927,7,7,448,0,63.93673003871740065224027594,0.9990114068549593851912543116,64.0
192.168.0.123:52246 => 144.91.119.216:443,192.168.0.123,52246,144.91.119.216,443,6,1679095542.933002,gazetaolle,5.004951,6,6,384,0,76.72402786760549703683412685,1.198812935431335891200533232,64.0
192.168.0.123:52247 => 144.91.119.216:443,192.168.0.123,52247,144.91.119.216,443,6,1679095543.157230,gazetaolle,7.009205,7,7,448,0,63.91595052505954669609463555,0.9986867269540554171264786805,64.0
192.168.0.123:52248 => 144.91.119.216:80,192.168.0.123,52248,144.91.119.216,80,6,1679095545.961711,gazetaolle,5.006007,6,6,384,0,76.70784319718290445858345783,1.198560049955982882165366529,64.0
192.168.0.123:52249 => 144.91.119.216:80,192.168.0.123,52249,144.91.119.216,80,6,1679095545.961867,gazetaolle,5.005739,6,6,384,0,76.71195002376272514407962541,1.198624219121292580376244147,64.0
192.168.0.123:52250 => 144.91.119.216:80,192.168.0.123,52250,144.91.119.216,80,6,1679095546.181541,gazetaolle,4.003732,5,5,320,0,79.92542957420726462210757363,1.248834837096988509720430838,64.0
