FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:53489 => 144.91.119.216:443,192.168.0.123,53489,144.91.119.216,443,6,1679065954.389297,gazetaolle,1.080083,95,95,17462,0,16167.27603341595044084574982,87.95620336585243911810481232,183.81052631578947
192.168.0.123:53490 => 144.91.119.216:443,192.168.0.123,53490,144.91.119.216,443,6,1679065954.389469,gazetaolle,1.079994,71,71,15919,0,14739.89670312983220277149688,65.74110596910723578093952374,224.2112676056338
144.91.119.216:443 => 192.168.0.123:53489,144.91.119.216,443,192.168.0.123,53489,6,1679065954.426917,gazetaolle,1.042362,355,355,495367,0,475235.0910720076134778512647,340.5726609373710860526381430,1395.4
144.91.119.216:443 => 192.168.0.123:53490,144.91.119.216,443,192.168.0.123,53490,6,1679065954.434394,gazetaolle,1.034886,169,169,226673,0,219031.8547163648942975361537,163.3030111529192587396099667,1341.2603550295858
192.168.0.123:53492 => 144.91.119.216:443,192.168.0.123,53492,144.91.119.216,443,6,1679065954.528314,gazetaolle,0.941215,67,67,12808,0,13607.94292483651450518744389,71.18458588101549592813544196,191.16417910447763
192.168.0.123:53498 => 144.91.119.216:443,192.168.0.123,53498,144.91.119.216,443,6,1679065954.528766,gazetaolle,0.964561,106,106,16788,0,17404.80902711181563426263347,109.8945530661098675977983767,158.37735849056602
192.168.0.123:53499 => 144.91.119.216:443,192.168.0.123,53499,144.91.119.216,443,6,1679065954.528892,gazetaolle,0.940651,100,100,14875,0,15813.51638386606722365680789,106.3093538411164183102978682,148.75
192.168.0.123:53501 => 144.91.119.216:443,192.168.0.123,53501,144.91.119.216,443,6,1679065954.529107,gazetaolle,0.940320,78,78,14968,0,15917.98536668368215075718904,82.95048494129657988769780500,191.89743589743588
144.91.119.216:443 => 192.168.0.123:53499,144.91.119.216,443,192.168.0.123,53499,6,1679065954.569288,gazetaolle,0.899988,469,469,663525,0,737259.8301310684142455232736,521.1180593519024698107085872,1414.7654584221748
144.91.119.216:443 => 192.168.0.123:53498,144.91.119.216,443,192.168.0.123,53498,6,1679065954.569293,gazetaolle,0.923952,628,628,889648,0,962872.5301747276914818085788,679.6889881725457599528979860,1416.6369426751592
144.91.119.216:443 => 192.168.0.123:53492,144.91.119.216,443,192.168.0.123,53492,6,1679065954.569293,gazetaolle,0.899971,197,197,270394,0,300447.4588625633492634762676,218.8959422025820832004586814,1372.5583756345177
144.91.119.216:443 => 192.168.0.123:53501,144.91.119.216,443,192.168.0.123,53501,6,1679065954.574520,gazetaolle,0.894759,179,179,238485,0,266535.4581513010766027500142,200.0538692541790582715569220,1332.31843575419
