FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52609 => 144.91.119.216:443,192.168.0.123,52609,144.91.119.216,443,6,1679069072.258299,gazetaolle,1.206640,109,109,17314,0,14348.93588808592455081880263,90.33348803288470463435656037,158.8440366972477
192.168.0.123:52610 => 144.91.119.216:443,192.168.0.123,52610,144.91.119.216,443,6,1679069072.258680,gazetaolle,1.205500,82,82,16283,0,13507.25839900456242223143924,68.02156781418498548320199088,198.5731707317073
144.91.119.216:443 => 192.168.0.123:52610,144.91.119.216,443,192.168.0.123,52610,6,1679069072.294457,gazetaolle,1.169642,309,309,429804,0,367466.2845554451704025676233,264.1833997069188691924537594,1390.9514563106795
144.91.119.216:443 => 192.168.0.123:52609,144.91.119.216,443,192.168.0.123,52609,6,1679069072.294472,gazetaolle,1.170415,539,539,757408,0,647127.7281989721594477172627,460.5204136994143103087366447,1405.2096474953619
192.168.0.123:52612 => 144.91.119.216:443,192.168.0.123,52612,144.91.119.216,443,6,1679069072.398454,gazetaolle,1.067861,71,71,13513,0,12654.26867354459054127831244,66.48805415686123943097463059,190.32394366197184
192.168.0.123:52613 => 144.91.119.216:443,192.168.0.123,52613,144.91.119.216,443,6,1679069072.398601,gazetaolle,1.066356,91,91,15225,0,14277.59584979125170205822446,85.33735450449943546057789331,167.30769230769232
192.168.0.123:52614 => 144.91.119.216:443,192.168.0.123,52614,144.91.119.216,443,6,1679069072.398693,gazetaolle,1.067646,85,85,16109,0,15088.33452286619347611474215,79.61440402530426751938376578,189.51764705882354
192.168.0.123:52615 => 144.91.119.216:443,192.168.0.123,52615,144.91.119.216,443,6,1679069072.398883,gazetaolle,1.065271,88,88,13635,0,12799.55992418830513550073174,82.60808751951381385581697052,154.9431818181818
144.91.119.216:443 => 192.168.0.123:52615,144.91.119.216,443,192.168.0.123,52615,6,1679069072.432151,gazetaolle,1.031942,378,378,534469,0,517925.4260413860468902322030,366.2996563760366377180112836,1413.9391534391534
144.91.119.216:443 => 192.168.0.123:52614,144.91.119.216,443,192.168.0.123,52614,6,1679069072.432157,gazetaolle,1.034086,312,312,435143,0,420799.6240157975255442970894,301.7157180350570455455348975,1394.6891025641025
144.91.119.216:443 => 192.168.0.123:52613,144.91.119.216,443,192.168.0.123,52613,6,1679069072.432157,gazetaolle,1.032734,273,273,374694,0,362817.5309421399895810537854,264.3468695714482141577598878,1372.5054945054944
144.91.119.216:443 => 192.168.0.123:52612,144.91.119.216,443,192.168.0.123,52612,6,1679069072.433270,gazetaolle,1.032968,177,177,237070,0,229503.7213156651512921987903,171.3509034161755252824869696,1339.3785310734463
