FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:58697 => 144.91.119.216:443,192.168.0.123,58697,144.91.119.216,443,6,1679066903.156495,gazetaolle,1.073130,102,102,17215,0,16041.85886146133273694706140,95.04906208940202957703167370,168.77450980392157
192.168.0.123:58698 => 144.91.119.216:443,192.168.0.123,58698,144.91.119.216,443,6,1679066903.156771,gazetaolle,1.072813,70,70,15550,0,14494.60437187095980380550944,65.24902289588213416504087851,222.14285714285714
144.91.119.216:443 => 192.168.0.123:58697,144.91.119.216,443,192.168.0.123,58697,6,1679066903.196098,gazetaolle,1.033441,593,593,836040,0,808986.6765495079061117180371,573.8111803189538638393483518,1409.8482293423272
144.91.119.216:443 => 192.168.0.123:58698,144.91.119.216,443,192.168.0.123,58698,6,1679066903.196107,gazetaolle,1.033425,207,207,282503,0,273365.7498125166315891332221,200.3048116699325059873720880,1364.7487922705313
192.168.0.123:58700 => 144.91.119.216:443,192.168.0.123,58700,144.91.119.216,443,6,1679066903.296346,gazetaolle,0.933261,85,85,14306,0,15329.04514385579168099813450,91.07848715418302061266891041,168.30588235294118
192.168.0.123:58701 => 144.91.119.216:443,192.168.0.123,58701,144.91.119.216,443,6,1679066903.296495,gazetaolle,0.934310,83,83,14969,0,16021.44898374201282229666813,88.83561130673973306504265180,180.34939759036143
192.168.0.123:58702 => 144.91.119.216:443,192.168.0.123,58702,144.91.119.216,443,6,1679066903.296562,gazetaolle,0.932176,80,80,13289,0,14255.89159128748219220404730,85.82070338648495563069634919,166.1125
192.168.0.123:58703 => 144.91.119.216:443,192.168.0.123,58703,144.91.119.216,443,6,1679066903.296792,gazetaolle,0.919469,88,88,15052,0,16370.31808576471854951064147,95.70741373553648899527879678,171.04545454545453
144.91.119.216:443 => 192.168.0.123:58700,144.91.119.216,443,192.168.0.123,58700,6,1679066903.335805,gazetaolle,0.893733,331,331,461960,0,516888.1533970436360747561072,370.3566948965742565173267631,1395.6495468277947
144.91.119.216:443 => 192.168.0.123:58701,144.91.119.216,443,192.168.0.123,58701,6,1679066903.335809,gazetaolle,0.894927,302,302,420560,0,469937.7714606889723966312336,337.4576920799126632675067352,1392.5827814569536
144.91.119.216:443 => 192.168.0.123:58703,144.91.119.216,443,192.168.0.123,58703,6,1679066903.340945,gazetaolle,0.875275,333,333,464514,0,530706.3494330353317528776670,380.4518579874896461112221873,1394.936936936937
144.91.119.216:443 => 192.168.0.123:58702,144.91.119.216,443,192.168.0.123,58702,6,1679066903.340949,gazetaolle,0.887502,231,231,318517,0,358891.5855964268249536339073,260.2811035918792295679333680,1378.861471861472
