FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63672 => 95.217.115.180:443,192.168.0.123,63672,95.217.115.180,443,6,1679094416.816957,kohajone,4.554562,186,186,29423,0,6460.116252671497281187521435,40.83817499904491364921588508,158.18817204301075
192.168.0.123:63673 => 95.217.115.180:443,192.168.0.123,63673,95.217.115.180,443,6,1679094416.817143,kohajone,4.391841,141,141,25771,0,5867.926457264732489177089972,32.10498740733100310325442110,182.77304964539007
95.217.115.180:443 => 192.168.0.123:63672,95.217.115.180,443,192.168.0.123,63672,6,1679094416.912151,kohajone,4.459206,1382,1382,1975445,0,443003.7544800576604893337513,309.9206450655116628386309132,1429.4102749638205
95.217.115.180:443 => 192.168.0.123:63673,95.217.115.180,443,192.168.0.123,63673,6,1679094416.917219,kohajone,4.291599,705,705,998006,0,232548.7539725869075838632640,164.2744347736123528782628573,1415.6113475177306
192.168.0.123:63675 => 95.217.115.180:443,192.168.0.123,63675,95.217.115.180,443,6,1679094417.120950,kohajone,4.091030,135,135,23298,0,5694.898350782076885283168297,32.99902469549233322659574728,172.57777777777778
192.168.0.123:63676 => 95.217.115.180:443,192.168.0.123,63676,95.217.115.180,443,6,1679094417.121196,kohajone,4.087725,123,123,24245,0,5931.171984416759933703955134,30.09008678421371300662348862,197.1138211382114
192.168.0.123:63677 => 95.217.115.180:443,192.168.0.123,63677,95.217.115.180,443,6,1679094417.121699,kohajone,4.087263,123,123,24411,0,5972.456384627071954997757668,30.09348798939534842754185380,198.46341463414635
192.168.0.123:63678 => 95.217.115.180:443,192.168.0.123,63678,95.217.115.180,443,6,1679094417.122614,kohajone,4.086390,130,130,20721,0,5070.734805047976331187184777,31.81292045056883948913344052,159.3923076923077
95.217.115.180:443 => 192.168.0.123:63675,95.217.115.180,443,192.168.0.123,63675,6,1679094417.183147,kohajone,4.028740,1021,1021,1461568,0,362785.3869944449132979541991,253.4291118314907390399976171,1431.5063663075416
95.217.115.180:443 => 192.168.0.123:63676,95.217.115.180,443,192.168.0.123,63676,6,1679094417.184470,kohajone,4.024343,499,499,697767,0,173386.5627258909093981303284,123.9953950247282599917551759,1398.3306613226453
95.217.115.180:443 => 192.168.0.123:63677,95.217.115.180,443,192.168.0.123,63677,6,1679094417.184474,kohajone,4.024344,425,425,588575,0,146253.6502843693282681599784,105.6072741296469685494083011,1384.8823529411766
95.217.115.180:443 => 192.168.0.123:63678,95.217.115.180,443,192.168.0.123,63678,6,1679094417.192076,kohajone,4.016742,441,441,611653,0,152275.8992237987901637695426,109.7904719795296785305105481,1386.968253968254
192.168.0.123:63683 => 95.217.115.180:443,192.168.0.123,63683,95.217.115.180,443,6,1679094417.651795,kohajone,0.256550,11,11,1848,0,7203.274215552523874488403820,42.87663223543168972909764179,168.0
95.217.115.180:443 => 192.168.0.123:63683,95.217.115.180,443,192.168.0.123,63683,6,1679094417.708651,kohajone,0.199565,11,11,6119,0,30661.68917395334853305940420,55.11988575150953323478565881,556.2727272727273
