FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:58431 => 95.217.115.180:443,192.168.0.123,58431,95.217.115.180,443,6,1679093453.186629,kohajone,2.293647,165,165,30441,0,13271.87662268867005254077894,71.93783524666175745439468236,184.4909090909091
192.168.0.123:58432 => 95.217.115.180:443,192.168.0.123,58432,95.217.115.180,443,6,1679093453.187023,kohajone,2.293309,160,160,28063,0,12236.90309504737477592422129,69.76818213332786815906622265,175.39375
95.217.115.180:443 => 192.168.0.123:58431,95.217.115.180,443,192.168.0.123,58431,6,1679093453.246167,kohajone,2.233937,612,612,864844,0,387138.9390121565648449351974,273.9558009021740541474535764,1413.1437908496732
95.217.115.180:443 => 192.168.0.123:58432,95.217.115.180,443,192.168.0.123,58432,6,1679093453.248726,kohajone,2.231378,673,673,951477,0,426407.8071935817239391981099,301.6073475672880166426306973,1413.7845468053492
192.168.0.123:58434 => 95.217.115.180:443,192.168.0.123,58434,95.217.115.180,443,6,1679093453.448887,kohajone,2.032596,173,173,24569,0,12087.49795827601746731765683,85.11283107907326394423682817,142.01734104046244
192.168.0.123:58435 => 95.217.115.180:443,192.168.0.123,58435,95.217.115.180,443,6,1679093453.449514,kohajone,2.030799,135,135,26186,0,12894.43219146749629086876643,66.47629824517345143463237868,193.97037037037038
192.168.0.123:58436 => 95.217.115.180:443,192.168.0.123,58436,95.217.115.180,443,6,1679093453.449951,kohajone,2.017104,172,172,28502,0,14130.15888124757077473447081,85.27076442265743362761662264,165.7093023255814
192.168.0.123:58437 => 95.217.115.180:443,192.168.0.123,58437,95.217.115.180,443,6,1679093453.450573,kohajone,2.029659,160,160,26882,0,13244.58936205539945379987476,78.83097604080291319871958787,168.0125
95.217.115.180:443 => 192.168.0.123:58435,95.217.115.180,443,192.168.0.123,58435,6,1679093453.520282,kohajone,1.959822,768,768,1091777,0,557079.6735621908520263574957,391.8723230987303949032105977,1421.5846354166667
95.217.115.180:443 => 192.168.0.123:58434,95.217.115.180,443,192.168.0.123,58434,6,1679093453.520950,kohajone,1.960384,1022,1022,1465713,0,747666.2735464072345009957233,521.3264340047664131109007215,1434.1614481409001
95.217.115.180:443 => 192.168.0.123:58437,95.217.115.180,443,192.168.0.123,58437,6,1679093453.526081,kohajone,1.954017,781,781,1111956,0,569061.5793004871503165018523,399.6894602247575123450819517,1423.7592829705507
95.217.115.180:443 => 192.168.0.123:58436,95.217.115.180,443,192.168.0.123,58436,6,1679093453.526086,kohajone,1.940898,1266,1266,1820960,0,938204.8927867409827821966945,652.2753900514091930642413975,1438.3570300157978
192.168.0.123:58442 => 95.217.115.180:443,192.168.0.123,58442,95.217.115.180,443,6,1679093453.828633,kohajone,0.231644,11,11,1848,0,7977.758974978846851202707603,47.48666056535027887620659288,168.0
95.217.115.180:443 => 192.168.0.123:58442,95.217.115.180,443,192.168.0.123,58442,6,1679093453.884665,kohajone,0.175505,11,11,6119,0,34865.10355830318224552007065,62.67627702914446881855217800,556.2727272727273
