FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59034 => 95.217.115.180:443,192.168.0.123,59034,95.217.115.180,443,6,1679067001.093402,kohajone,2.916305,155,155,27855,0,9551.470096577689919264274484,53.14944767436876458395126710,179.70967741935485
192.168.0.123:59035 => 95.217.115.180:443,192.168.0.123,59035,95.217.115.180,443,6,1679067001.093685,kohajone,2.916092,160,160,28221,0,9677.678207683433855996312874,54.86795341162075819281421848,176.38125
95.217.115.180:443 => 192.168.0.123:59034,95.217.115.180,443,192.168.0.123,59034,6,1679067001.148852,kohajone,2.860691,563,563,791054,0,276525.4968117842856848223034,196.8055969694035462061439002,1405.069271758437
95.217.115.180:443 => 192.168.0.123:59035,95.217.115.180,443,192.168.0.123,59035,6,1679067001.157137,kohajone,2.852407,998,998,1423770,0,499146.8608792504015030113164,349.8799435003490034907360696,1426.623246492986
192.168.0.123:59037 => 95.217.115.180:443,192.168.0.123,59037,95.217.115.180,443,6,1679067001.322855,kohajone,2.665862,156,156,24373,0,9142.633789746055872359484474,58.51765770321194420416360637,156.23717948717947
192.168.0.123:59038 => 95.217.115.180:443,192.168.0.123,59038,95.217.115.180,443,6,1679067001.322987,kohajone,2.686768,133,133,26148,0,9732.139135198870911072336726,49.50185501688273792154737588,196.6015037593985
192.168.0.123:59039 => 95.217.115.180:443,192.168.0.123,59039,95.217.115.180,443,6,1679067001.323374,kohajone,2.686289,141,141,25962,0,9664.633998799086769889613515,52.48876796204727041654862898,184.12765957446808
192.168.0.123:59040 => 95.217.115.180:443,192.168.0.123,59040,95.217.115.180,443,6,1679067001.324127,kohajone,2.685604,133,133,25383,0,9451.505136274744899099048110,49.52331021252574839775335455,190.84962406015038
95.217.115.180:443 => 192.168.0.123:59037,95.217.115.180,443,192.168.0.123,59037,6,1679067001.380009,kohajone,2.608524,993,993,1422072,0,545163.4717564415738555596958,380.6750484181859166333144721,1432.0966767371601
95.217.115.180:443 => 192.168.0.123:59039,95.217.115.180,443,192.168.0.123,59039,6,1679067001.380020,kohajone,2.629516,617,617,867949,0,330079.3758242961822631997676,234.6439420790746281825248449,1406.7244732576985
95.217.115.180:443 => 192.168.0.123:59038,95.217.115.180,443,192.168.0.123,59038,6,1679067001.380021,kohajone,2.629523,517,517,720684,0,274074.0430869020731136407630,196.6136063460939493588761156,1393.972920696325
95.217.115.180:443 => 192.168.0.123:59040,95.217.115.180,443,192.168.0.123,59040,6,1679067001.393678,kohajone,2.615865,688,688,971704,0,371465.6528528804047609490551,263.0105146863465813411624835,1412.360465116279
192.168.0.123:59046 => 95.217.115.180:443,192.168.0.123,59046,95.217.115.180,443,6,1679067001.685337,kohajone,0.235626,11,11,1848,0,7842.937536604619184640065188,46.68415200359892371809562612,168.0
95.217.115.180:443 => 192.168.0.123:59046,95.217.115.180,443,192.168.0.123,59046,6,1679067001.742188,kohajone,0.178618,11,11,6119,0,34257.46565295770862958940308,61.58393890873260253725828304,556.2727272727273
