FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64182 => 95.217.115.180:443,192.168.0.123,64182,95.217.115.180,443,6,1679067731.070372,kohajone,2.364402,154,154,25377,0,10732.94642789170369505693194,65.13274815365576581308931392,164.78571428571428
192.168.0.123:64183 => 95.217.115.180:443,192.168.0.123,64183,95.217.115.180,443,6,1679067731.070668,kohajone,2.364097,151,151,28484,0,12048.57499501923990428480726,63.87216768178293868652597588,188.63576158940398
95.217.115.180:443 => 192.168.0.123:64182,95.217.115.180,443,192.168.0.123,64182,6,1679067731.121995,kohajone,2.312613,1114,1114,1601038,0,692306.9272723105854719315337,481.7061912217911081534178006,1437.197486535009
95.217.115.180:443 => 192.168.0.123:64183,95.217.115.180,443,192.168.0.123,64183,6,1679067731.130089,kohajone,2.304519,633,633,894360,0,388089.6620943459350953496153,274.6777093180832963407982316,1412.8909952606634
192.168.0.123:64185 => 95.217.115.180:443,192.168.0.123,64185,95.217.115.180,443,6,1679067731.299285,kohajone,2.135500,168,168,27923,0,13075.62631702177476000936549,78.67010067899789276516038399,166.20833333333334
192.168.0.123:64186 => 95.217.115.180:443,192.168.0.123,64186,95.217.115.180,443,6,1679067731.299570,kohajone,2.136276,135,135,25543,0,11956.78835506273533944115835,63.19408166360526448829645608,189.2074074074074
192.168.0.123:64187 => 95.217.115.180:443,192.168.0.123,64187,95.217.115.180,443,6,1679067731.299651,kohajone,2.135070,138,138,28486,0,13341.95131775538975302917469,64.63488316542314771881015611,206.42028985507247
192.168.0.123:64188 => 95.217.115.180:443,192.168.0.123,64188,95.217.115.180,443,6,1679067731.300554,kohajone,2.134247,172,172,25932,0,12150.42120241940131578022600,80.59048460651461616204684837,150.7674418604651
95.217.115.180:443 => 192.168.0.123:64185,95.217.115.180,443,192.168.0.123,64185,6,1679067731.360098,kohajone,2.074510,731,731,1040865,0,501740.1699678478291259140713,352.3723674506268950258133246,1423.891928864569
95.217.115.180:443 => 192.168.0.123:64188,95.217.115.180,443,192.168.0.123,64188,6,1679067731.361538,kohajone,2.073070,1046,1046,1504320,0,725648.4344474619766819258395,504.5656924271732261814603462,1438.1644359464626
95.217.115.180:443 => 192.168.0.123:64186,95.217.115.180,443,192.168.0.123,64186,6,1679067731.361539,kohajone,2.074226,681,681,962427,0,463993.3160610271011934090114,328.3152366232030646612278508,1413.2555066079294
95.217.115.180:443 => 192.168.0.123:64187,95.217.115.180,443,192.168.0.123,64187,6,1679067731.361539,kohajone,2.073064,508,508,710023,0,342499.3150235593305368285784,245.0479097606248528747785886,1397.6830708661416
192.168.0.123:64194 => 95.217.115.180:443,192.168.0.123,64194,95.217.115.180,443,6,1679067731.665457,kohajone,0.230171,10,10,1796,0,7802.894369838076908037937012,43.44595974297370216056757802,179.6
95.217.115.180:443 => 192.168.0.123:64194,95.217.115.180,443,192.168.0.123,64194,6,1679067731.721309,kohajone,0.174240,11,11,6119,0,35118.22773186409550045913682,63.13131313131313131313131313,556.2727272727273
