FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61604 => 178.33.109.222:443,192.168.0.123,61604,178.33.109.222,443,6,1679067256.000731,lecanton27,1.893088,30,30,5889,0,3110.790412278774151016751466,15.84712385266823306681992596,196.3
192.168.0.123:61605 => 178.33.109.222:443,192.168.0.123,61605,178.33.109.222,443,6,1679067256.001164,lecanton27,4.254866,46,46,6795,0,1596.995064004365824916695379,10.81115127949975392879587747,147.7173913043478
178.33.109.222:443 => 192.168.0.123:61604,178.33.109.222,443,192.168.0.123,61604,6,1679067256.024253,lecanton27,1.869500,98,98,129965,0,69518.58785771596683605242043,52.42043327092805562984755282,1326.1734693877552
178.33.109.222:443 => 192.168.0.123:61605,178.33.109.222,443,192.168.0.123,61605,6,1679067256.028417,lecanton27,4.227476,131,131,180695,0,42742.99842269950201964481880,30.98775723386720586941238697,1379.351145038168
192.168.0.123:61607 => 178.33.109.222:443,192.168.0.123,61607,178.33.109.222,443,6,1679067257.588779,lecanton27,2.712413,45,45,5563,0,2050.941357381785148500615504,16.59039386701066541120397226,123.62222222222222
192.168.0.123:61608 => 178.33.109.222:443,192.168.0.123,61608,178.33.109.222,443,6,1679067257.589583,lecanton27,2.676665,27,27,4712,0,1760.399601743214036870508637,10.08717938180534358987770229,174.5185185185185
192.168.0.123:61609 => 178.33.109.222:443,192.168.0.123,61609,178.33.109.222,443,6,1679067257.589916,lecanton27,2.676330,37,37,4474,0,1671.692205370787608404045839,13.82490201133641964929586411,120.91891891891892
192.168.0.123:61610 => 178.33.109.222:443,192.168.0.123,61610,178.33.109.222,443,6,1679067257.590010,lecanton27,2.708132,50,50,5680,0,2097.386685730237669360282291,18.46291096593519075141093566,113.6
178.33.109.222:443 => 192.168.0.123:61607,178.33.109.222,443,192.168.0.123,61607,6,1679067257.615806,lecanton27,2.685339,141,141,189663,0,70629.07141332993711408503731,52.50733706247144215311362923,1345.127659574468
178.33.109.222:443 => 192.168.0.123:61608,178.33.109.222,443,192.168.0.123,61608,6,1679067257.615809,lecanton27,2.650267,54,54,68534,0,25859.28134787928914332027679,20.37530558241867706159417146,1269.148148148148
178.33.109.222:443 => 192.168.0.123:61609,178.33.109.222,443,192.168.0.123,61609,6,1679067257.625766,lecanton27,2.640306,132,132,177838,0,67355.07172274728762499498164,49.99420521712256079408977596,1347.2575757575758
178.33.109.222:443 => 192.168.0.123:61610,178.33.109.222,443,192.168.0.123,61610,6,1679067257.625774,lecanton27,2.672229,273,273,383322,0,143446.5384516072537196475302,102.1619030404954066436671408,1404.10989010989
