FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50058 => 178.33.109.222:443,192.168.0.123,50058,178.33.109.222,443,6,1679094675.334977,lecanton27,4.374201,38,38,6953,0,1589.547439635261388308401923,8.687300835055362110703188994,182.97368421052633
192.168.0.123:50059 => 178.33.109.222:443,192.168.0.123,50059,178.33.109.222,443,6,1679094675.335631,lecanton27,4.370632,54,54,6615,0,1513.511089471728573808089997,12.35519256711615162292318365,122.5
178.33.109.222:443 => 192.168.0.123:50058,178.33.109.222,443,192.168.0.123,50058,6,1679094675.359711,lecanton27,4.349357,126,126,169777,0,39034.96539833359275865375043,28.96979944391780210270161773,1347.436507936508
178.33.109.222:443 => 192.168.0.123:50059,178.33.109.222,443,192.168.0.123,50059,6,1679094675.366016,lecanton27,4.340179,121,121,164215,0,37835.99708675609923000871623,27.87903448221836011832691693,1357.1487603305786
192.168.0.123:50061 => 178.33.109.222:443,192.168.0.123,50061,178.33.109.222,443,6,1679094676.875480,lecanton27,2.838170,40,40,4727,0,1665.509817946070883703231307,14.09358847426334574743584775,118.175
192.168.0.123:50062 => 178.33.109.222:443,192.168.0.123,50062,178.33.109.222,443,6,1679094676.876680,lecanton27,2.836961,25,25,4511,0,1590.081781173586806445347680,8.812246625878889417232031036,180.44
192.168.0.123:50063 => 178.33.109.222:443,192.168.0.123,50063,178.33.109.222,443,6,1679094676.877135,lecanton27,2.832014,40,40,6020,0,2125.695706306536620228572316,14.12422396216967853972473300,150.5
192.168.0.123:50064 => 178.33.109.222:443,192.168.0.123,50064,178.33.109.222,443,6,1679094676.877262,lecanton27,2.878033,58,58,5998,0,2084.062274477047344488405797,20.15265287090175824947107973,103.41379310344827
178.33.109.222:443 => 192.168.0.123:50061,178.33.109.222,443,192.168.0.123,50061,6,1679094676.904447,lecanton27,2.809171,129,129,173834,0,61880.88941541828532332136420,45.92102082785277222354922502,1347.5503875968993
178.33.109.222:443 => 192.168.0.123:50063,178.33.109.222,443,192.168.0.123,50063,6,1679094676.904454,lecanton27,2.804614,148,148,200122,0,71354.56073456097701858437560,52.77018513064542928189048475,1352.1756756756756
178.33.109.222:443 => 192.168.0.123:50062,178.33.109.222,443,192.168.0.123,50062,6,1679094676.904454,lecanton27,2.809162,57,57,72537,0,25821.57953154713042537240643,20.29074862895055536134975484,1272.578947368421
178.33.109.222:443 => 192.168.0.123:50064,178.33.109.222,443,192.168.0.123,50064,6,1679094676.915347,lecanton27,2.839860,273,273,383557,0,135061.9396730824758966991331,96.13149944011324501912066088,1404.970695970696
