FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56495 => 178.33.109.222:443,192.168.0.123,56495,178.33.109.222,443,6,1679066499.222558,lecanton27,4.567772,50,50,7628,0,1669.960759862795253353275952,10.94625563622702709329625034,152.56
192.168.0.123:56496 => 178.33.109.222:443,192.168.0.123,56496,178.33.109.222,443,6,1679066499.222784,lecanton27,4.524497,44,44,6011,0,1328.545471463457705906314006,9.724837921209805200445485984,136.61363636363637
178.33.109.222:443 => 192.168.0.123:56495,178.33.109.222,443,192.168.0.123,56495,6,1679066499.252476,lecanton27,4.537763,164,164,222962,0,49134.78293158986046648976599,36.14115589553707410457531608,1359.5243902439024
178.33.109.222:443 => 192.168.0.123:56496,178.33.109.222,443,192.168.0.123,56496,6,1679066499.252481,lecanton27,4.494659,130,130,174585,0,38842.76871727087638906533288,28.92321753441139806156596084,1342.9615384615386
192.168.0.123:56498 => 178.33.109.222:443,192.168.0.123,56498,178.33.109.222,443,6,1679066500.867548,lecanton27,2.866381,52,52,6530,0,2278.133995445825240957151195,18.14134268961453484376291917,125.57692307692308
192.168.0.123:56499 => 178.33.109.222:443,192.168.0.123,56499,178.33.109.222,443,6,1679066500.868757,lecanton27,2.868065,26,26,4135,0,1441.738593790587033418001335,9.065345450678419073486828227,159.03846153846155
192.168.0.123:56500 => 178.33.109.222:443,192.168.0.123,56500,178.33.109.222,443,6,1679066500.869292,lecanton27,2.877981,37,37,5095,0,1770.338303136817095039890812,12.85623497861869136731618451,137.7027027027027
192.168.0.123:56501 => 178.33.109.222:443,192.168.0.123,56501,178.33.109.222,443,6,1679066500.869446,lecanton27,2.863843,41,41,5273,0,1841.232218386273269868494886,14.31642726224866377102376073,128.609756097561
178.33.109.222:443 => 192.168.0.123:56499,178.33.109.222,443,192.168.0.123,56499,6,1679066500.894985,lecanton27,2.841815,48,48,59334,0,20878.91013313674535464131198,16.89061392103286104127115945,1236.125
178.33.109.222:443 => 192.168.0.123:56500,178.33.109.222,443,192.168.0.123,56500,6,1679066500.894991,lecanton27,2.852143,120,120,160524,0,56281.89049427044857147765733,42.07362674311912130633001220,1337.7
178.33.109.222:443 => 192.168.0.123:56498,178.33.109.222,443,192.168.0.123,56498,6,1679066500.894992,lecanton27,2.838895,269,269,377698,0,133044.0188876305745721486705,94.75517763073308452760669204,1404.081784386617
178.33.109.222:443 => 192.168.0.123:56501,178.33.109.222,443,192.168.0.123,56501,6,1679066500.902301,lecanton27,2.830902,118,118,161140,0,56921.78676619678109662573978,41.68282759346667599231622995,1365.593220338983
